"","GO.BP","n"
"1","",746
"2"," acetyl-CoA biosynthetic process [GO:0006085]",1
"3"," acetyl-CoA biosynthetic process from acetate [GO:0019427]",1
"4"," acetyl-CoA metabolic process [GO:0006084]",2
"5"," activation of JUN kinase activity [GO:0007257]",2
"6"," activation of MAPKK activity [GO:0000186]",13
"7"," anatomical structure morphogenesis [GO:0009653]",2
"8"," antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]",3
"9"," aorta morphogenesis [GO:0035909]",3
"10"," Arp2/3 complex-mediated actin nucleation [GO:0034314]",2
"11"," asymmetric cell division [GO:0008356]",2
"12"," axonogenesis [GO:0007409]",2
"13"," B-1 B cell homeostasis [GO:0001922]",10
"14"," base-excision repair [GO:0006284]",2
"15"," blastocyst hatching [GO:0001835]",2
"16"," blood vessel development [GO:0001568]",13
"17"," bradykinin catabolic process [GO:0010815]",11
"18"," C-terminal protein deglutamylation [GO:0035609]",2
"19"," calcitonin catabolic process [GO:0010816]",11
"20"," camera-type eye morphogenesis [GO:0048593]",2
"21"," cell adhesion [GO:0007155]",5
"22"," cell competition in a multicellular organism [GO:0035212]",2
"23"," cell cycle [GO:0007049]",2
"24"," cell differentiation [GO:0030154]",14
"25"," cell division [GO:0051301]",12
"26"," cell migration [GO:0016477]",10
"27"," cell redox homeostasis [GO:0045454]",1
"28"," cell-cell adhesion [GO:0098609]",21
"29"," cellular calcium ion homeostasis [GO:0006874]",3
"30"," cellular protein metabolic process [GO:0044267]",68
"31"," cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]",1
"32"," cellular response to calcium ion [GO:0071277]",1
"33"," cellular response to cytokine stimulus [GO:0071345]",12
"34"," cellular response to DNA damage stimulus [GO:0006974]",5
"35"," cellular response to leukemia inhibitory factor [GO:1990830]",2
"36"," cellular response to lipopolysaccharide [GO:0071222]",2
"37"," central nervous system projection neuron axonogenesis [GO:0021952]",2
"38"," centrosome cycle [GO:0007098]",9
"39"," centrosome duplication [GO:0051298]",14
"40"," ceramide transport [GO:0035627]",1
"41"," cerebral cortex development [GO:0021987]",21
"42"," chloride transport [GO:0006821]",9
"43"," chordate embryonic development [GO:0043009]",20
"44"," chromatin silencing [GO:0006342]",1
"45"," ciliary basal body organization [GO:0032053]",23
"46"," ciliary basal body-plasma membrane docking [GO:0097711]",4
"47"," cilium assembly [GO:0060271]",37
"48"," cilium movement [GO:0003341]",31
"49"," cilium movement involved in cell motility [GO:0060294]",31
"50"," cilium organization [GO:0044782]",4
"51"," circadian regulation of gene expression [GO:0032922]",3
"52"," citrate metabolic process [GO:0006101]",2
"53"," clathrin-dependent endocytosis [GO:0072583]",2
"54"," collagen fibril organization [GO:0030199]",5
"55"," compound eye development [GO:0048749]",2
"56"," cytoplasmic microtubule organization [GO:0031122]",24
"57"," cytoplasmic sequestering of protein [GO:0051220]",4
"58"," cytoskeleton organization [GO:0007010]",6
"59"," defense response to Gram-negative bacterium [GO:0050829]",68
