"","GO.BP","n"
"1","",172
"2"," acetyl-CoA metabolic process [GO:0006084]",1
"3"," anatomical structure morphogenesis [GO:0009653]",2
"4"," antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]",3
"5"," aorta morphogenesis [GO:0035909]",3
"6"," Arp2/3 complex-mediated actin nucleation [GO:0034314]",2
"7"," asymmetric cell division [GO:0008356]",2
"8"," axonogenesis [GO:0007409]",2
"9"," blastocyst hatching [GO:0001835]",1
"10"," C-terminal protein deglutamylation [GO:0035609]",2
"11"," camera-type eye morphogenesis [GO:0048593]",2
"12"," cell adhesion [GO:0007155]",5
"13"," cell competition in a multicellular organism [GO:0035212]",2
"14"," cell division [GO:0051301]",6
"15"," cell redox homeostasis [GO:0045454]",1
"16"," cell-cell adhesion [GO:0098609]",21
"17"," cellular calcium ion homeostasis [GO:0006874]",3
"18"," cellular response to cytokine stimulus [GO:0071345]",12
"19"," cellular response to DNA damage stimulus [GO:0006974]",5
"20"," cellular response to leukemia inhibitory factor [GO:1990830]",2
"21"," cellular response to lipopolysaccharide [GO:0071222]",1
"22"," central nervous system projection neuron axonogenesis [GO:0021952]",2
"23"," centrosome cycle [GO:0007098]",9
"24"," centrosome duplication [GO:0051298]",14
"25"," cerebral cortex development [GO:0021987]",21
"26"," chloride transport [GO:0006821]",9
"27"," chromatin silencing [GO:0006342]",1
"28"," ciliary basal body organization [GO:0032053]",23
"29"," cilium organization [GO:0044782]",4
"30"," circadian regulation of gene expression [GO:0032922]",2
"31"," citrate metabolic process [GO:0006101]",1
"32"," clathrin-dependent endocytosis [GO:0072583]",1
"33"," collagen fibril organization [GO:0030199]",5
"34"," compound eye development [GO:0048749]",2
"35"," cytoplasmic sequestering of protein [GO:0051220]",4
"36"," cytoskeleton organization [GO:0007010]",2
"37"," DNA clamp unloading [GO:0090618]",3
"38"," DNA damage checkpoint [GO:0000077]",2
"39"," DNA damage induced protein phosphorylation [GO:0006975]",2
"40"," DNA replication [GO:0006260]",4
"41"," embryo implantation [GO:0007566]",1
"42"," embryonic forelimb morphogenesis [GO:0035115]",1
"43"," embryonic organ development [GO:0048568]",2
"44"," endosome to lysosome transport [GO:0008333]",1
"45"," eye photoreceptor cell differentiation [GO:0001754]",2
"46"," glycerolipid metabolic process [GO:0046486]",136
"47"," histone H2A-T120 phosphorylation [GO:1990245]",2
"48"," homeostasis of number of cells [GO:0048872]",2
"49"," intein-mediated protein splicing [GO:0016539]",5
"50"," intermediate filament organization [GO:0045109]",3
"51"," intracellular mRNA localization [GO:0008298]",12
"52"," intracellular protein transport [GO:0006886]",2
"53"," intracellular signal transduction [GO:0035556]",136
"54"," ion transport [GO:0006811]",2
"55"," microtubule cytoskeleton organization [GO:0000226]",2
"56"," mitochondria-associated ubiquitin-dependent protein catabolic process [GO:0072671]",4
"57"," mRNA 3'-end processing [GO:0031124]",1
"58"," mRNA export from nucleus [GO:0006406]",2
"59"," multicellular organism development [GO:0007275]",10
"60"," negative regulation of fat cell proliferation [GO:0070345]",2
"61"," negative regulation of microtubule depolymerization [GO:0007026]",63
"62"," negative regulation of transcription by RNA polymerase II [GO:0000122]",4
"63"," nuclear pore complex assembly [GO:0051292]",1
