"","GO.BP","n"
"1","",574
"2"," acetyl-CoA biosynthetic process [GO:0006085]",1
"3"," acetyl-CoA biosynthetic process from acetate [GO:0019427]",1
"4"," acetyl-CoA metabolic process [GO:0006084]",1
"5"," activation of JUN kinase activity [GO:0007257]",2
"6"," activation of MAPKK activity [GO:0000186]",13
"7"," B-1 B cell homeostasis [GO:0001922]",10
"8"," base-excision repair [GO:0006284]",2
"9"," blastocyst hatching [GO:0001835]",1
"10"," blood vessel development [GO:0001568]",13
"11"," bradykinin catabolic process [GO:0010815]",11
"12"," calcitonin catabolic process [GO:0010816]",11
"13"," cell cycle [GO:0007049]",2
"14"," cell differentiation [GO:0030154]",14
"15"," cell division [GO:0051301]",6
"16"," cell migration [GO:0016477]",10
"17"," cellular protein metabolic process [GO:0044267]",68
"18"," cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]",1
"19"," cellular response to calcium ion [GO:0071277]",1
"20"," cellular response to lipopolysaccharide [GO:0071222]",1
"21"," ceramide transport [GO:0035627]",1
"22"," chordate embryonic development [GO:0043009]",20
"23"," ciliary basal body-plasma membrane docking [GO:0097711]",4
"24"," cilium assembly [GO:0060271]",37
"25"," cilium movement [GO:0003341]",31
"26"," cilium movement involved in cell motility [GO:0060294]",31
"27"," circadian regulation of gene expression [GO:0032922]",1
"28"," citrate metabolic process [GO:0006101]",1
"29"," clathrin-dependent endocytosis [GO:0072583]",1
"30"," cytoplasmic microtubule organization [GO:0031122]",24
"31"," cytoskeleton organization [GO:0007010]",4
"32"," defense response to Gram-negative bacterium [GO:0050829]",68
"33"," DNA topological change [GO:0006265]",1
"34"," dosage compensation by inactivation of X chromosome [GO:0009048]",20
"35"," early endosome to Golgi transport [GO:0034498]",1
"36"," embryo development ending in birth or egg hatching [GO:0009792]",2
"37"," endosomal transport [GO:0016197]",1
"38"," epithelial cilium movement [GO:0003351]",8
"39"," epithelial to mesenchymal transition [GO:0001837]",10
"40"," establishment of cell polarity [GO:0030010]",2
"41"," fat cell differentiation [GO:0045444]",7
"42"," G protein-coupled receptor signaling pathway [GO:0007186]",17
"43"," glutamate homeostasis [GO:0090461]",1
"44"," histone arginine methylation [GO:0034969]",1
"45"," histone H3-R17 methylation [GO:0034971]",1
"46"," inner dynein arm assembly [GO:0036159]",7
"47"," intermembrane lipid transfer [GO:0120009]",1
"48"," intracellular protein transport [GO:0006886]",1
"49"," MAPK cascade [GO:0000165]",2
"50"," meiotic sister chromatid cohesion",2
"51"," membrane hyperpolarization [GO:0060081]",1
"52"," microtubule cytoskeleton organization [GO:0000226]",4
"53"," mitochondrial fusion [GO:0008053]",1
"54"," mitochondrial protein processing [GO:0034982]",1
"55"," mitotic recombination [GO:0006312]",2
"56"," negative regulation of apoptotic process [GO:0043066]",1
"57"," negative regulation of cell migration [GO:0030336]",7
"58"," negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]",1
"59"," nervous system development [GO:0007399]",4
"60"," neuroblast delamination [GO:0060234]",10
"61"," oocyte maturation [GO:0001556]",2
"62"," peptidyl-arginine methylation",2
"63"," phosphatidylinositol phosphorylation [GO:0046854]",3
"64"," positive regulation of apoptotic process [GO:0043065]",17
"65"," positive regulation of cellular protein catabolic process [GO:1903364]",4
"66"," positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]",1
"67"," protein ADP-ribosylation [GO:0006471]",1
"68"," protein ubiquitination [GO:0016567]",6
"69"," receptor-mediated endocytosis [GO:0006898]",6
"70"," reciprocal meiotic recombination [GO:0007131]",2
