"","GO.BP","n"
"1","",48
"2"," anatomical structure development [GO:0048856]",8
"3"," autophagy [GO:0006914]",1
"4"," bile acid metabolic process [GO:0008206]",1
"5"," blastocyst hatching [GO:0001835]",1
"6"," brain development [GO:0007420]",8
"7"," calcium ion transmembrane import into cytosol [GO:0097553]",1
"8"," calcium ion transmembrane transport [GO:0070588]",1
"9"," cell adhesion [GO:0007155]",10
"10"," cellular response to chemokine [GO:1990869]",10
"11"," cellular response to growth factor stimulus [GO:0071363]",1
"12"," cellular response to lipopolysaccharide [GO:0071222]",1
"13"," cilium assembly [GO:0060271]",23
"14"," cilium movement involved in cell motility [GO:0060294]",23
"15"," detection of light stimulus involved in visual perception [GO:0050908]",4
"16"," DNA damage response",1
"17"," DNA dealkylation involved in DNA repair [GO:0006307]",1
"18"," DNA duplex unwinding [GO:0032508]",1
"19"," ERBB2 signaling pathway [GO:0038128]",1
"20"," fatty acid primary amide biosynthetic process [GO:0062112]",12
"21"," focal adhesion assembly [GO:0048041]",1
"22"," Golgi organization [GO:0007030]",30
"23"," heart development [GO:0007507]",12
"24"," hematopoietic progenitor cell differentiation [GO:0002244]",5
"25"," lamellipodium assembly [GO:0030032]",6
"26"," liver development [GO:0001889]",3
"27"," maintenance of Golgi location [GO:0051684]",24
"28"," mitotic chromosome condensation [GO:0007076]",3
"29"," mRNA export from nucleus [GO:0006406]",3
"30"," necroptotic process [GO:0070266]",4
"31"," negative regulation of canonical Wnt signaling pathway [GO:0090090]",4
"32"," negative regulation of protein secretion [GO:0050709]",14
"33"," photoreceptor cell maintenance [GO:0045494]",4
"34"," platelet degranulation [GO:0002576]",2
"35"," positive regulation of apoptotic process [GO:0043065]",6
"36"," positive regulation of gastrulation [GO:2000543]",1
"37"," positive regulation of protein secretion [GO:0050714]",14
"38"," positive regulation of sequestering of triglyceride [GO:0010890]",1
"39"," positive regulation of smooth muscle cell proliferation [GO:0048661]",2
"40"," postsynaptic actin cytoskeleton organization [GO:0098974]",3
"41"," protein folding [GO:0006457]",3
"42"," regulation of cell division [GO:0051302]",1
"43"," regulation of small GTPase mediated signal transduction [GO:0051056]",16
"44"," response to drug [GO:0042493]",1
"45"," response to heat [GO:0009408]",3
"46"," response to toxic substance [GO:0009636]",1
"47"," signal transduction [GO:0007165]",16
"48","adult locomotory behavior [GO:0008344]",8
"49","adult walking behavior [GO:0007628]",1
"50","animal organ regeneration [GO:0031100]",3
"51","astrocyte cell migration [GO:0043615]",11
"52","auditory receptor cell stereocilium organization [GO:0060088]",10
"53","blastocyst growth [GO:0001832]",1
"54","calcium ion import across plasma membrane [GO:0098703]",1
"55","cation transport [GO:0006812]",4
"56","cell differentiation [GO:0030154]",23
"57","cell division [GO:0051301]",3
"58","cell population proliferation [GO:0008283]",1
"59","cellular response to calcium ion [GO:0071277]",1
"60","central nervous system development [GO:0007417]",12
"61","chorionic trophoblast cell differentiation [GO:0060718]",1
"62","cilium assembly [GO:0060271]",2
"63","COPII vesicle coating [GO:0048208]",5
"64","DNA replication [GO:0006260]",3
"65","ephrin receptor signaling pathway [GO:0048013]",1
"66","establishment of epithelial cell polarity [GO:0090162]",14
"67","establishment of Golgi localization [GO:0051683]",24
"68","fat cell differentiation [GO:0045444]",1
"69","homocysteine catabolic process [GO:0043418]",1
"70","innate immune response [GO:0045087]",4
"71","multicellular organism development [GO:0007275]",1
"72","negative regulation of Wnt signaling pathway [GO:0030178]",1
"73","peptide metabolic process [GO:0006518]",9
"74","positive regulation of synapse structural plasticity [GO:0051835]",3
"75","postsynapse organization [GO:0099173]",16
"76","proteolysis [GO:0006508]",1
"77","rRNA base methylation [GO:0070475]",2
"78","Wnt signaling pathway [GO:0016055]",2
