parentGOslim,frequency
catalytic complex,22
chromatin,6
chromosomal part,21
condensed chromosome kinetochore,5
cytoplasm,31
cytoplasmic vesicle,5
cytoskeletal part,15
cytosol,8
endoplasmic reticulum,8
endoplasmic reticulum part,8
extracellular region,5
extracellular region part,6
Golgi subcompartment,7
inner mitochondrial membrane protein complex,5
intracellular non-membrane-bounded organelle,26
kinetochore,8
membrane part,24
membrane protein complex,10
mitochondrial part,9
mitochondrion,18
nucleolar part,5
nucleoplasm,11
nucleoplasm part,6
plasma membrane,8
plasma membrane bounded cell projection,7
plasma membrane part,7
ribonucleoprotein complex,8
spindle pole,7
transferase complex,11
ubiquitin ligase complex,8
vacuole,5
whole membrane,5
