gene,signLogP
XM_022486441.1,63.5767718360027
XM_022445879.1,18.5125662347044
XM_022451681.1,10.4173223660422
XM_022451650.1,10.4173223660422
XM_022481252.1,21.9710052446789
XM_022476787.1,6.04886953252067
XM_022486759.1,8.26405171098983
XM_022463806.1,13.7744914628696
XM_022466353.1,27.1261234277055
XM_022465219.1,27.2641291440302
XM_022434536.1,7.79095800668733
XM_022442625.1,15.9782215409611
XM_022473810.1,26.5390900973202
XM_022470304.1,20.5614489037904
XM_022479421.1,36.8763308508673
XM_022473301.1,41.8397160498316
XM_022466598.1,0.756322151754418
XM_022474843.1,9.17432961290979
XM_022431832.1,20.7125959630462
XM_022457267.1,37.1744323557449
XM_022487070.1,15.1405092753944
XM_022478705.1,5.63506336063741
XM_022436107.1,4.8403092719096
XM_022457914.1,2.51072673773991
XM_022458968.1,26.2820605692755
XM_022450492.1,95.5150836518809
XM_022474723.1,35.0090366970941
XM_022461511.1,15.6065494868439
XM_022466463.1,33.8312210128024
XM_022438379.1,34.768058875954
XM_022432269.1,18.1283873201432
XM_022462212.1,2.63813083894032
XM_022486464.1,22.2594672282585
XM_022469460.1,17.2480351525849
XM_022468416.1,30.1066838625425
XM_022433140.1,28.7131043649406
XM_022474858.1,19.0278893394249
XM_022444056.1,22.388706537096
XM_022431126.1,2.49844463618795
XM_022433055.1,49.2879357175029
XM_022489865.1,18.693669690997
XM_022430706.1,35.9508781197251
XM_022465326.1,44.0159836529581
XM_022460497.1,25.5199310879864
XM_022479948.1,9.54868646316676
XM_022477370.1,0.851257255122326
XM_022488195.1,13.534015083104
XM_022463097.1,17.8060439040735
XM_022457690.1,12.1084037950324
XM_022486957.1,20.5056559682512
XM_022457516.1,0.883309395133061
XM_022482755.1,5.79432203199711
XM_022463004.1,37.5009913039127
XM_022460007.1,1.36784166417767
XM_022487625.1,7.45369594903134
XM_022444325.1,22.7459618944745
XM_022476763.1,54.8613793024407
XM_022442109.1,16.9743037902403
XM_022459164.1,30.7397274816651
XM_022431345.1,59.7170034965507
XM_022486749.1,1.68303816734419
XM_022465596.1,9.87260108833857
XM_022483410.1,25.7986444731546
XM_022432612.1,108.246353696385
XM_022466668.1,26.3106873532857
XM_022465066.1,70.4192899330615
XM_022488432.1,30.4003356840655
XM_022472391.1,1.8253973315349
XM_022453433.1,43.031687301812
XM_022476031.1,11.7403818029937
XM_022478527.1,29.5252074083016
XM_022432894.1,29.0671265021191
XM_022430482.1,10.885715268543
XM_022432893.1,29.0671265021191
XM_022441122.1,21.6784146077481
XM_022433449.1,40.4941505076955
XM_022484974.1,31.8902646140888
XM_022467813.1,27.2105715050146
XM_022477217.1,19.906100433309
XM_022430525.1,37.7709601284934
XM_022457632.1,6.75174604162911
XM_022442329.1,15.8941803974828
XM_022438425.1,2.30642345007053
XM_022462732.1,23.7293191900724
XM_022469418.1,8.20226165595258
XM_022470306.1,27.0476218393321
XM_022457528.1,16.8995585497002
XM_022431951.1,1.74969875423889
XM_022458955.1,52.0137256699692
XM_022461068.1,20.5925262126832
XM_022433335.1,51.8092924727056
XM_022430868.1,14.5601914828702
XM_022436090.1,4.8403092719096
XM_022448844.1,76.6629796170813
XM_022430681.1,18.2701959558039
XM_022431023.1,11.1767261227242
XM_022448873.1,46.5150672510636
XM_022436441.1,35.1033555298998
XM_022450424.1,71.4279404348343
XM_022463485.1,28.9737143718362
XM_022434917.1,155.860020386716
XM_022486654.1,17.3133789849884
XM_022458912.1,2.5773688409647
XM_022452464.1,15.5384010833841
XM_022469531.1,9.68299102149096
XM_022446298.1,6.34081381800372
XM_022460011.1,11.2637048939459
XM_022438560.1,5.00397646340019
XM_022466196.1,12.6064335025202
XM_022473442.1,61.1754925888813
XM_022461018.1,19.5378146028208
XM_022443674.1,76.4849562271652
XM_022463552.1,25.7888751383191
XM_022450720.1,39.1979044748122
XM_022487209.1,1.83164502734178
XM_022453230.1,46.9058423108192
XM_022437048.1,44.9671621267716
XM_022458534.1,45.8707729390211
XM_022433141.1,28.4099366645158
XM_022454188.1,8.87799234250353
XM_022468766.1,96.6542069399338
XM_022485713.1,12.9383424320561
XM_022444173.1,40.6364898521821
XM_022460284.1,4.93405168528986
XM_022484644.1,84.1341656666789
XM_022459297.1,26.1022584778628
XM_022431025.1,27.8031272680936
XM_022484022.1,56.7434986237559
XM_022442108.1,46.3025266509108
XM_022477792.1,28.4589029269992
XM_022463109.1,6.60541836520132
XM_022463942.1,7.68024246416925
XM_022447364.1,37.8641147313001
XM_022473039.1,34.8859319353441
XM_022458983.1,70.0156268142147
XM_022464236.1,8.70298134993676
XM_022442577.1,28.7052533286457
XM_022433072.1,33.3314636743197
XM_022458027.1,10.5939455521865
XM_022438188.1,11.7013427631019
XM_022466627.1,33.5005859569518
XM_022437946.1,62.7233535462177
XM_022468558.1,49.6612235177427
XM_022461422.1,17.9770024813898
XM_022432315.1,19.6845985469242
XM_022462267.1,5.56705312594847
XM_022431276.1,27.4988185278155
XM_022461674.1,2.14107612333405
XM_022448639.1,25.7837640278841
XM_022457675.1,4.71493739688082
XM_022447422.1,118.692386425854
XM_022489278.1,29.0471629129407
