parentGOslim,frequency
anatomical structure formation involved in morphogenesis,1
anatomical structure morphogenesis,4
cell cycle G2/M phase transition,3
cell cycle phase transition,3
cell morphogenesis,2
cellular component assembly,2
cellular developmental process,2
cilium movement,2
cytoskeleton organization,1
DNA metabolic process,4
localization,2
microtubule-based process,3
mitotic cell cycle process,3
morphogenesis of an epithelium,2
movement of cell or subcellular component,2
mRNA metabolic process,1
multicellular organismal homeostasis,1
multicellular organismal process,3
negative regulation of cellular metabolic process,5
organelle organization,2
regulation of biological quality,1
regulation of cellular protein metabolic process,1
reproductive process,1
response to stimulus,4
ribonucleoprotein complex assembly,1
RNA metabolic process,1
RNA processing,1
RNA splicing, via transesterification reactions,1
