parentGOslim,frequency
anion transmembrane transporter activity,1
calcium ion binding,4
enzyme binding,1
guanyl-nucleotide exchange factor activity,1
lipid binding,1
magnesium ion binding,1
metal ion binding,6
molecular function regulator,1
mRNA binding,2
oxidoreductase activity,3
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,3
phospholipid binding,1
protein-containing complex binding,1
purine ribonucleoside triphosphate binding,2
RNA binding,3
signaling receptor binding,1
small molecule binding,3
structural constituent of ribosome,1
structural molecule activity,1
transcription coactivator activity,2
transcription coregulator activity,3
transcription regulator activity,3
transferase activity, transferring phosphorus-containing groups,3
transporter activity,1
