parentGOslim,frequency
anatomical structure formation involved in morphogenesis,1
anatomical structure morphogenesis,3
cell cycle G2/M phase transition,2
cell cycle phase transition,2
cell morphogenesis,2
cellular component assembly,1
cellular developmental process,2
cytoskeleton organization,1
DNA metabolic process,1
localization,2
microtubule-based process,1
mitotic cell cycle process,2
morphogenesis of an epithelium,1
mRNA metabolic process,1
multicellular organismal homeostasis,1
multicellular organismal process,2
negative regulation of cellular metabolic process,4
organelle organization,2
regulation of biological quality,1
reproductive process,1
response to stimulus,1
RNA metabolic process,1
RNA processing,1
RNA splicing, via transesterification reactions,1
