parentGOslim,frequency
anion transmembrane transporter activity,1
enzyme binding,1
guanyl-nucleotide exchange factor activity,1
lipid binding,1
magnesium ion binding,1
metal ion binding,1
molecular function regulator,1
mRNA binding,1
oxidoreductase activity,1
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,1
phospholipid binding,1
protein-containing complex binding,1
purine ribonucleoside triphosphate binding,1
RNA binding,1
signaling receptor binding,1
small molecule binding,2
structural constituent of ribosome,1
structural molecule activity,1
transporter activity,1
