parentGOslim,frequency
anatomical structure morphogenesis,1
cell cycle G2/M phase transition,1
cell cycle phase transition,1
cellular component assembly,1
cilium movement,2
DNA metabolic process,3
microtubule-based process,2
mitotic cell cycle process,1
morphogenesis of an epithelium,1
movement of cell or subcellular component,2
multicellular organismal process,1
negative regulation of cellular metabolic process,1
regulation of cellular protein metabolic process,1
response to stimulus,3
ribonucleoprotein complex assembly,1
