name	term	lev	seq	value
"cytokinesis"	GO:0000281;GO:0061640;GO:0000910	3	XM_022460077.1	-1.9390815173218
"cytokinesis"	GO:0000281;GO:0061640;GO:0000910	3	XM_022477693.1	-6.42810396368545
"cytokinesis"	GO:0000281;GO:0061640;GO:0000910	3	XM_022432025.1	-6.93562474994761
"cytokinesis"	GO:0000281;GO:0061640;GO:0000910	3	XM_022450424.1	71.4279404348343
"cytokinesis"	GO:0000281;GO:0061640;GO:0000910	3	XM_022433141.1	28.4099366645158
"cytokinesis"	GO:0000281;GO:0061640;GO:0000910	3	XM_022431041.1	1.68318402698926
"cytokinesis"	GO:0000281;GO:0061640;GO:0000910	3	XM_022433665.1	80.0424661008049
"cytokinesis"	GO:0000281;GO:0061640;GO:0000910	3	XM_022444965.1	-1.92152743813804
"microtubule-based process"	GO:0007017	2	XM_022478705.1	5.63506336063741
"microtubule-based process"	GO:0007017	2	XM_022482755.1	5.79432203199711
"microtubule-based process"	GO:0007017	2	XM_022459164.1	30.7397274816651
"microtubule-based process"	GO:0007017	2	XM_022446298.1	6.34081381800372
"microtubule-based process"	GO:0007017	2	XM_022440199.1	-134.516099901594
"microtubule-based process"	GO:0007017	2	XM_022436904.1	-129.431837196129
"microtubule-based process"	GO:0007017	2	XM_022462034.1	-68.88133818984
"microtubule-based process"	GO:0007017	2	XM_022469019.1	-9.21575208893691
"microtubule-based process"	GO:0007017	2	XM_022450693.1	66.3390322279633
"microtubule-based process"	GO:0007017	2	XM_022481878.1	9.12402690513586
"microtubule-based process"	GO:0007017	2	XM_022473935.1	50.4091147143399
"microtubule-based process"	GO:0007017	2	XM_022468144.1	47.5743388758082
"microtubule-based process"	GO:0007017	2	XM_022442340.1	62.9722083700523
"microtubule-based process"	GO:0007017	2	XM_022441657.1	68.8720658022459
"microtubule-based process"	GO:0007017	2	XM_022488490.1	14.2017639486232
"microtubule-based process"	GO:0007017	2	XM_022447309.1	10.5089543132988
"microtubule-based process"	GO:0007017	2	XM_022476694.1	1.27772053368258
"microtubule-based process"	GO:0007017	2	XM_022433528.1	16.4315976745412
"regulation of biological quality"	GO:0042592;GO:0065008	2	XM_022486441.1	63.5767718360027
"regulation of biological quality"	GO:0042592;GO:0065008	2	XM_022481252.1	21.9710052446789
"regulation of biological quality"	GO:0042592;GO:0065008	2	XM_022463806.1	13.7744914628696
"regulation of biological quality"	GO:0042592;GO:0065008	2	XM_022456418.1	-5.90133393997877
"regulation of biological quality"	GO:0042592;GO:0065008	2	XM_022438379.1	34.768058875954
"regulation of biological quality"	GO:0042592;GO:0065008	2	XM_022485097.1	-12.3205988155359
"regulation of biological quality"	GO:0042592;GO:0065008	2	XM_022468238.1	6.03719481753088
"regulation of biological quality"	GO:0042592;GO:0065008	2	XM_022485916.1	20.2837388122439
"regulation of biological quality"	GO:0042592;GO:0065008	2	XM_022473822.1	-26.9559732441358
"regulation of biological quality"	GO:0042592;GO:0065008	2	XM_022460150.1	-2.2506380123713
"regulation of biological quality"	GO:0042592;GO:0065008	2	XM_022458912.1	2.5773688409647
"negative regulation of cellular metabolic process"	GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0009890;GO:0031324;GO:0051253;GO:0045934;GO:0051172	6	XM_022470304.1	20.5614489037904
"negative regulation of cellular metabolic process"	GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0009890;GO:0031324;GO:0051253;GO:0045934;GO:0051172	6	XM_022473301.1	41.8397160498316
"negative regulation of cellular metabolic process"	GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0009890;GO:0031324;GO:0051253;GO:0045934;GO:0051172	6	XM_022470484.1	-25.538442124688
