name	term	lev	seq	value
"whole membrane"	GO:0098805	2	XM_022470454.1	-4.5881813175226
"whole membrane"	GO:0098805	2	XM_022489902.1	3.83748758892749
"whole membrane"	GO:0098805	2	XM_022469618.1	11.6122652527505
"whole membrane"	GO:0098805	2	XM_022442579.1	11.1721041279827
"whole membrane"	GO:0098805	2	XM_022489186.1	12.258382667136
"vacuole"	GO:0005773	2	XM_022483410.1	25.7986444731546
"vacuole"	GO:0005773	2	XM_022466377.1	4.94711669915662
"vacuole"	GO:0005773	2	XM_022459047.1	25.8380332348407
"vacuole"	GO:0005773	2	XM_022439210.1	29.2552473383869
"vacuole"	GO:0005773	2	XM_022487521.1	12.2831668875371
"kinetochore"	GO:0000776	2	XM_022430837.1	42.8267020250987
"kinetochore"	GO:0000776	2	XM_022473085.1	62.8385022564421
"kinetochore"	GO:0000776	2	XM_022436420.1	5.90348920155205
"kinetochore"	GO:0000776	2	XM_022488080.1	-13.6237701646706
"kinetochore"	GO:0000776	2	XM_022436121.1	-3.29989094267926
"kinetochore"	GO:0000776	2	XM_022484595.1	-0.6180000057073
"kinetochore"	GO:0000776	2	XM_022435213.1	-14.513100593404
"kinetochore"	GO:0000776	2	XM_022438159.1	-29.6802850177601
"condensed chromosome kinetochore"	GO:0000777	3	XM_022430837.1	42.8267020250987
"condensed chromosome kinetochore"	GO:0000777	3	XM_022473085.1	62.8385022564421
"condensed chromosome kinetochore"	GO:0000777	3	XM_022488080.1	-13.6237701646706
"condensed chromosome kinetochore"	GO:0000777	3	XM_022484595.1	-0.6180000057073
"condensed chromosome kinetochore"	GO:0000777	3	XM_022438159.1	-29.6802850177601
"endoplasmic reticulum part"	GO:0005789;GO:0044432	2	XM_022458285.1	-4.84775283318403
"endoplasmic reticulum part"	GO:0005789;GO:0044432	2	XM_022467450.1	5.04208323764209
"endoplasmic reticulum part"	GO:0005789;GO:0044432	2	XM_022473482.1	-0.688819558240223
"endoplasmic reticulum part"	GO:0005789;GO:0044432	2	XM_022464247.1	20.6960009257984
"endoplasmic reticulum part"	GO:0005789;GO:0044432	2	XM_022464234.1	0.0376766338575147
"endoplasmic reticulum part"	GO:0005789;GO:0044432	2	XM_022476253.1	15.1266833465112
"endoplasmic reticulum part"	GO:0005789;GO:0044432	2	XM_022484742.1	-7.89603004785033
"endoplasmic reticulum part"	GO:0005789;GO:0044432	2	XM_022433869.1	-19.1860204093069
"membrane part"	GO:0044425	1	XM_022458285.1	-4.84775283318403
"membrane part"	GO:0044425	1	XM_022434917.1	155.860020386716
"membrane part"	GO:0044425	1	XM_022437912.1	-5.99935519656193
"membrane part"	GO:0044425	1	XM_022454710.1	5.65447101781198
"membrane part"	GO:0044425	1	XM_022463913.1	29.2254492409449
"membrane part"	GO:0044425	1	XM_022477402.1	50.5875801524269
"membrane part"	GO:0044425	1	XM_022464759.1	3.01960271921624
"membrane part"	GO:0044425	1	XM_022456845.1	24.4193717390531
"membrane part"	GO:0044425	1	XM_022435122.1	-27.3569434147114
"membrane part"	GO:0044425	1	XM_022434368.1	-15.1626318993759
"membrane part"	GO:0044425	1	XM_022467450.1	5.04208323764209
"membrane part"	GO:0044425	1	XM_022453641.1	41.3369510753241
"membrane part"	GO:0044425	1	XM_022430979.1	6.30647561101154
"membrane part"	GO:0044425	1	XM_022473482.1	-0.688819558240223
"membrane part"	GO:0044425	1	XM_022458097.1	-2.77723871672623
"membrane part"	GO:0044425	1	XM_022464247.1	20.6960009257984
"membrane part"	GO:0044425	1	XM_022464234.1	0.0376766338575147
"membrane part"	GO:0044425	1	XM_022441648.1	-76.8551833586922
"membrane part"	GO:0044425	1	XM_022452973.1	8.54081551447085
"membrane part"	GO:0044425	1	XM_022454715.1	5.65447101781198
"membrane part"	GO:0044425	1	XM_022476253.1	15.1266833465112
"membrane part"	GO:0044425	1	XM_022466005.1	-2.23857890101851
"membrane part"	GO:0044425	1	XM_022433869.1	-19.1860204093069
"membrane part"	GO:0044425	1	XM_022481452.1	-9.69939357773203
"cytoskeletal part"	GO:0044430	2	XM_022488866.1	-10.2139517104647
"cytoskeletal part"	GO:0044430	2	XM_022462732.1	23.7293191900724
"cytoskeletal part"	GO:0044430	2	XM_022431153.1	-57.1881839698879
"cytoskeletal part"	GO:0044430	2	XM_022448323.1	-14.0140723564914
"cytoskeletal part"	GO:0044430	2	XM_022430907.1	21.0349988279182
"cytoskeletal part"	GO:0044430	2	XM_022465866.1	-5.04387346241107
"cytoskeletal part"	GO:0044430	2	XM_022430481.1	39.4172397387556
"cytoskeletal part"	GO:0044430	2	XM_022457464.1	-26.6843637528547
"cytoskeletal part"	GO:0044430	2	XM_022462252.1	15.0528064606126
"cytoskeletal part"	GO:0044430	2	XM_022466901.1	32.9043945843879
"cytoskeletal part"	GO:0044430	2	XM_022442894.1	-91.6254957869936
"cytoskeletal part"	GO:0044430	2	XM_022482623.1	-54.9121448034775
"cytoskeletal part"	GO:0044430	2	XM_022434288.1	60.1723309591552
"cytoskeletal part"	GO:0044430	2	XM_022481914.1	10.3897210565659
"cytoskeletal part"	GO:0044430	2	XM_022449439.1	67.1799017459723
"cytoplasmic vesicle"	GO:0031410;GO:0097708;GO:0031982	2	XM_022449532.1	34.2980357840325
"cytoplasmic vesicle"	GO:0031410;GO:0097708;GO:0031982	2	XM_022486466.1	32.4150120337554
"cytoplasmic vesicle"	GO:0031410;GO:0097708;GO:0031982	2	XM_022484191.1	-13.4911557271794
"cytoplasmic vesicle"	GO:0031410;GO:0097708;GO:0031982	2	XM_022466820.1	2.08435680180324
"cytoplasmic vesicle"	GO:0031410;GO:0097708;GO:0031982	2	XM_022479631.1	35.1721552260331
"extracellular region part"	GO:0044421	1	XM_022452962.1	0.928558929406037
"extracellular region part"	GO:0044421	1	XM_022462798.1	15.4067112834511
"extracellular region part"	GO:0044421	1	XM_022476428.1	-5.80423505396144
"extracellular region part"	GO:0044421	1	XM_022460210.1	-1.14019363392217
"extracellular region part"	GO:0044421	1	XM_022473223.1	-36.1680762564005
"extracellular region part"	GO:0044421	1	XM_022448172.1	22.2887720350548
"nucleoplasm"	GO:0005654	2	XM_022451681.1	10.4173223660422
"nucleoplasm"	GO:0005654	2	XM_022437329.1	42.7029127799609
"nucleoplasm"	GO:0005654	2	XM_022432742.1	-86.0045176323672
"nucleoplasm"	GO:0005654	2	XM_022440938.1	0.963287742205313
"nucleoplasm"	GO:0005654	2	XM_022431793.1	-29.6911840891757
"nucleoplasm"	GO:0005654	2	XM_022477990.1	-110.026707671424
"nucleoplasm"	GO:0005654	2	XM_022464622.1	5.04727059630657
"nucleoplasm"	GO:0005654	2	XM_022487957.1	8.30433111377693
"nucleoplasm"	GO:0005654	2	XM_022438392.1	-7.25948660561542
"nucleoplasm"	GO:0005654	2	XM_022471142.1	24.6840852565635
"nucleoplasm"	GO:0005654	2	XM_022486118.1	-4.98433558333632
"inner mitochondrial membrane protein complex"	GO:0098800;GO:0044455;GO:0098798	3	XM_022437912.1	-5.99935519656193
"inner mitochondrial membrane protein complex"	GO:0098800;GO:0044455;GO:0098798	3	XM_022456845.1	24.4193717390531
"inner mitochondrial membrane protein complex"	GO:0098800;GO:0044455;GO:0098798	3	XM_022435122.1	-27.3569434147114
"inner mitochondrial membrane protein complex"	GO:0098800;GO:0044455;GO:0098798	3	XM_022434368.1	-15.1626318993759
"inner mitochondrial membrane protein complex"	GO:0098800;GO:0044455;GO:0098798	3	XM_022452973.1	8.54081551447085
"plasma membrane"	GO:0005886	2	XM_022483058.1	-17.0629489364945
"plasma membrane"	GO:0005886	2	XM_022468189.1	-22.1856372460395
"plasma membrane"	GO:0005886	2	XM_022443180.1	52.8061688307714
"plasma membrane"	GO:0005886	2	XM_022484124.1	6.83882174258881
"plasma membrane"	GO:0005886	2	XM_022472863.1	16.8128236804017
"plasma membrane"	GO:0005886	2	XM_022441906.1	55.4182332250421
"plasma membrane"	GO:0005886	2	XM_022431847.1	15.9554471798514
"plasma membrane"	GO:0005886	2	XM_022488057.1	-21.6266265233139
"catalytic complex"	GO:1902494	2	XM_022466598.1	0.756322151754418
"catalytic complex"	GO:1902494	2	XM_022487070.1	15.1405092753944
"catalytic complex"	GO:1902494	2	XM_022457228.1	-12.5464676862965
