"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-22 0.455001993387713 2 11 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.900201489334505
19 0.486816524046055 3 13 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.900201489334505
23 0.187601535180712 5 32 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903507;GO:2000113;GO:1903506;GO:2000112;GO:1902679;GO:0010558;GO:0031327;GO:2001141;GO:0010556;GO:0031326;GO:0051253;GO:0009890;GO:0031324;GO:0009889;GO:0045934;GO:0051172" "negative regulation of cellular metabolic process" 0.683405592444022
20 0.641409166647086 2 5 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.900201489334505
-30 0.308309581521913 4 11 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.900201489334505
53 0.121265436064925 2 8 "GO:0000226;GO:0007010" "microtubule cytoskeleton organization" 0.683405592444022
57 0.184871749094822 2 5 "GO:0000278;GO:0007049" "mitotic cell cycle" 0.683405592444022
29 0.398876822190407 3 8 "GO:0000281;GO:0061640;GO:0000910" "mitotic cytokinesis" 0.900201489334505
-26 0.550895456429759 6 5 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA splicing, via spliceosome" 0.900201489334505
35 0.18231438734396 2 14 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing, via transesterification reactions" 0.683405592444022
-5 0.853594457600218 5 12 "GO:0000724;GO:0000725;GO:0006302;GO:0006281;GO:0006310;GO:0006259;GO:0006974;GO:0033554;GO:0051716" "DNA metabolic process" 0.987219535165463
-21 0.567246418072795 3 7 "GO:0000902;GO:0032989" "cell morphogenesis" 0.900201489334505
19 0.594849293758983 6 7 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0009057" "nuclear-transcribed mRNA catabolic process" 0.900201489334505
-12 0.68363331774331 2 11 "GO:0001525" "angiogenesis" 0.900201489334505
-2 0.967862289377905 2 7 "GO:0001659;GO:0048871" "multicellular organismal homeostasis" 0.987219535165463
4 0.896258643507641 1 10 "GO:0002376" "immune system process" 0.987219535165463
-19 0.381689690634597 3 20 "GO:0003341;GO:0007018;GO:0006928" "movement of cell or subcellular component" 0.900201489334505
-2 0.953224851863882 2 6 "GO:0006364;GO:0016072" "rRNA processing" 0.987219535165463
25 0.206488250263373 2 24 "GO:0006396" "RNA processing" 0.702060050895468
-14 0.474999297923224 3 24 "GO:0006464;GO:0036211;GO:0044267;GO:0019538;GO:0043412;GO:1901564" "macromolecule modification" 0.900201489334505
-22 0.498265270368355 3 9 "GO:0006631;GO:0032787;GO:0044255;GO:0019752;GO:0006629;GO:0043436;GO:0006082;GO:0044281" "carboxylic acid metabolic process" 0.900201489334505
70 0.0546295100295539 3 7 "GO:0006810;GO:0051234;GO:0051179" "localization" 0.683405592444022
6 0.784370143722924 2 23 "GO:0006950;GO:0050896" "response to stimulus" 0.987219535165463
20 0.335918935579635 3 23 "GO:0006996" "organelle organization" 0.900201489334505
-9 0.83065985118298 2 5 "GO:0007005" "mitochondrion organization" 0.987219535165463
14 0.504063670632155 2 23 "GO:0007017" "microtubule-based process" 0.900201489334505
-5 0.884677427093402 2 7 "GO:0007165" "signal transduction" 0.987219535165463
57 0.143715355756609 2 6 "GO:0007275" "multicellular organism development" 0.683405592444022
-30 0.184009446386473 2 19 "GO:0009653" "anatomical structure morphogenesis" 0.683405592444022
30 0.177635013688929 3 20 "GO:0016071" "mRNA metabolic process" 0.683405592444022
-8 0.849235742220404 1 5 "GO:0022414" "reproductive process" 0.987219535165463
-24 0.31190633640602 2 17 "GO:0022607" "cellular component assembly" 0.900201489334505
-44 0.114779657297417 5 12 "GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933" "cellular protein-containing complex assembly" 0.683405592444022
63 0.139413622583109 3 5 "GO:0023051" "regulation of signaling" 0.683405592444022
-106 0.0131993068503665 2 5 "GO:0030154" "cell differentiation" 0.673164649368691
53 0.173147640170701 4 6 "GO:0031325;GO:0009893;GO:0048522;GO:0010604" "positive regulation of cellular process" 0.683405592444022
3 0.889848033981141 1 22 "GO:0032501" "multicellular organismal process" 0.987219535165463
-2 0.963042266972176 3 9 "GO:0034470;GO:0034660" "ncRNA metabolic process" 0.987219535165463
-70 0.0546295100295539 2 7 "GO:0035239;GO:0002009;GO:0048729" "morphogenesis of an epithelium" 0.683405592444022
18 0.536750901638434 3 11 "GO:0042592;GO:0065008" "regulation of biological quality" 0.900201489334505
22 0.465488047449616 2 10 "GO:0044248;GO:1901575;GO:0009056" "cellular catabolic process" 0.900201489334505
0 0.997324025404056 3 24 "GO:0044772;GO:0044770" "cell cycle phase transition" 0.997324025404056
