"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
23 0.422742029328927 3 11 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.891166367169136
-19 0.470591129664144 5 13 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.891166367169136
-26 0.127349472421746 5 32 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172" "negative regulation of cellular metabolic process" 0.891166367169136
41 0.322994737420861 2 5 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.891166367169136
21 0.45798582718381 4 11 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.891166367169136
17 0.601155864559458 3 8 "GO:0000226;GO:0007010" "microtubule cytoskeleton organization" 0.891166367169136
-38 0.370227835587113 3 5 "GO:0000278;GO:0007049" "mitotic cell cycle" 0.891166367169136
35 0.294911899077906 3 8 "GO:0000281;GO:0061640;GO:0000910" "mitotic cytokinesis" 0.891166367169136
3 0.947724640098573 3 5 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA processing" 1
8 0.772379725306589 7 11 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing, via transesterification reactions" 0.970569101896074
-4 0.875302246944287 6 12 "GO:0000724;GO:0000725;GO:0006302;GO:0006281;GO:0006310;GO:0006259;GO:0006974;GO:0033554;GO:0051716" "DNA metabolic process" 1
23 0.524661557666246 3 7 "GO:0000902;GO:0032989" "cell morphogenesis" 0.891166367169136
24 0.506050647161678 7 7 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0009057" "nuclear-transcribed mRNA catabolic process" 0.891166367169136
8 0.799162638136586 3 10 "GO:0001525" "angiogenesis" 0.970569101896074
18 0.605320551284696 3 7 "GO:0001659;GO:0048871" "multicellular organismal homeostasis" 0.891166367169136
50 0.0948710915758483 1 10 "GO:0002376" "immune system process" 0.83802797558666
-53 0.0732288676060272 2 10 "GO:0003341;GO:0007018" "cilium movement" 0.83802797558666
10 0.805335633962853 2 6 "GO:0006364;GO:0016072" "rRNA processing" 0.970569101896074
1 0.981566086033034 2 21 "GO:0006396" "RNA processing" 1
11 0.560617442805894 3 24 "GO:0006464;GO:0036211;GO:0044267;GO:0019538;GO:0043412;GO:1901564" "macromolecule modification" 0.891166367169136
2 0.957872044799294 5 9 "GO:0006631;GO:0032787;GO:0044255;GO:0006629;GO:0019752;GO:0043436;GO:0006082;GO:0044281" "carboxylic acid metabolic process" 1
-60 0.0925575520687936 2 7 "GO:0006810;GO:0051234;GO:0051179" "localization" 0.83802797558666
-17 0.48600108678617 2 15 "GO:0006928" "movement of cell or subcellular component" 0.891166367169136
7 0.718650727729565 2 23 "GO:0006950;GO:0050896" "response to stimulus" 0.970569101896074
7 0.744964857526963 2 23 "GO:0006996" "organelle organization" 0.970569101896074
37 0.380692970014415 4 5 "GO:0007005" "mitochondrion organization" 0.891166367169136
-22 0.318647928320075 2 18 "GO:0007017" "microtubule-based process" 0.891166367169136
19 0.585349149018668 3 7 "GO:0007165" "signal transduction" 0.891166367169136
-67 0.0790512151042234 2 6 "GO:0007275" "multicellular organism development" 0.83802797558666
-52 0.018342765216066 2 19 "GO:0009653" "anatomical structure morphogenesis" 0.620223316362749
12 0.481680815027822 5 32 "GO:0016070" "RNA metabolic process" 0.891166367169136
