"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-21 0.46200106279134 4 11 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.93911145965453
19 0.481923210669828 4 13 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.93911145965453
22 0.196434487390337 6 32 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0009890;GO:0031324;GO:0051253;GO:0045934;GO:0051172" "negative regulation of cellular metabolic process" 0.80416324467956
19 0.656767241066713 2 5 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.94911078177542
-29 0.317298256132161 4 11 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.893817301250865
49 0.136961409543294 3 8 "GO:0000226;GO:0007010" "cytoskeleton organization" 0.80416324467956
54 0.197247588317628 3 5 "GO:0000278;GO:0007049" "mitotic cell cycle" 0.80416324467956
29 0.390686957247206 3 8 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.93911145965453
-16 0.699421563721773 6 5 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA processing" 0.94911078177542
37 0.193306592488196 8 11 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing, via transesterification reactions" 0.80416324467956
-6 0.81329042541862 7 12 "GO:0000724;GO:0000725;GO:0006302;GO:0006281;GO:0006310;GO:0006259;GO:0006974;GO:0033554;GO:0051716" "DNA metabolic process" 0.986317703478718
-20 0.565689334403209 2 7 "GO:0000902;GO:0032989" "cell morphogenesis" 0.93911145965453
19 0.602448860910453 5 7 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0009057" "mRNA catabolic process" 0.93911145965453
-16 0.597568076060788 2 10 "GO:0001525" "angiogenesis" 0.93911145965453
-1 0.975363372445806 2 7 "GO:0001659;GO:0048871" "multicellular organismal homeostasis" 0.986317703478718
4 0.90493724946415 1 10 "GO:0002376" "immune system process" 0.986317703478718
4 0.902195454851236 3 10 "GO:0003341;GO:0007018" "cilium movement" 0.986317703478718
-2 0.955735147909541 7 6 "GO:0006364;GO:0016072" "rRNA metabolic process" 0.986317703478718
25 0.232878949366406 6 21 "GO:0006396" "RNA processing" 0.881613165458537
-14 0.463658257517688 5 24 "GO:0006464;GO:0036211;GO:0044267;GO:0019538;GO:0043412;GO:1901564" "macromolecule modification" 0.93911145965453
-20 0.515509365053911 4 9 "GO:0006631;GO:0032787;GO:0044255;GO:0019752;GO:0006629;GO:0043436;GO:0006082;GO:0044281" "carboxylic acid metabolic process" 0.93911145965453
66 0.0612799767390531 2 7 "GO:0006810;GO:0051234;GO:0051179" "localization" 0.80416324467956
-14 0.575540129908041 2 15 "GO:0006928" "movement of cell or subcellular component" 0.93911145965453
4 0.85110425302315 2 23 "GO:0006950;GO:0050896" "response to stimulus" 0.986317703478718
19 0.337289547641836 2 23 "GO:0006996" "organelle organization" 0.893817301250865
-8 0.851676369461462 2 5 "GO:0007005" "mitochondrion organization" 0.986317703478718
25 0.270548575817717 2 18 "GO:0007017" "microtubule-based process" 0.893817301250865
-5 0.880532616670669 2 7 "GO:0007165" "signal transduction" 0.986317703478718
54 0.158581367263796 2 6 "GO:0007275" "multicellular organism development" 0.80416324467956
-21 0.330927167142516 2 19 "GO:0009653" "anatomical structure morphogenesis" 0.893817301250865
20 0.25713435471003 4 32 "GO:0016070" "RNA metabolic process" 0.893817301250865
30 0.193239959322086 6 17 "GO:0016071" "mRNA metabolic process" 0.80416324467956
-8 0.855485957619448 1 5 "GO:0022414" "reproductive process" 0.986317703478718
-22 0.33300934437632 3 17 "GO:0022607" "cellular component assembly" 0.893817301250865
-43 0.117696361832183 3 12 "GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933" "ribonucleoprotein complex assembly" 0.80416324467956
61 0.148501453598457 3 5 "GO:0023051" "regulation of signaling" 0.80416324467956
-101 0.0153736938218184 2 5 "GO:0030154" "cell differentiation" 0.80416324467956
52 0.173509473650251 2 6 "GO:0031325;GO:0009893;GO:0048522;GO:0010604" "positive regulation of cellular process" 0.80416324467956
-2 0.930768658469588 1 22 "GO:0032501" "multicellular organismal process" 0.986317703478718
-2 0.96077499254272 7 9 "GO:0034470;GO:0034660" "ncRNA processing" 0.986317703478718
-47 0.182841018214177 2 7 "GO:0035239;GO:0002009;GO:0048729" "morphogenesis of an epithelium" 0.80416324467956
17 0.555125228716847 2 11 "GO:0042592;GO:0065008" "regulation of biological quality" 0.93911145965453
21 0.481155757490759 2 10 "GO:0044248;GO:1901575;GO:0009056" "cellular catabolic process" 0.93911145965453
0 0.986317703478718 3 24 "GO:0044772;GO:0044770" "cell cycle phase transition" 0.986317703478718
