"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-26 0.282724989622801 2 8 "GO:0000151" "ubiquitin ligase complex" 0.765811749061174
-7 0.769172061165655 3 8 "GO:0000776" "kinetochore" 0.911611331751887
7 0.831235634081408 2 5 "GO:0000777" "condensed chromosome kinetochore" 0.9435712589117
5 0.855111453388728 4 6 "GO:0000785" "chromatin" 0.9435712589117
-12 0.631526596150136 2 7 "GO:0000922" "spindle pole" 0.854068073769186
16 0.540750199933001 4 7 "GO:0001726;GO:0120025;GO:0042995" "plasma membrane bounded cell projection" 0.838011071943258
-30 0.321605694454571 1 5 "GO:0005576" "extracellular region" 0.765811749061174
-19 0.347986378476054 3 11 "GO:0005654" "nucleoplasm" 0.765811749061174
17 0.182065709588087 3 31 "GO:0005737" "cytoplasm" 0.765811749061174
-36 0.0298119933458747 2 18 "GO:0005739" "mitochondrion" 0.765811749061174
50 0.0974027994006017 2 5 "GO:0005773" "vacuole" 0.765811749061174
20 0.399406156950891 2 8 "GO:0005783" "endoplasmic reticulum" 0.765811749061174
-14 0.549944765962763 4 9 "GO:0005789;GO:0044432" "endoplasmic reticulum part" 0.838011071943258
-30 0.21060332085419 4 8 "GO:0005829" "cytosol" 0.765811749061174
10 0.664683246408468 2 8 "GO:0005886" "plasma membrane" 0.854068073769186
34 0.259964071222516 3 5 "GO:0031410;GO:0097708;GO:0031982" "cytoplasmic vesicle" 0.765811749061174
18 0.188642165295489 2 26 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.765811749061174
-14 0.622653596668454 1 6 "GO:0044421" "extracellular region part" 0.854068073769186
0 0.998735691035641 1 25 "GO:0044425" "membrane part" 0.998735691035641
-18 0.243564275885567 3 21 "GO:0044427" "chromosomal part" 0.765811749061174
-10 0.667240682632177 2 9 "GO:0044429" "mitochondrial part" 0.854068073769186
0 0.995218070564357 3 15 "GO:0044430" "cytoskeletal part" 0.998735691035641
32 0.253442728854727 3 6 "GO:0044451" "nucleoplasm part" 0.765811749061174
-23 0.454700726005072 4 5 "GO:0044452" "nucleolar part" 0.765811749061174
21 0.409833248323417 2 7 "GO:0044459" "plasma membrane part" 0.765811749061174
22 0.384226727318767 3 7 "GO:0098791;GO:0031984" "organelle subcompartment" 0.765811749061174
1 0.971056113138482 2 10 "GO:0098796" "membrane protein complex" 0.998735691035641
-23 0.450628973501074 4 5 "GO:0098800;GO:0044455;GO:0098798" "mitochondrial membrane part" 0.765811749061174
11 0.712331672031693 2 5 "GO:0098805" "whole membrane" 0.876715904039007
-12 0.41794598519207 2 22 "GO:1902494" "catalytic complex" 0.765811749061174
-24 0.237516010559936 3 11 "GO:1990234" "transferase complex" 0.765811749061174
25 0.297453089577598 2 8 "GO:1990904;GO:0000932;GO:0036464;GO:0035770" "ribonucleoprotein complex" 0.765811749061174
