"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-26 0.283022523827086 3 8 "GO:0000151" "ubiquitin ligase complex" 0.772855172349369
-7 0.772316729949298 2 8 "GO:0000776" "kinetochore" 0.915338346606575
7 0.827857957830239 3 5 "GO:0000777" "condensed chromosome kinetochore" 0.942876164116236
5 0.854481523730339 2 6 "GO:0000785" "chromatin" 0.942876164116236
-12 0.632075070282044 4 7 "GO:0000922" "spindle pole" 0.854045316438253
16 0.540875228332799 2 7 "GO:0001726;GO:0120025;GO:0042995" "plasma membrane bounded cell projection" 0.854045316438253
-30 0.321141950463454 1 5 "GO:0005576" "extracellular region" 0.772855172349369
-19 0.347035780916319 2 11 "GO:0005654" "nucleoplasm" 0.772855172349369
17 0.184308845861009 3 31 "GO:0005737" "cytoplasm" 0.772855172349369
-36 0.0296281200643093 2 18 "GO:0005739" "mitochondrion" 0.772855172349369
50 0.0993813065387869 2 5 "GO:0005773" "vacuole" 0.772855172349369
20 0.400350243855575 2 8 "GO:0005783" "endoplasmic reticulum" 0.772855172349369
-14 0.571957552840824 2 8 "GO:0005789;GO:0044432" "endoplasmic reticulum part" 0.854045316438253
-30 0.208595233425208 4 8 "GO:0005829" "cytosol" 0.772855172349369
10 0.667222903467385 2 8 "GO:0005886" "plasma membrane" 0.854045316438253
34 0.262192249455489 2 5 "GO:0031410;GO:0097708;GO:0031982" "cytoplasmic vesicle" 0.772855172349369
18 0.189761365393137 3 26 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.772855172349369
-14 0.6255218602624 1 6 "GO:0044421" "extracellular region part" 0.854045316438253
0 0.975433643196296 1 24 "GO:0044425" "membrane part" 0.996797722304607
-18 0.244895618029755 3 21 "GO:0044427" "chromosomal part" 0.772855172349369
-10 0.664000414681376 2 9 "GO:0044429" "mitochondrial part" 0.854045316438253
0 0.996797722304607 2 15 "GO:0044430" "cytoskeletal part" 0.996797722304607
31 0.253940175842383 2 6 "GO:0044451" "nucleoplasm part" 0.772855172349369
-22 0.458882758582438 2 5 "GO:0044452" "nucleolar part" 0.772855172349369
21 0.412691786934033 2 7 "GO:0044459" "plasma membrane part" 0.772855172349369
22 0.390038645926049 2 7 "GO:0098791;GO:0031984" "Golgi subcompartment" 0.772855172349369
1 0.974802652510837 2 10 "GO:0098796" "membrane protein complex" 0.996797722304607
-23 0.450682068802469 3 5 "GO:0098800;GO:0044455;GO:0098798" "inner mitochondrial membrane protein complex" 0.772855172349369
11 0.718734254246058 2 5 "GO:0098805" "whole membrane" 0.884596005225918
-12 0.417755780649344 2 22 "GO:1902494" "catalytic complex" 0.772855172349369
-24 0.238196622997231 2 11 "GO:1990234" "transferase complex" 0.772855172349369
25 0.297827180544898 2 8 "GO:1990904;GO:0000932;GO:0036464;GO:0035770" "ribonucleoprotein complex" 0.772855172349369
