"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-9 0.85631682797274 2 6 "GO:0000049" "tRNA binding" 0.965588540764248
-11 0.552203263397482 2 49 "GO:0000166;GO:0036094;GO:1901265;GO:0097367;GO:0043168;GO:0032555;GO:0017076;GO:0032553" "small molecule binding" 0.943578710966647
27 0.482154186012553 2 11 "GO:0000287" "magnesium ion binding" 0.943578710966647
16 0.634517712513131 4 14 "GO:0000976;GO:0044212;GO:1990837;GO:0001067;GO:0003690;GO:0043565" "double-stranded DNA binding" 0.943578710966647
-13 0.773774165831191 7 8 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.965588540764248
-50 0.376007898571752 2 5 "GO:0000978;GO:0000987" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.824791519447714
40 0.190336344442335 2 18 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.784250384556768
-1 0.982912244520741 3 5 "GO:0001653" "peptide receptor activity" 0.994303694413023
9 0.672140481187816 4 43 "GO:0003677" "DNA binding" 0.943578710966647
-44 0.297175587146803 2 9 "GO:0003712" "transcription coregulator activity" 0.784250384556768
-1 0.994303694413023 3 5 "GO:0003713" "transcription coactivator activity" 0.994303694413023
22 0.332793241207992 4 33 "GO:0003723" "RNA binding" 0.784250384556768
9 0.832750738738148 2 9 "GO:0003729" "mRNA binding" 0.965588540764248
8 0.866189720391458 2 8 "GO:0003735" "structural constituent of ribosome" 0.965588540764248
59 0.29560234583973 4 5 "GO:0003774" "motor activity" 0.784250384556768
-60 0.185526027470483 3 8 "GO:0003779;GO:0008092" "cytoskeletal protein binding" 0.784250384556768
-10 0.804748403057319 4 11 "GO:0003924" "GTPase activity" 0.965588540764248
62 0.27784336300034 2 5 "GO:0004175" "endopeptidase activity" 0.784250384556768
46 0.30328738214903 2 8 "GO:0004518" "nuclease activity" 0.784250384556768
-25 0.504194086218283 3 12 "GO:0004674;GO:0004672" "protein kinase activity" 0.943578710966647
-55 0.152739969300733 4 11 "GO:0004842;GO:0019787" "ubiquitin-protein transferase activity" 0.784250384556768
16 0.700291846663816 2 9 "GO:0004888" "transmembrane signaling receptor activity" 0.943578710966647
