parentGOslim,frequency
anatomical structure development,5
anatomical structure morphogenesis,1
catabolic process,1
cell cycle G1/S phase transition,2
cell cycle process,3
cellular component assembly,2
cellular developmental process,1
cellular nitrogen compound catabolic process,1
cellular response to stress,1
developmental process involved in reproduction,1
DNA metabolic process,1
DNA recombination,1
in utero embryonic development,1
ion transport,2
localization,2
macromolecule catabolic process,1
mitotic cell cycle,1
mitotic cell cycle phase transition,2
mitotic cytokinesis,1
morphogenesis of a branching epithelium,1
mRNA metabolic process,2
multicellular organism development,2
multicellular organismal process,3
ncRNA processing,1
negative regulation of cellular process,1
negative regulation of macromolecule metabolic process,2
negative regulation of phosphate metabolic process,1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,1
protein metabolic process,1
protein modification by small protein conjugation or removal,1
regulation of mRNA splicing, via spliceosome,1
regulation of nucleobase-containing compound metabolic process,2
regulation of phosphate metabolic process,1
reproductive process,1
response to abiotic stimulus,1
response to chemical,1
response to stimulus,3
response to stress,2
ribonucleoprotein complex subunit organization,2
ribosomal large subunit assembly,1
RNA metabolic process,4
RNA processing,2
RNA splicing,1
rRNA metabolic process,1
skeletal system development,1
spliceosomal snRNP assembly,1
system development,1
tissue morphogenesis,1
tube morphogenesis,1
