parentGOslim,frequency
ATPase complex,1
catalytic complex,3
centriole,1
chromosomal part,1
chromosome,1
cytoplasmic vesicle,1
cytoskeletal part,2
endoplasmic reticulum part,1
extracellular exosome,1
extracellular region part,1
Golgi apparatus part,4
Golgi subcompartment,1
integral component of plasma membrane,2
intracellular non-membrane-bounded organelle,3
intrinsic component of membrane,3
microtubule organizing center part,1
mitochondrion,1
nuclear chromosome part,1
nuclear envelope,1
nuclear part,5
nuclear transcription factor complex,1
nucleoplasm part,2
plasma membrane part,2
polymeric cytoskeletal fiber,1
supramolecular fiber,1
trans-Golgi network,1
transferase complex,1
ubiquitin ligase complex,1
vesicle,2
