parentGOslim,frequency
ATPase complex,6
axoneme,11
catalytic complex,87
centriole,8
centrosome,11
chromatin,20
chromosomal part,71
chromosomal region,11
chromosome,8
chromosome, centromeric region,8
ciliary part,16
cilium,16
condensed chromosome kinetochore,16
contractile actin filament bundle,7
cytoplasmic ribonucleoprotein granule,14
cytoplasmic vesicle,27
cytoplasmic vesicle part,10
cytoskeletal part,89
cytosol,52
DNA packaging complex,5
early endosome,9
endopeptidase complex,7
endoplasmic reticulum,36
endoplasmic reticulum lumen,6
endoplasmic reticulum part,41
exosome (RNase complex),9
extracellular exosome,6
extracellular region,55
extracellular region part,28
extracellular space,15
Golgi apparatus,15
Golgi apparatus part,152
Golgi cisterna,6
Golgi subcompartment,14
inner mitochondrial membrane protein complex,11
integral component of plasma membrane,17
intracellular non-membrane-bounded organelle,78
intracellular organelle lumen,15
intrinsic component of membrane,104
kinetochore,26
lytic vacuole membrane,13
membrane protein complex,27
microfibril,5
microtubule organizing center part,12
mitochondrial inner membrane,11
mitochondrial matrix,7
mitochondrial membrane,16
mitochondrial membrane part,17
mitochondrial outer membrane,5
mitochondrial part,42
mitochondrion,61
neuron part,11
nuclear chromatin,10
nuclear chromosome part,17
nuclear envelope,13
nuclear part,148
nuclear transcription factor complex,12
nucleolar part,8
nucleolus,9
nucleoplasm,48
nucleoplasm part,21
outer membrane,7
peptidase complex,11
peroxisome,10
phagocytic cup,5
photoreceptor inner segment,6
photoreceptor outer segment,5
plasma membrane,63
plasma membrane bounded cell projection,32
plasma membrane part,27
polymeric cytoskeletal fiber,12
protein acetyltransferase complex,9
protein serine/threonine phosphatase complex,6
ribonucleoprotein complex,26
ribosome,6
RNA polymerase III transcription factor complex,9
ruffle,15
spindle pole,30
supramolecular fiber,17
tethering complex,12
trans-Golgi network,8
transferase complex,50
ubiquitin ligase complex,36
vacuolar part,18
vacuole,15
vesicle,33
whole membrane,23
