parentGOslim,frequency
2-oxoglutarate-dependent dioxygenase activity,6
acetylglucosaminyltransferase activity,9
acetyltransferase activity,7
actin binding,25
active transmembrane transporter activity,10
acyl-CoA ligase activity,5
alpha-L-fucosidase activity,14
amide binding,17
aminopeptidase activity,9
anion transmembrane transporter activity,26
antioxidant activity,9
ATP-dependent peptidase activity,6
ATPase activity,14
basal RNA polymerase II transcription machinery binding,9
calcium channel activity,14
calcium ion binding,84
calcium ion transmembrane transporter activity,17
calcium-dependent cysteine-type endopeptidase activity,12
calcium-dependent phospholipid binding,6
carbohydrate binding,5
carbon-carbon lyase activity,8
carbon-oxygen lyase activity,9
carbonate dehydratase activity,5
carboxylic ester hydrolase activity,15
carboxypeptidase activity,15
catalase activity,5
catalytic activity, acting on a tRNA,9
catalytic activity, acting on DNA,13
catalytic activity, acting on RNA,29
cation channel activity,30
cation transmembrane transporter activity,47
channel activity,50
chitin synthase activity,5
chromatin binding,7
CoA carboxylase activity,5
copper ion binding,8
cyclase activity,6
cysteine-type endopeptidase activity,25
cysteine-type peptidase activity,40
DNA binding,188
DNA polymerase activity,5
DNA-binding transcription factor activity,39
DNA-binding transcription factor activity, RNA polymerase II-specific,20
double-stranded DNA binding,66
drug transmembrane transporter activity,5
endodeoxyribonuclease activity,5
endonuclease activity,11
endopeptidase activity,67
enzyme binding,60
enzyme inhibitor activity,8
enzyme regulator activity,47
exopeptidase activity,24
G protein-coupled peptide receptor activity,5
G protein-coupled receptor activity,23
GTPase activity,30
guanyl-nucleotide exchange factor activity,38
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides,77
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,14
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides,10
hydrolase activity, acting on ester bonds,72
hydrolase activity, acting on glycosyl bonds,30
inorganic anion transmembrane transporter activity,16
intracellular calcium activated chloride channel activity,6
intramolecular oxidoreductase activity,9
intramolecular oxidoreductase activity, interconverting aldoses and ketoses,5
ion gated channel activity,36
iron ion binding,13
isomerase activity,13
ligase activity,21
ligase activity, forming carbon-nitrogen bonds,5
ligase activity, forming carbon-sulfur bonds,10
lipase activity,20
lipid binding,24
lipid transporter activity,9
lipopolysaccharide binding,5
lyase activity,26
magnesium ion binding,36
mannosyl-oligosaccharide mannosidase activity,5
mannosyltransferase activity,15
metal ion binding,158
metallocarboxypeptidase activity,9
metalloendopeptidase activity,24
metallopeptidase activity,36
microtubule motor activity,12
molecular function regulator,92
molecular transducer activity,64
monooxygenase activity,12
monovalent inorganic cation transmembrane transporter activity,17
motor activity,28
mRNA binding,16
NAD+ kinase activity,7
nuclease activity,26
nucleobase-containing compound kinase activity,13
nucleoside diphosphate kinase activity,5
nucleoside-triphosphatase regulator activity,41
nucleotidyltransferase activity,10
O-acyltransferase activity,7
organic anion transmembrane transporter activity,10
oxidoreductase activity,101
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,9
oxidoreductase activity, acting on the aldehyde or oxo group of donors,17
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,11
oxidoreductase activity, acting on the CH-CH group of donors,8
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,17
oxidoreductase activity, oxidizing metal ions,5
peptidase activity,116
peptide receptor activity,15
phosphatase activity,18
phosphatidylinositol binding,5
phosphoprotein phosphatase activity,12
phosphoric diester hydrolase activity,7
phosphoric ester hydrolase activity,25
phosphotransferase activity, alcohol group as acceptor,81
phosphotransferase activity, phosphate group as acceptor,10
potassium channel activity,8
prenyltransferase activity,7
protease binding,11
protein binding,158
protein serine/threonine kinase activity,43
protein tyrosine kinase activity,7
protein-containing complex binding,19
proximal promoter sequence-specific DNA binding,32
purine nucleoside binding,19
purine ribonucleoside triphosphate binding,134
Ras guanyl-nucleotide exchange factor activity,19
receptor ligand activity,7
ribonuclease activity,13
RNA binding,189
RNA methyltransferase activity,5
RNA polymerase core enzyme binding,8
S-adenosylmethionine-dependent methyltransferase activity,9
secondary active transmembrane transporter activity,6
serine-type endopeptidase activity,11
signaling receptor binding,47
single-stranded DNA binding,9
single-stranded RNA binding,5
small molecule binding,183
SNARE binding,5
sodium ion transmembrane transporter activity,7
structural constituent of ribosome,60
structural molecule activity,92
transcription coactivator activity,7
transcription coregulator activity,17
transcription corepressor activity,6
transcription factor binding,6
transcription regulator activity,56
transferase activity, transferring acyl groups,22
transferase activity, transferring acyl groups other than amino-acyl groups,14
transferase activity, transferring alkyl or aryl (other than methyl) groups,14
transferase activity, transferring glycosyl groups,38
transferase activity, transferring nitrogenous groups,9
transferase activity, transferring one-carbon groups,19
transferase activity, transferring phosphorus-containing groups,110
transition metal ion binding,30
translation elongation factor activity,18
translation initiation factor activity,5
translation regulator activity, nucleic acid binding,26
transmembrane signaling receptor activity,47
transporter activity,87
triglyceride lipase activity,5
tRNA binding,18
ubiquitin-like protein transferase activity,43
ubiquitin-like protein-specific protease activity,14
UDP-glycosyltransferase activity,15
virus receptor activity,5
voltage-gated channel activity,20
voltage-gated chloride channel activity,5
zinc ion binding,8
