gene,signLogP
XM_022458270.1,0.0897239072415015
XM_022430380.1,1.05783229370348
XM_022430384.1,0.398430051440092
XM_022430392.1,0.911389367318193
XM_022430394.1,0.766358723984982
XM_022430398.1,0.515792799841174
XM_022430410.1,1.77628983056846
XM_022430411.1,0.0874026923616465
XM_022430428.1,0.086849628041072
XM_022430438.1,0.778253500403468
XM_022430455.1,0.086849628041072
XM_022430466.1,0.282333030701662
XM_022430471.1,0.181479635559921
XM_022430482.1,0.181479635559921
XM_022430481.1,2.60333769172305
XM_022430517.1,0.0879663069167629
XM_022430534.1,0.772243568882912
XM_022430541.1,0.508315220066844
XM_022430572.1,0.423546323475972
XM_022430574.1,1.51978916226124
XM_022430634.1,0.0871248619602329
XM_022430641.1,0.508315220066844
XM_022430644.1,0.0891265531851867
XM_022430649.1,2.14400065227192
XM_022430663.1,0.0879663069167629
XM_022430650.1,0.286235735503558
XM_022430678.1,1.05783229370348
XM_022430682.1,0.800337810722201
XM_022430683.1,0.635596834306803
XM_022430691.1,3.11967900537805
XM_022430708.1,0
XM_022430720.1,0.28524553116967
XM_022430724.1,1.38392895814985
XM_022430739.1,0.766358723984982
XM_022430743.1,1.957307707944
XM_022430742.1,0.0871248619602329
XM_022430745.1,0
XM_022430768.1,1.38392895814985
XM_022430777.1,0.394175265496781
XM_022430786.1,1.06206295047892
XM_022430797.1,0.911389367318193
XM_022430806.1,0.508315220066844
XM_022430811.1,0.181479635559921
XM_022430818.1,3.11139869245333
XM_022430830.1,0.508315220066844
XM_022430833.1,0.392785413882296
XM_022430835.1,0.0871248619602329
XM_022430858.1,2.5914291829341
XM_022430865.1,0.28329433471696
XM_022430868.1,0.183917996138223
XM_022430883.1,2.5914291829341
XM_022430880.1,0.284265116807194
XM_022430893.1,0
XM_022430920.1,0
XM_022430907.1,0.766358723984982
XM_022430912.1,0.0882521755053615
XM_022430928.1,0.086849628041072
XM_022430935.1,0.914978193186887
XM_022430967.1,0.28329433471696
XM_022430981.1,1.39551324276013
XM_022430987.1,0.284265116807194
XM_022430988.1,2.03919303620863
XM_022431012.1,0.647758800127141
XM_022431023.1,3.56559610386567
XM_022431025.1,2.3784761725992
XM_022431028.1,1.06206295047892
XM_022431027.1,0.0871248619602329
XM_022431086.1,1.22145136179119
XM_022431094.1,0.769285773658328
XM_022431104.1,2.15352784862911
XM_022431111.1,0.392785413882296
XM_022431117.1,1.05783229370348
XM_022431126.1,0.086849628041072
XM_022431146.1,0.637978682667224
XM_022431140.1,0.287235891112155
XM_022431153.1,1.38968956397596
XM_022431157.1,0.790666168337545
XM_022431171.1,0.28329433471696
XM_022431180.1,0.652908710502562
XM_022431189.1,0.392785413882296
XM_022431207.1,0.925977726794284
XM_022431236.1,3.11139869245333
XM_022431239.1,0.508315220066844
XM_022431258.1,0.183917996138223
XM_022431286.1,1.40735425420942
XM_022431343.1,0.510156101118027
XM_022431360.1,0.0874026923616465
XM_022431368.1,0.286235735503558
XM_022431371.1,0.635596834306803
XM_022431387.1,0.914978193186887
XM_022431397.1,1.78415761078161
XM_022431401.1,0.510156101118027
XM_022431404.1,1.14787446444932
XM_022431413.1,1.56690325829552
XM_022431438.1,0.508315220066844
XM_022431447.1,1.07503087182765
XM_022431457.1,0.512015781109501
XM_022431493.1,0.086849628041072
XM_022431492.1,0.182080374442047
XM_022431517.1,0.778253500403468
XM_022431557.1,0.766358723984982
XM_022431559.1,0.508315220066844
XM_022431570.1,1.0706614450589
