"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
5 0.968348170485255 4 7 "GO:0000002" "mitochondrial genome maintenance" 0.994739093851515
54 0.676941011669617 6 7 "GO:0000012" "single strand break repair" 0.903215738738102
-118 0.364920581173191 2 7 "GO:0000027" "ribosomal large subunit assembly" 0.872317021492913
-206 0.182091260004598 3 5 "GO:0000028" "ribosomal small subunit assembly" 0.793016166556168
158 0.304812591489288 2 5 "GO:0000038" "very long-chain fatty acid metabolic process" 0.872317021492913
-77 0.422582137817368 5 13 "GO:0000045;GO:1905037" "autophagosome organization" 0.872317021492913
128 0.406139112596686 5 5 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "mitotic sister chromatid segregation" 0.872317021492913
-136 0.379444278492078 2 5 "GO:0000076" "DNA replication checkpoint" 0.872317021492913
-78 0.524503605547469 7 8 "GO:0000077" "DNA damage checkpoint" 0.872317021492913
-90 0.462071570025893 6 8 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.872317021492913
-33 0.563976331808673 4 38 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.873930877177953
-41 0.544560379388183 3 27 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.873930877177953
-48 0.149707987494742 4 117 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:0051252;GO:0019219;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172" "regulation of nucleobase-containing compound metabolic process" 0.744192483522766
-39 0.736035914877214 5 9 "GO:0000165;GO:0023014;GO:0035556;GO:0006468;GO:0016310" "signal transduction by protein phosphorylation" 0.903215738738102
-88 0.326944565207457 3 15 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.872317021492913
-80 0.605843439359558 4 5 "GO:0000187" "activation of MAPK activity" 0.884723752715545
31 0.446897628546242 8 76 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.872317021492913
102 0.151082856325334 4 24 "GO:0000226;GO:0007010" "microtubule cytoskeleton organization" 0.744192483522766
10 0.93893807616592 3 7 "GO:0000245" "spliceosomal complex assembly" 0.977998025299977
-128 0.327146383503433 2 7 "GO:0000266;GO:0048285" "organelle fission" 0.872317021492913
165 0.0496589155266497 3 17 "GO:0000278;GO:0007049" "mitotic cell cycle" 0.702864650531042
49 0.504564609623232 3 22 "GO:0000281;GO:0061640;GO:0000910" "mitotic cytokinesis" 0.872317021492913
-55 0.722036708840892 3 5 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.903215738738102
171 0.267186918710547 3 5 "GO:0000338;GO:0070646" "protein deneddylation" 0.872317021492913
-62 0.269084467837449 2 39 "GO:0000375;GO:0008380;GO:0000398;GO:0000377;GO:0006397" "RNA splicing" 0.872317021492913
29 0.746134740696693 3 15 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA splicing, via spliceosome" 0.903215738738102
98 0.451889618107627 4 7 "GO:0000387" "spliceosomal snRNP assembly" 0.872317021492913
55 0.694532173813359 4 6 "GO:0000462;GO:0030490" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.903215738738102
-129 0.359494832098264 5 6 "GO:0000723;GO:0032200" "telomere maintenance" 0.872317021492913
-181 0.0142242061476735 2 22 "GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA recombination" 0.697605372913284
53 0.552367490989576 4 15 "GO:0000902;GO:0032989" "cell morphogenesis" 0.873930877177953
36 0.796682516281415 2 6 "GO:0000904" "cell morphogenesis involved in differentiation" 0.917866164932687
-33 0.631851560404789 6 26 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "cellular nitrogen compound catabolic process" 0.894312977803701
-112 0.282586291460807 4 11 "GO:0001501" "skeletal system development" 0.872317021492913
-47 0.71605649414754 2 7 "GO:0001503" "ossification" 0.903215738738102
60 0.296452828693314 2 37 "GO:0001525" "angiogenesis" 0.872317021492913
147 0.261366509607389 3 7 "GO:0001541;GO:0048608;GO:0003006" "developmental process involved in reproduction" 0.872317021492913
35 0.791368491330579 4 7 "GO:0001558;GO:0040008" "regulation of cell growth" 0.917866164932687
-48 0.712766527221643 4 7 "GO:0001654;GO:0007423" "sensory organ development" 0.903215738738102
146 0.0916242639717059 3 16 "GO:0001658;GO:0048754;GO:0061138;GO:0001763" "morphogenesis of a branching epithelium" 0.744192483522766
109 0.371720463052206 2 8 "GO:0001659;GO:0048871" "multicellular organismal homeostasis" 0.872317021492913
132 0.153691925944919 3 14 "GO:0001666;GO:0036293;GO:0070482;GO:0009628" "response to abiotic stimulus" 0.744192483522766
-15 0.908300469246538 2 7 "GO:0001676" "long-chain fatty acid metabolic process" 0.977352551703877
-23 0.772209458352222 4 19 "GO:0001701;GO:0043009;GO:0009792;GO:0009790" "in utero embryonic development" 0.91668735701167
91 0.327537793293025 4 14 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.872317021492913
71 0.494309900562066 4 11 "GO:0001822" "kidney development" 0.872317021492913
-340 0.0273771770702744 5 5 "GO:0001843;GO:0060606;GO:0035148" "neural tube closure" 0.697605372913284
-320 0.0379133354844176 3 5 "GO:0001868;GO:0030449" "regulation of complement activation, lectin pathway" 0.697605372913284
-34 0.581252033559048 4 33 "GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051246;GO:0051174" "regulation of phosphate metabolic process" 0.873930877177953
-36 0.718047169375103 7 12 "GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0051248;GO:0045936;GO:0010563" "negative regulation of phosphate metabolic process" 0.903215738738102
-22 0.829671078258048 6 12 "GO:0001934;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0051247;GO:0010562;GO:0051173" "positive regulation of protein phosphorylation" 0.919635412045065
37 0.582197505180912 2 27 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.873930877177953
181 0.137869045277359 6 8 "GO:0002027;GO:0008016;GO:1903522;GO:0044057" "regulation of heart contraction" 0.744192483522766
103 0.466428532172208 4 6 "GO:0002040" "sprouting angiogenesis" 0.872317021492913
-199 0.102289789120688 4 8 "GO:0002098;GO:0002097;GO:0006400" "tRNA modification" 0.744192483522766
-28 0.816875421255296 2 8 "GO:0002168;GO:0002164;GO:0002165;GO:0009791" "larval development" 0.917866164932687
88 0.375951395029112 3 12 "GO:0002181;GO:0006412;GO:0043043;GO:0006518" "peptide metabolic process" 0.872317021492913
183 0.133142523259347 5 8 "GO:0002224;GO:0002221;GO:0002758;GO:0002218;GO:0002757;GO:0002253;GO:0045089;GO:0002764;GO:0031349" "activation of immune response" 0.744192483522766
-151 0.246685196481563 2 7 "GO:0002244" "hematopoietic progenitor cell differentiation" 0.859579981154907
-37 0.713322839815214 3 12 "GO:0002250;GO:0006955" "immune response" 0.903215738738102
-221 0.0906621447626853 2 7 "GO:0002252" "immune effector process" 0.744192483522766
-43 0.477120752364832 1 33 "GO:0002376" "immune system process" 0.872317021492913
-128 0.407244472434928 3 5 "GO:0002576;GO:0045055" "platelet degranulation" 0.872317021492913
-250 0.0165502893816515 3 11 "GO:0002697" "regulation of immune effector process" 0.697605372913284
-189 0.179671830404536 2 6 "GO:0002699" "positive regulation of immune effector process" 0.793016166556168
-336 0.00999796875877186 5 7 "GO:0002920" "regulation of humoral immune response" 0.697605372913284
-36 0.81809810352696 3 5 "GO:0002931" "response to ischemia" 0.917866164932687
-117 0.448219505528375 2 5 "GO:0003002" "regionalization" 0.872317021492913
112 0.197223579146031 2 16 "GO:0003008" "system process" 0.793016166556168
228 0.138796542681902 2 5 "GO:0003014" "renal system process" 0.744192483522766
-16 0.82957559084682 3 22 "GO:0003341;GO:0007018" "microtubule-based movement" 0.919635412045065
152 0.162818209529721 2 10 "GO:0005975" "carbohydrate metabolic process" 0.768167962909453
-73 0.211054668051785 2 36 "GO:0006259;GO:0006281" "DNA metabolic process" 0.809042894198509
1 0.993853751265431 3 13 "GO:0006364;GO:0016072" "rRNA metabolic process" 0.9966767184887
-73 0.102198259349255 6 62 "GO:0006396" "RNA processing" 0.744192483522766
138 0.371720918691475 5 5 "GO:0006479;GO:0008213" "protein methylation" 0.872317021492913
73 0.602616904527309 2 6 "GO:0006486;GO:0043413;GO:0070085" "protein glycosylation" 0.884723752715545
-14 0.889294067541009 2 12 "GO:0006508" "proteolysis" 0.962530049573798
-78 0.580419575823984 4 6 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "modification-dependent protein catabolic process" 0.873930877177953
37 0.663008118098406 5 17 "GO:0006631;GO:0032787" "fatty acid metabolic process" 0.903215738738102
57 0.45039567596287 3 21 "GO:0006796;GO:0006793" "phosphate-containing compound metabolic process" 0.872317021492913
