"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-61 0.5857013929357 4 9 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.950902442851271
33 0.26454665937978 4 152 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.872122887982213
-154 0.114633616528499 4 12 "GO:0000145;GO:0044448;GO:0099023" "tethering complex" 0.623320289873713
-74 0.196265745974721 3 36 "GO:0000151" "ubiquitin ligase complex" 0.776141813627306
2 0.989276574863553 4 9 "GO:0000176;GO:0000178;GO:1905354" "exosome (RNase complex)" 0.99920564842875
-56 0.658391159171761 3 7 "GO:0000502;GO:1905369" "endopeptidase complex" 0.950902442851271
-33 0.784969636106477 2 8 "GO:0000775" "chromosome, centromeric region" 0.99920564842875
-114 0.0885063460460419 2 26 "GO:0000776" "kinetochore" 0.599331143414682
-114 0.178587102596046 2 16 "GO:0000777" "condensed chromosome kinetochore" 0.776141813627306
-136 0.0733944238948024 2 20 "GO:0000785" "chromatin" 0.599331143414682
17 0.874989115537995 2 10 "GO:0000790" "nuclear chromatin" 0.99920564842875
126 0.0424820624372394 4 30 "GO:0000922" "spindle pole" 0.599331143414682
-5 0.957892996290494 3 14 "GO:0000932;GO:0036464;GO:0035770" "cytoplasmic ribonucleoprotein granule" 0.99920564842875
-137 0.364561495722057 3 5 "GO:0001527;GO:0044420" "microfibril" 0.881023614661638
197 0.0985613795361233 5 8 "GO:0001650;GO:0044452" "nucleolar part" 0.599331143414682
8 0.951433736143528 5 7 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "contractile actin filament bundle" 0.99920564842875
-89 0.310756431349984 3 15 "GO:0001726" "ruffle" 0.872122887982213
-255 0.0906314449070494 2 5 "GO:0001750" "photoreceptor outer segment" 0.599331143414682
146 0.332024716701986 2 5 "GO:0001891" "phagocytic cup" 0.881023614661638
-181 0.187842832892876 3 6 "GO:0001917" "photoreceptor inner segment" 0.776141813627306
-34 0.469841497442857 1 55 "GO:0005576" "extracellular region" 0.940759677297732
38 0.666715584852625 2 15 "GO:0005615" "extracellular space" 0.950902442851271
-153 0.103332955761152 4 13 "GO:0005635;GO:0031967;GO:0031975" "nuclear envelope" 0.599331143414682
-24 0.633875083549631 4 48 "GO:0005654" "nucleoplasm" 0.950902442851271
4 0.97221391908825 4 8 "GO:0005694;GO:0000793" "chromosome" 0.99920564842875
26 0.815016442642251 4 9 "GO:0005730" "nucleolus" 0.99920564842875
28 0.519628932477553 2 61 "GO:0005739" "mitochondrion" 0.950902442851271
42 0.778956381383772 2 5 "GO:0005741;GO:0031968" "mitochondrial outer membrane" 0.99920564842875
33 0.742853661704452 4 11 "GO:0005743;GO:0019866" "mitochondrial inner membrane" 0.99920564842875
138 0.278155285623143 4 7 "GO:0005759" "mitochondrial matrix" 0.872122887982213
82 0.348313964842888 4 15 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.881023614661638
-18 0.847989119307138 5 13 "GO:0005765;GO:0098852" "lytic vacuole membrane" 0.99920564842875
-72 0.27266172760482 5 27 "GO:0005768;GO:0031410;GO:0097708" "cytoplasmic vesicle" 0.872122887982213
0 0.99920564842875 2 9 "GO:0005769" "early endosome" 0.99920564842875
13 0.874492085092641 2 18 "GO:0005774;GO:0044437" "vacuolar part" 0.99920564842875
111 0.298847241927777 3 10 "GO:0005777;GO:0042579" "peroxisome" 0.872122887982213
103 0.0700499803443016 2 36 "GO:0005783" "endoplasmic reticulum" 0.599331143414682
44 0.750613487437596 4 6 "GO:0005788" "endoplasmic reticulum lumen" 0.99920564842875
-60 0.26133247888056 2 41 "GO:0005789;GO:0044432" "endoplasmic reticulum part" 0.872122887982213
10 0.907058288286429 2 15 "GO:0005794" "Golgi apparatus" 0.99920564842875
-72 0.543556122512411 2 8 "GO:0005802" "trans-Golgi network" 0.950902442851271
27 0.787551417241064 5 11 "GO:0005813;GO:0005815" "centrosome" 0.99920564842875
-208 0.0808442285520496 4 8 "GO:0005814" "centriole" 0.599331143414682
-69 0.149973874946523 4 52 "GO:0005829" "cytosol" 0.715188703252092
365 0.00806833664461918 2 6 "GO:0005840" "ribosome" 0.233981762693956
140 0.15145982203438 4 12 "GO:0005874;GO:0099513" "polymeric cytoskeletal fiber" 0.715188703252092
-4 0.930743388277299 2 63 "GO:0005886" "plasma membrane" 0.99920564842875
-152 0.0650006858700104 3 17 "GO:0005887;GO:0031226" "integral component of plasma membrane" 0.599331143414682
-4 0.96117280785884 3 16 "GO:0005929" "cilium" 0.99920564842875
126 0.217242812710211 3 11 "GO:0005930" "axoneme" 0.821744552425581
256 0.0627852778994437 3 6 "GO:0008287;GO:1903293;GO:0000159" "protein serine/threonine phosphatase complex" 0.599331143414682
-18 0.609992676830418 3 104 "GO:0016021;GO:0031224" "intrinsic component of membrane" 0.950902442851271
62 0.625281229255322 2 7 "GO:0019867" "outer membrane" 0.950902442851271
36 0.666724701309512 4 16 "GO:0031966" "mitochondrial membrane" 0.950902442851271
-38 0.524258652074067 3 33 "GO:0031982" "vesicle" 0.950902442851271
4 0.97717011298853 2 6 "GO:0031985" "Golgi cisterna" 0.99920564842875
-26 0.807765524595305 5 10 "GO:0036452;GO:0044440;GO:0044433" "cytoplasmic vesicle part" 0.99920564842875
-23 0.563573768175152 3 78 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.950902442851271
5 0.942152303174444 1 28 "GO:0044421" "extracellular region part" 0.99920564842875
-99 0.0165616792242073 3 71 "GO:0044427" "chromosomal part" 0.360216523126509
-3 0.932307575418258 2 148 "GO:0044428" "nuclear part" 0.99920564842875
55 0.293731782201908 3 42 "GO:0044429" "mitochondrial part" 0.872122887982213
103 0.00541929389331318 2 89 "GO:0044430" "cytoskeletal part" 0.233981762693956
6 0.940596038565085 3 16 "GO:0044441;GO:0120038;GO:0044463" "ciliary part" 0.99920564842875
-58 0.551096766307731 3 12 "GO:0044450" "microtubule organizing center part" 0.950902442851271
67 0.362462618189371 4 21 "GO:0044451" "nucleoplasm part" 0.881023614661638
66 0.419533861017308 2 17 "GO:0044454" "nuclear chromosome part" 0.92774388625546
50 0.540741401057871 4 17 "GO:0044455;GO:0098798" "mitochondrial membrane part" 0.950902442851271
-13 0.836829705033286 2 27 "GO:0044459" "plasma membrane part" 0.99920564842875
78 0.426548913220901 3 12 "GO:0044798;GO:0005667" "nuclear transcription factor complex" 0.92774388625546
-155 0.302362757979011 2 5 "GO:0044815" "DNA packaging complex" 0.872122887982213
74 0.399576847655518 2 15 "GO:0070013;GO:0043233;GO:0031974" "intracellular organelle lumen" 0.92774388625546
114 0.406944871006548 2 6 "GO:0070062;GO:1903561;GO:0043230" "extracellular exosome" 0.92774388625546
68 0.545966944397509 2 9 "GO:0090576;GO:0000127" "RNA polymerase III transcription factor complex" 0.950902442851271
-216 0.0340922432782358 2 11 "GO:0097458" "neuron part" 0.593205033041303
-49 0.62742437340713 2 11 "GO:0098687" "chromosomal region" 0.950902442851271
-40 0.659081383221133 4 14 "GO:0098791;GO:0031984" "Golgi subcompartment" 0.950902442851271
