"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
159 0.528306090502242 4 5 "GO:0000014;GO:0004520;GO:0004536" "endodeoxyribonuclease activity" 0.981982457589703
167 0.251369335419639 5 15 "GO:0000030" "mannosyltransferase activity" 0.847394916526426
247 0.0625197354578343 4 18 "GO:0000049" "tRNA binding" 0.841858866803464
51 0.711239870890759 2 17 "GO:0000062;GO:0033218;GO:0050662;GO:1901567;GO:1901681;GO:0048037" "amide binding" 0.981982457589703
-104 0.678671809929592 3 5 "GO:0000149" "SNARE binding" 0.981982457589703
51 0.592236009465735 3 36 "GO:0000287" "magnesium ion binding" 0.981982457589703
46 0.645105768432458 2 32 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0.981982457589703
172 0.173496515102847 3 20 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.847394916526426
214 0.253449276608891 2 9 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.847394916526426
-375 0.135732334820017 3 5 "GO:0001530" "lipopolysaccharide binding" 0.847394916526426
-234 0.352409170900831 2 5 "GO:0001618;GO:0140272" "virus receptor activity" 0.935542191500754
-68 0.639912035539006 2 15 "GO:0001653" "peptide receptor activity" 0.981982457589703
-196 0.248063370260354 2 11 "GO:0002020" "protease binding" 0.847394916526426
-16 0.718406709207757 3 188 "GO:0003677" "DNA binding" 0.981982457589703
-448 0.0347756757054379 2 7 "GO:0003682" "chromatin binding" 0.841858866803464
6 0.976243582233515 2 9 "GO:0003697" "single-stranded DNA binding" 0.997556226998497
32 0.727054224711393 2 39 "GO:0003700" "DNA-binding transcription factor activity" 0.981982457589703
183 0.180504682287803 2 17 "GO:0003712" "transcription coregulator activity" 0.847394916526426
163 0.442620551761168 3 7 "GO:0003713" "transcription coactivator activity" 0.970862278391548
63 0.783485091586302 3 6 "GO:0003714" "transcription corepressor activity" 0.981982457589703
-15 0.722210761387704 3 189 "GO:0003723" "RNA binding" 0.981982457589703
599 0.0171309829205213 2 5 "GO:0003727" "single-stranded RNA binding" 0.841858866803464
-269 0.0557739601325738 2 16 "GO:0003729" "mRNA binding" 0.841858866803464
-66 0.367993659812801 2 60 "GO:0003735" "structural constituent of ribosome" 0.935542191500754
-447 0.0754636222168236 5 5 "GO:0003743" "translation initiation factor activity" 0.841858866803464
78 0.555251900973333 2 18 "GO:0003746" "translation elongation factor activity" 0.981982457589703
-92 0.391458291554413 7 28 "GO:0003774" "motor activity" 0.953115840306397
-103 0.527344549442462 2 12 "GO:0003777" "microtubule motor activity" 0.981982457589703
193 0.0881300059303703 4 25 "GO:0003779;GO:0008092" "actin binding" 0.841858866803464
172 0.0965232618092187 7 30 "GO:0003924" "GTPase activity" 0.841858866803464
52 0.808537382867865 5 7 "GO:0003951" "NAD+ kinase activity" 0.981982457589703
-317 0.206523297294647 3 5 "GO:0003964;GO:0034061" "DNA polymerase activity" 0.847394916526426
-59 0.813840130050224 3 5 "GO:0003989;GO:0016421;GO:0016885" "CoA carboxylase activity" 0.981982457589703
277 0.269619847183058 5 5 "GO:0003996" "acyl-CoA ligase activity" 0.847466263561496
93 0.712590962055278 3 5 "GO:0004089" "carbonate dehydratase activity" 0.981982457589703
-332 0.187016088428269 4 5 "GO:0004096" "catalase activity" 0.847394916526426
-41 0.870018391557471 3 5 "GO:0004100" "chitin synthase activity" 0.985587630789475
-18 0.795140817053562 2 67 "GO:0004175" "endopeptidase activity" 0.981982457589703
171 0.457217020941394 3 6 "GO:0004176" "ATP-dependent peptidase activity" 0.970862278391548
-357 0.0569816416807342 2 9 "GO:0004177" "aminopeptidase activity" 0.841858866803464
-40 0.785332737598894 2 15 "GO:0004180" "carboxypeptidase activity" 0.981982457589703
61 0.744817289752025 2 9 "GO:0004181;GO:0008235" "metallocarboxypeptidase activity" 0.981982457589703
-146 0.195127042355163 6 25 "GO:0004197" "cysteine-type endopeptidase activity" 0.847394916526426
-49 0.762874409703454 7 12 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.981982457589703
43 0.708399049038744 2 24 "GO:0004222" "metalloendopeptidase activity" 0.981982457589703
-135 0.425819934893105 3 11 "GO:0004252;GO:0008236;GO:0017171" "serine-type endopeptidase activity" 0.970862278391548
-25 0.879988956062031 2 12 "GO:0004497" "monooxygenase activity" 0.985587630789475
216 0.0515330954855289 4 26 "GO:0004518" "nuclease activity" 0.841858866803464
173 0.3068119817262 2 11 "GO:0004519" "endonuclease activity" 0.88375220634038
196 0.20955724416778 2 13 "GO:0004540;GO:0000175;GO:0008408;GO:0016896;GO:0004527;GO:0004532;GO:0016796" "ribonuclease activity" 0.847394916526426
134 0.593335126100105 2 5 "GO:0004550" "nucleoside diphosphate kinase activity" 0.981982457589703
0 0.999476596678953 4 30 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.999476596678953
-121 0.423199206584058 2 14 "GO:0004560;GO:0015928" "alpha-L-fucosidase activity" 0.970862278391548
426 0.0899202293760099 4 5 "GO:0004571;GO:0015924;GO:0004559;GO:0015923" "mannosyl-oligosaccharide mannosidase activity" 0.841858866803464
-223 0.23418113097831 2 9 "GO:0004601;GO:0016209;GO:0016684" "antioxidant activity" 0.847394916526426
-28 0.825118913373366 2 20 "GO:0004620;GO:0016298" "lipase activity" 0.981982457589703
-156 0.462315370662642 2 7 "GO:0004659" "prenyltransferase activity" 0.970862278391548
-100 0.249504846461929 2 43 "GO:0004674" "protein serine/threonine kinase activity" 0.847394916526426
127 0.550952262761495 4 7 "GO:0004713" "protein tyrosine kinase activity" 0.981982457589703
-113 0.488487698611537 2 12 "GO:0004721" "phosphoprotein phosphatase activity" 0.981982457589703
162 0.518434745311055 2 5 "GO:0004806" "triglyceride lipase activity" 0.981982457589703
-22 0.801720984319324 3 43 "GO:0004842;GO:0019787" "ubiquitin-like protein transferase activity" 0.981982457589703
187 0.213455981872559 3 14 "GO:0004843;GO:0036459;GO:0019783;GO:0101005" "ubiquitin-like protein-specific protease activity" 0.847394916526426
-35 0.859145501322671 3 8 "GO:0004857" "enzyme inhibitor activity" 0.985587630789475
7 0.936850654579694 3 47 "GO:0004888" "transmembrane signaling receptor activity" 0.997556226998497
59 0.617262313405586 2 23 "GO:0004930" "G protein-coupled receptor activity" 0.981982457589703
-22 0.806890739057779 2 38 "GO:0005085;GO:0051020" "guanyl-nucleotide exchange factor activity" 0.981982457589703
-60 0.643545721430515 3 19 "GO:0005089;GO:0005088;GO:0017048;GO:0017016;GO:0031267" "Ras guanyl-nucleotide exchange factor activity" 0.981982457589703
-13 0.876585655446483 3 47 "GO:0005102" "signaling receptor binding" 0.985587630789475
-41 0.752913912447836 3 19 "GO:0005178;GO:0044877;GO:0050839" "protein-containing complex binding" 0.981982457589703
-45 0.455423874710876 1 92 "GO:0005198" "structural molecule activity" 0.970862278391548
30 0.706193436005435 4 50 "GO:0005216;GO:0022838;GO:0015267;GO:0022803" "channel activity" 0.981982457589703
-314 0.171518325404895 5 6 "GO:0005229;GO:0061778" "intracellular calcium activated chloride channel activity" 0.847394916526426
-48 0.700951699850448 6 20 "GO:0005244;GO:0022832" "voltage-gated channel activity" 0.981982457589703
-71 0.777200574999695 3 5 "GO:0005247;GO:0008308" "voltage-gated chloride channel activity" 0.981982457589703
-5 0.973940300823487 3 16 "GO:0005254;GO:0005253;GO:0015108;GO:0015103" "inorganic anion transmembrane transporter activity" 0.997556226998497
-30 0.768596683500354 2 30 "GO:0005261" "cation channel activity" 0.981982457589703
-98 0.51536381393023 3 14 "GO:0005262;GO:0005245;GO:0022843" "calcium channel activity" 0.981982457589703
-55 0.782319485937513 3 8 "GO:0005267;GO:0015079" "potassium channel activity" 0.981982457589703
-101 0.589069595623421 2 9 "GO:0005319" "lipid transporter activity" 0.981982457589703
-350 0.0490824784637077 4 10 "GO:0005342;GO:0015171;GO:0046943;GO:0008514" "organic anion transmembrane transporter activity" 0.841858866803464
139 0.373103135896134 4 13 "GO:0005506" "iron ion binding" 0.935542191500754
-55 0.783047115060786 2 8 "GO:0005507" "copper ion binding" 0.981982457589703
-7 0.914650051296074 2 84 "GO:0005509" "calcium ion binding" 0.997556226998497
0 0.991618392313982 2 158 "GO:0005515" "protein binding" 0.997556226998497
-4 0.934178193245404 2 134 "GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554" "purine ribonucleoside triphosphate binding" 0.997556226998497
42 0.74714791810275 5 19 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882" "purine nucleoside binding" 0.981982457589703
-244 0.0340125685997277 2 24 "GO:0005543;GO:0008289" "lipid binding" 0.841858866803464
-337 0.141828081385514 2 6 "GO:0005544" "calcium-dependent phospholipid binding" 0.847394916526426
-19 0.830008982010344 3 41 "GO:0008047;GO:0060589;GO:0005096;GO:0030695" "nucleoside-triphosphatase regulator activity" 0.981982457589703
97 0.648432730298034 2 7 "GO:0008081" "phosphoric diester hydrolase activity" 0.981982457589703
124 0.58964095235406 2 6 "GO:0008134" "transcription factor binding" 0.981982457589703
-78 0.481598740692921 4 26 "GO:0008135;GO:0090079;GO:0045182" "translation regulator activity, nucleic acid binding" 0.981982457589703
-32 0.803167021492807 2 19 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.981982457589703
-20 0.937966096698641 2 5 "GO:0008173" "RNA methyltransferase activity" 0.997556226998497
86 0.554703967496955 4 15 "GO:0008194" "UDP-glycosyltransferase activity" 0.981982457589703
-3 0.971942262174258 2 40 "GO:0008234" "cysteine-type peptidase activity" 0.997556226998497
42 0.660201726234828 2 36 "GO:0008237" "metallopeptidase activity" 0.981982457589703
-160 0.165689576056691 2 24 "GO:0008238" "exopeptidase activity" 0.847394916526426
-300 0.131122498118313 4 8 "GO:0008270" "zinc ion binding" 0.847394916526426
266 0.211038554970995 2 7 "GO:0008374" "O-acyltransferase activity" 0.847394916526426
37 0.845819928793585 2 9 "GO:0008375" "acetylglucosaminyltransferase activity" 0.985587630789475
-308 0.100221293667079 3 9 "GO:0008483;GO:0016769" "transferase activity, transferring nitrogenous groups" 0.841858866803464
-139 0.210797653460025 4 26 "GO:0008509" "anion transmembrane transporter activity" 0.847394916526426
-72 0.773837264246855 2 5 "GO:0008528" "G protein-coupled peptide receptor activity" 0.981982457589703
47 0.803399803136457 3 9 "GO:0008757" "S-adenosylmethionine-dependent methyltransferase activity" 0.981982457589703
492 0.0320375560098022 2 6 "GO:0009975;GO:0016849" "cyclase activity" 0.841858866803464
-7 0.903427548830609 2 87 "GO:0015075;GO:0015318;GO:0022857;GO:0005215" "transporter activity" 0.997556226998497
-172 0.208627616209084 2 17 "GO:0015077" "monovalent inorganic cation transmembrane transporter activity" 0.847394916526426
-477 0.024685320240248 2 7 "GO:0015081" "sodium ion transmembrane transporter activity" 0.841858866803464
-80 0.557139662018723 2 17 "GO:0015085" "calcium ion transmembrane transporter activity" 0.981982457589703
-285 0.256346403131868 3 5 "GO:0015238" "drug transmembrane transporter activity" 0.847394916526426
-312 0.173928564638565 3 6 "GO:0015291" "secondary active transmembrane transporter activity" 0.847394916526426
159 0.372945785004963 2 10 "GO:0016405;GO:0016878;GO:0016877" "ligase activity, forming carbon-sulfur bonds" 0.935542191500754
-2 0.99138342909432 2 7 "GO:0016407" "acetyltransferase activity" 0.997556226998497
