"","chr","start","end","meth.diff","strand","pvalue","qvalue","TE-start","TE-end","V10","TE-strand","Target-Motif","dist-to-closest-gene","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-Accession","Uniprot-ID","evalue","Product","GO-ID","GO-BP","GO-CC","GO-MF"
"1","NC_035780.1",8833125,8833125,60.1254480286738,"+",1.87756815984505e-15,9.11352604694824e-14,8833042,8833288,18.2,"-","Target Motif:CVA 1 272",0,8829533,8833841,"111138481",8829533,8833841,"XM_022490472.1","Q8BTK5","SMYD4_MOUSE",4e-49,"SET and MYND domain-containing protein 4-like",NA,NA,NA,NA
"2","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22177766,22177877,22.3,"-","Target Motif:DNA9-6_CGi 1 115",0,22144200,22228175,"111126605",22144228,22218222,"XM_022471370.1","A8GH44","PDXB_SERP5",0.44,"uncharacterized LOC111126605",NA,NA,NA,NA
"3","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22177766,22177877,22.3,"-","Target Motif:DNA9-6_CGi 1 115",0,22144200,22228175,"111126605",22183787,22195974,"XM_022471379.1","Q9ULU4","PKCB1_HUMAN",1e-14,"uncharacterized LOC111126605","GO:0003714; GO:0005634; GO:0005737; GO:0006355; GO:0008270; GO:0019904; GO:0030336; GO:0035064; GO:0043197; GO:0043198; GO:0047485; GO:0051491; GO:0060999; GO:0070491; GO:0070577; GO:0098815; GO:1902897; GO:1902952","modulation of excitatory postsynaptic potential [GO:0098815]; negative regulation of cell migration [GO:0030336]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of dendritic spine maintenance [GO:1902952]; positive regulation of filopodium assembly [GO:0051491]; regulation of postsynaptic density protein 95 clustering [GO:1902897]; regulation of transcription, DNA-templated [GO:0006355]","cytoplasm [GO:0005737]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; nucleus [GO:0005634]","lysine-acetylated histone binding [GO:0070577]; methylated histone binding [GO:0035064]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]"
"4","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22177766,22177877,22.3,"-","Target Motif:DNA9-6_CGi 1 115",0,22144200,22228175,"111126605",22144258,22195974,"XM_022471362.1","Q9ULU4","PKCB1_HUMAN",2e-14,"uncharacterized LOC111126605","GO:0003714; GO:0005634; GO:0005737; GO:0006355; GO:0008270; GO:0019904; GO:0030336; GO:0035064; GO:0043197; GO:0043198; GO:0047485; GO:0051491; GO:0060999; GO:0070491; GO:0070577; GO:0098815; GO:1902897; GO:1902952","modulation of excitatory postsynaptic potential [GO:0098815]; negative regulation of cell migration [GO:0030336]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of dendritic spine maintenance [GO:1902952]; positive regulation of filopodium assembly [GO:0051491]; regulation of postsynaptic density protein 95 clustering [GO:1902897]; regulation of transcription, DNA-templated [GO:0006355]","cytoplasm [GO:0005737]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; nucleus [GO:0005634]","lysine-acetylated histone binding [GO:0070577]; methylated histone binding [GO:0035064]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]"
"5","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22177766,22177877,22.3,"-","Target Motif:DNA9-6_CGi 1 115",0,22144200,22228175,"111126605",22210805,22228175,"XM_022471388.1","Q9ULU4","PKCB1_HUMAN",1e-14,"uncharacterized LOC111126605","GO:0003714; GO:0005634; GO:0005737; GO:0006355; GO:0008270; GO:0019904; GO:0030336; GO:0035064; GO:0043197; GO:0043198; GO:0047485; GO:0051491; GO:0060999; GO:0070491; GO:0070577; GO:0098815; GO:1902897; GO:1902952","modulation of excitatory postsynaptic potential [GO:0098815]; negative regulation of cell migration [GO:0030336]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of dendritic spine maintenance [GO:1902952]; positive regulation of filopodium assembly [GO:0051491]; regulation of postsynaptic density protein 95 clustering [GO:1902897]; regulation of transcription, DNA-templated [GO:0006355]","cytoplasm [GO:0005737]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; nucleus [GO:0005634]","lysine-acetylated histone binding [GO:0070577]; methylated histone binding [GO:0035064]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]"
"6","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22177766,22177877,22.3,"-","Target Motif:DNA9-6_CGi 1 115",0,22144200,22228175,"111126605",22207238,22228175,"XM_022471397.1","Q9ULU4","PKCB1_HUMAN",1e-14,"uncharacterized LOC111126605","GO:0003714; GO:0005634; GO:0005737; GO:0006355; GO:0008270; GO:0019904; GO:0030336; GO:0035064; GO:0043197; GO:0043198; GO:0047485; GO:0051491; GO:0060999; GO:0070491; GO:0070577; GO:0098815; GO:1902897; GO:1902952","modulation of excitatory postsynaptic potential [GO:0098815]; negative regulation of cell migration [GO:0030336]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of dendritic spine maintenance [GO:1902952]; positive regulation of filopodium assembly [GO:0051491]; regulation of postsynaptic density protein 95 clustering [GO:1902897]; regulation of transcription, DNA-templated [GO:0006355]","cytoplasm [GO:0005737]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; nucleus [GO:0005634]","lysine-acetylated histone binding [GO:0070577]; methylated histone binding [GO:0035064]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]"
"7","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22177766,22177877,22.3,"-","Target Motif:DNA9-6_CGi 1 115",0,22144200,22228175,"111126605",22144200,22151499,"XM_022471406.1","Q9ULU4","PKCB1_HUMAN",2e-13,"uncharacterized LOC111126605","GO:0003714; GO:0005634; GO:0005737; GO:0006355; GO:0008270; GO:0019904; GO:0030336; GO:0035064; GO:0043197; GO:0043198; GO:0047485; GO:0051491; GO:0060999; GO:0070491; GO:0070577; GO:0098815; GO:1902897; GO:1902952","modulation of excitatory postsynaptic potential [GO:0098815]; negative regulation of cell migration [GO:0030336]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of dendritic spine maintenance [GO:1902952]; positive regulation of filopodium assembly [GO:0051491]; regulation of postsynaptic density protein 95 clustering [GO:1902897]; regulation of transcription, DNA-templated [GO:0006355]","cytoplasm [GO:0005737]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; nucleus [GO:0005634]","lysine-acetylated histone binding [GO:0070577]; methylated histone binding [GO:0035064]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]"
"8","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22177766,22177877,22.3,"-","Target Motif:DNA9-6_CGi 1 115",0,22071505,22257650,"111126660",22248003,22257647,"XM_022471459.1","A8GH44","PDXB_SERP5",0.11,"uncharacterized LOC111126660",NA,NA,NA,NA
"9","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22177766,22177877,22.3,"-","Target Motif:DNA9-6_CGi 1 115",0,22071505,22257650,"111126660",22071505,22257650,"XM_022471452.1","A8GH44","PDXB_SERP5",0.1,"uncharacterized LOC111126660",NA,NA,NA,NA
"10","NC_035780.1",57337101,57337101,-54.8387096774194,"+",2.12957401925827e-10,4.79823247989426e-09,57337042,57337128,18.6,"-","Target Motif:DNA2-2_CGi 413 498",0,57313370,57338228,"111135160",57313370,57338228,"XM_022484960.1","Q9UNS1","TIM_HUMAN",0,"protein timeless homolog",NA,NA,NA,NA
