NC_035780.1	58135767	58135769	74	NC_035780.1	58134019	58135922
NC_035781.1	20620123	20620125	57	NC_035781.1	20613318	20621317
NC_035781.1	29178318	29178320	-55	NC_035781.1	29172604	29197233
NC_035781.1	30062222	30062224	60	NC_035781.1	30061881	30064434
NC_035781.1	31150010	31150012	53	NC_035781.1	31149350	31150662
NC_035781.1	39583208	39583210	-50	NC_035781.1	39580797	39587601
NC_035781.1	50711254	50711256	-71	NC_035781.1	50706175	50720081
NC_035781.1	54151548	54151550	54	NC_035781.1	54147835	54154389
NC_035782.1	6685343	6685345	-68	NC_035782.1	6681158	6685982
NC_035782.1	6685349	6685351	-50	NC_035782.1	6681158	6685982
NC_035782.1	6897406	6897408	-53	NC_035782.1	6896331	6898188
NC_035782.1	58675230	58675232	52	NC_035782.1	58674194	58677606
NC_035782.1	58675269	58675271	50	NC_035782.1	58674194	58677606
NC_035782.1	65377028	65377030	51	NC_035782.1	65374316	65380263
NC_035782.1	72205396	72205398	-55	NC_035782.1	72196685	72205996
NC_035783.1	11164219	11164221	-62	NC_035783.1	11162878	11164296
NC_035783.1	26360833	26360835	65	NC_035783.1	26359089	26363207
NC_035783.1	36586659	36586661	52	NC_035783.1	36586055	36599565
NC_035783.1	41484688	41484690	-59	NC_035783.1	41482651	41487338
NC_035783.1	45068802	45068804	52	NC_035783.1	45067427	45069783
NC_035783.1	50075652	50075654	-52	NC_035783.1	50068572	50076389
NC_035784.1	2011997	2011999	-60	NC_035784.1	2010848	2013233
NC_035784.1	42036908	42036910	56	NC_035784.1	42033058	42054252
NC_035784.1	45667412	45667414	56	NC_035784.1	45651582	45682059
NC_035784.1	53515949	53515951	50	NC_035784.1	53514285	53517383
NC_035784.1	81666532	81666534	-65	NC_035784.1	81665447	81666562
NC_035784.1	92841543	92841545	-56	NC_035784.1	92840158	92841545
NC_035785.1	17356834	17356836	58	NC_035785.1	17353825	17357173
NC_035785.1	31238802	31238804	59	NC_035785.1	31238138	31240574
NC_035785.1	32529155	32529157	-50	NC_035785.1	32527125	32529825
NC_035786.1	14799931	14799933	-64	NC_035786.1	14796623	14804368
NC_035787.1	42603398	42603400	57	NC_035787.1	42569125	42622579
NC_035787.1	42755937	42755939	-54	NC_035787.1	42751485	42757109
NC_035787.1	44016221	44016223	70	NC_035787.1	44009778	44026613
NC_035787.1	47281092	47281094	50	NC_035787.1	47279670	47281161
NC_035787.1	55930618	55930620	52	NC_035787.1	55915660	55931408
NC_035788.1	78353418	78353420	-75	NC_035788.1	78350467	78368689
NC_035789.1	25054245	25054247	56	NC_035789.1	25052852	25063607
