chr,DMLB.start,DMLB.end,strand,pvalue,qvalue,meth.diff,Uniprot,Genbank,evalue,Product,GO
NC_035785.1,16467650,16467650,+,2.754751e-17,1.707537e-15,-37.0648,Q18297,XM_022434062.1,3e-162,transient receptor potential cation channel subfamily A member 1 homolog,GO:0005216; GO:0005886; GO:0016021; GO:0043025; GO:0050896; GO:0097730
NC_035782.1,38051361,38051361,+,6.402729e-07,7.164923e-06,-14.60061,Q17RB8,XM_022467078.1,1e-135,LON peptidase N-terminal domain and RING finger protein 1-like,GO:0000209; GO:0005829; GO:0046872
NC_035788.1,52393485,52393485,+,0.02963421,0.06754168,-5.86497,Q7TN31,XM_022453518.1,5e-61,angiogenic factor with G patch and FHA domains 1-like,GO:0001525; GO:0001938; GO:0003676; GO:0005576; GO:0005737; GO:0007155; GO:0030154; GO:0045766; GO:0048471
NC_035780.1,27396183,27396183,+,2.448831e-28,5.672793e-26,52.61087,O94759,XM_022486441.1,2e-62,transient receptor potential cation channel subfamily M member 1-like,GO:0001659; GO:0002407; GO:0005261; GO:0005262; GO:0005272; GO:0005509; GO:0005764; GO:0005765; GO:0005886; GO:0005887; GO:0006816; GO:0014074; GO:0015278; GO:0030659; GO:0035579; GO:0035584; GO:0042995; GO:0043204; GO:0043312; GO:0051209; GO:0051289; GO:0051489; GO:0070301; GO:0070588; GO:0070821; GO:0071277; GO:0071415; GO:0071502; GO:0071577; GO:0072571; GO:0097028; GO:0097553; GO:0098703; GO:0099604; GO:0101003; GO:2000249
NC_035783.1,49217116,49217116,+,3.96385e-30,1.107438e-27,-33.53223,A8DYE2,XM_022473983.1,0,transient receptor potential cation channel subfamily M member 1-like,GO:0005385; GO:0010960; GO:0034703; GO:0051262; GO:0055069; GO:0070838; GO:0072509; GO:0097682; GO:0098655
NC_035780.1,22057656,22057656,+,0.000355388,0.001868735,-19.81955,Q9ULU4,XM_022471417.1,1e-16,putative mediator of RNA polymerase II transcription subunit 12,GO:0003714; GO:0005634; GO:0005737; GO:0006355; GO:0008270; GO:0019904; GO:0030336; GO:0035064; GO:0043197; GO:0043198; GO:0047485; GO:0051491; GO:0060999; GO:0070491; GO:0070577; GO:0098815; GO:1902897; GO:1902952
NC_035787.1,49215711,49215711,+,9.122096e-09,1.520392e-07,22.5559,Q9N2W7,XM_022445879.1,3e-41,probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,GO:0005739; GO:0005747; GO:0006979; GO:0008137; GO:0009055
NC_035780.1,37438892,37438892,+,2.990986e-05,0.0002192966,14.37185,P59672,XM_022451681.1,2e-88,ankyrin repeat and sterile alpha motif domain-containing protein 1B-like,GO:0005654; GO:0005829; GO:0006929; GO:0016322; GO:0043005; GO:0046875; GO:0048013; GO:1901187; GO:2000059
NC_035780.1,37438892,37438892,+,2.990986e-05,0.0002192966,14.37185,A5PMU4,XM_022451650.1,1e-85,ankyrin repeat and sterile alpha motif domain-containing protein 1B-like,GO:0005737; GO:0016020; GO:1900383
NC_035780.1,38685662,38685662,+,2.871532e-10,6.314849e-09,20.6495,O94759,XM_022481252.1,0,transient receptor potential cation channel subfamily M member 2-like,GO:0001659; GO:0002407; GO:0005261; GO:0005262; GO:0005272; GO:0005509; GO:0005764; GO:0005765; GO:0005886; GO:0005887; GO:0006816; GO:0014074; GO:0015278; GO:0030659; GO:0035579; GO:0035584; GO:0042995; GO:0043204; GO:0043312; GO:0051209; GO:0051289; GO:0051489; GO:0070301; GO:0070588; GO:0070821; GO:0071277; GO:0071415; GO:0071502; GO:0071577; GO:0072571; GO:0097028; GO:0097553; GO:0098703; GO:0099604; GO:0101003; GO:2000249
NC_035783.1,47040851,47040851,+,0.002360529,0.009119941,21.95035,Q8R4D5,XM_022476787.1,1e-25,transient receptor potential cation channel subfamily M member 2-like,GO:0005216; GO:0005262; GO:0005886; GO:0006816; GO:0006874; GO:0009266; GO:0009409; GO:0009897; GO:0016020; GO:0016021; GO:0016048; GO:0042803; GO:0045121; GO:0050955; GO:0051289; GO:0070207; GO:0120162
NC_035782.1,46725836,46725836,+,3.453519e-15,1.619282e-13,-18.52618,A8DYE2,XM_022467456.1,5e-57,transient receptor potential cation channel subfamily M member 2-like,GO:0005385; GO:0010960; GO:0034703; GO:0051262; GO:0055069; GO:0070838; GO:0072509; GO:0097682; GO:0098655
NC_035781.1,35565784,35565784,+,2.349917e-06,2.302485e-05,-26.88939,Q5M8U1,XM_022458864.1,2e-62,elongation of very long chain fatty acids protein 2-like,GO:0006636; GO:0009922; GO:0019367; GO:0030148; GO:0030176; GO:0030425; GO:0034625; GO:0034626; GO:0035338; GO:0042759; GO:0042761; GO:0043025; GO:0097447; GO:0102336; GO:0102337; GO:0102338; GO:0102756
NC_035784.1,48125214,48125214,+,0.0002576131,0.001419307,12.15509,Q9H3F6,XM_022486759.1,7e-115,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3-like,GO:0005112; GO:0005654; GO:0005829; GO:0006511; GO:0016567; GO:0017049; GO:0031463; GO:0035024; GO:0043161; GO:0051260
NC_035780.1,56151350,56151350,+,2.813455e-06,2.700977e-05,-20.05714,Q95K73,XM_022483522.1,1e-103,elongation of very long chain fatty acids protein 4-like,GO:0005783; GO:0006636; GO:0009922; GO:0019367; GO:0030176; GO:0034626; GO:0035338; GO:0042761; GO:0102336; GO:0102337; GO:0102338; GO:0102756
NC_035781.1,16950102,16950102,+,1.041872e-06,1.109278e-05,29.31781,O94759,XM_022463806.1,2e-131,transient receptor potential cation channel subfamily M member 5-like,GO:0001659; GO:0002407; GO:0005261; GO:0005262; GO:0005272; GO:0005509; GO:0005764; GO:0005765; GO:0005886; GO:0005887; GO:0006816; GO:0014074; GO:0015278; GO:0030659; GO:0035579; GO:0035584; GO:0042995; GO:0043204; GO:0043312; GO:0051209; GO:0051289; GO:0051489; GO:0070301; GO:0070588; GO:0070821; GO:0071277; GO:0071415; GO:0071502; GO:0071577; GO:0072571; GO:0097028; GO:0097553; GO:0098703; GO:0099604; GO:0101003; GO:2000249
NC_035782.1,69863688,69863688,+,1.656816e-12,5.278505e-11,26.70653,Q9R186,XM_022466353.1,9e-59,transient receptor potential cation channel subfamily V member 5-like,GO:0005216; GO:0005227; GO:0005262; GO:0005516; GO:0005886; GO:0005887; GO:0016324; GO:0042802; GO:0046872; GO:0051289; GO:0051592; GO:0055074; GO:0070509; GO:0070588; GO:0098703
NC_035781.1,23192563,23192563,+,0.007845989,0.02410011,-7.963257,A0A0C5PHQ7,XM_022458285.1,1e-21,elongation of very long chain fatty acids protein 5-like,GO:0005789; GO:0006636; GO:0009922; GO:0016021; GO:0019367; GO:0030425; GO:0034625; GO:0034626; GO:0035338; GO:0042761; GO:0102336; GO:0102337; GO:0102338; GO:0102756
NC_035781.1,57848780,57848780,+,9.116069e-12,2.587454e-10,-19.77527,A0JNC4,XM_022463816.1,1e-83,elongation of very long chain fatty acids protein 7-like,GO:0005783; GO:0006636; GO:0009922; GO:0019367; GO:0030148; GO:0030176; GO:0034625; GO:0034626; GO:0035338; GO:0042761; GO:0102336; GO:0102337; GO:0102338; GO:0102756
NC_035789.1,26611316,26611316,+,0.002735793,0.01028842,-20.12987,O94759,XM_022456418.1,3e-32,transient receptor potential cation channel subfamily M member 8-like,GO:0001659; GO:0002407; GO:0005261; GO:0005262; GO:0005272; GO:0005509; GO:0005764; GO:0005765; GO:0005886; GO:0005887; GO:0006816; GO:0014074; GO:0015278; GO:0030659; GO:0035579; GO:0035584; GO:0042995; GO:0043204; GO:0043312; GO:0051209; GO:0051289; GO:0051489; GO:0070301; GO:0070588; GO:0070821; GO:0071277; GO:0071415; GO:0071502; GO:0071577; GO:0072571; GO:0097028; GO:0097553; GO:0098703; GO:0099604; GO:0101003; GO:2000249
NC_035785.1,33070044,33070044,+,0.03261056,0.07252326,-11.06026,Q1JQD6,XM_022433385.1,4e-17,TATA box-binding protein-associated factor RNA polymerase I subunit B-like,GO:0001164; GO:0001188; GO:0005668; GO:0042790; GO:0046872; GO:0070860
NC_035782.1,21325017,21325017,+,1.443242e-12,4.638349e-11,12.47505,Q99741,XM_022465219.1,1e-134,cell division control protein 6 homolog,GO:0000076; GO:0000079; GO:0000082; GO:0000083; GO:0000166; GO:0000278; GO:0000922; GO:0003688; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006260; GO:0006270; GO:0007089; GO:0008156; GO:0008285; GO:0019900; GO:0030071; GO:0032467; GO:0033314; GO:0045737; GO:0048146; GO:0051233; GO:0051301; GO:0051984; GO:1904117; GO:1904385
