"","Genbank","V2","Uniprot","V4","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","mRNAchromosome","Gnomon","mRNA","mRNAstart","mRNAend","V6","mRNAstrand","V8","V9","DMRchromosome","DMRstart","DMRend","DMR","Percentdiff","ID","Parent","Dbxref=GeneID","V18","V19","V20","Name","V22","V23","V24","V25","V26","V27","V28","V29","NA"
"1","XM_022431181.1","sp","P09087","ABDB_DROME",66.67,57,19,0,1095,1265,388,444,5e-19,94,"NC_035780.1","Gnomon","mRNA",1101448,1190874,".","+",".","ID=rna123;Parent=gene69;Dbxref=GeneID:111099747,Genbank:XM_022431181.1;Name=XM_022431181.1;gbkey=mRNA;gene=LOC111099747;model_evidence=Supporting evidence includes similarity to: 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=homeobox protein abdominal-B-like%2C transcript variant X1;transcript_id=XM_022431181.1","NC_035780.1",573700,573800,"DMR",52,-527648,"ID=rna123","Parent=gene69","Dbxref=GeneID",111099747,"Genbank","Name=XM_022431181.1","gbkey=mRNA","gene=LOC111099747","model_evidence=Supporting evidence includes similarity to"," 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=homeobox protein abdominal-B-like%2C transcript variant X1","transcript_id=XM_022431181.1","","",""
"2","XM_022431190.1","sp","P09087","ABDB_DROME",66.67,57,19,0,816,986,388,444,3e-19,94,"NC_035780.1","Gnomon","mRNA",1154231,1190874,".","+",".","ID=rna124;Parent=gene69;Dbxref=GeneID:111099747,Genbank:XM_022431190.1;Name=XM_022431190.1;gbkey=mRNA;gene=LOC111099747;model_evidence=Supporting evidence includes similarity to: 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=homeobox protein abdominal-B-like%2C transcript variant X2;transcript_id=XM_022431190.1","NC_035780.1",573700,573800,"DMR",52,-580431,"ID=rna124","Parent=gene69","Dbxref=GeneID",111099747,"Genbank","Name=XM_022431190.1","gbkey=mRNA","gene=LOC111099747","model_evidence=Supporting evidence includes similarity to"," 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=homeobox protein abdominal-B-like%2C transcript variant X2","transcript_id=XM_022431190.1","","",""
"3","XM_022431194.1","sp","P09087","ABDB_DROME",66.67,57,19,0,646,816,388,444,2e-19,94,"NC_035780.1","Gnomon","mRNA",1154345,1190874,".","+",".","ID=rna125;Parent=gene69;Dbxref=GeneID:111099747,Genbank:XM_022431194.1;Name=XM_022431194.1;gbkey=mRNA;gene=LOC111099747;model_evidence=Supporting evidence includes similarity to: 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns;product=homeobox protein abdominal-B-like%2C transcript variant X3;transcript_id=XM_022431194.1","NC_035780.1",573700,573800,"DMR",52,-580545,"ID=rna125","Parent=gene69","Dbxref=GeneID",111099747,"Genbank","Name=XM_022431194.1","gbkey=mRNA","gene=LOC111099747","model_evidence=Supporting evidence includes similarity to"," 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=homeobox protein abdominal-B-like%2C transcript variant X3","transcript_id=XM_022431194.1","","",""
"4","XM_022431201.1","sp","P09087","ABDB_DROME",66.67,57,19,0,931,1101,388,444,4e-19,94,"NC_035780.1","Gnomon","mRNA",1170137,1190874,".","+",".","ID=rna126;Parent=gene69;Dbxref=GeneID:111099747,Genbank:XM_022431201.1;Name=XM_022431201.1;gbkey=mRNA;gene=LOC111099747;model_evidence=Supporting evidence includes similarity to: 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 16 samples with support for all annotated introns;product=homeobox protein abdominal-B-like%2C transcript variant X4;transcript_id=XM_022431201.1","NC_035780.1",573700,573800,"DMR",52,-596337,"ID=rna126","Parent=gene69","Dbxref=GeneID",111099747,"Genbank","Name=XM_022431201.1","gbkey=mRNA","gene=LOC111099747","model_evidence=Supporting evidence includes similarity to"," 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 16 samples with support for all annotated introns","product=homeobox protein abdominal-B-like%2C transcript variant X4","transcript_id=XM_022431201.1","","",""
"5","XM_022431208.1","sp","P09087","ABDB_DROME",66.67,57,19,0,899,1069,388,444,4e-19,94,"NC_035780.1","Gnomon","mRNA",1183132,1190874,".","+",".","ID=rna128;Parent=gene69;Dbxref=GeneID:111099747,Genbank:XM_022431208.1;Name=XM_022431208.1;gbkey=mRNA;gene=LOC111099747;model_evidence=Supporting evidence includes similarity to: 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 16 samples with support for all annotated introns;product=homeobox protein abdominal-B-like%2C transcript variant X5;transcript_id=XM_022431208.1","NC_035780.1",573700,573800,"DMR",52,-609332,"ID=rna128","Parent=gene69","Dbxref=GeneID",111099747,"Genbank","Name=XM_022431208.1","gbkey=mRNA","gene=LOC111099747","model_evidence=Supporting evidence includes similarity to"," 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 16 samples with support for all annotated introns","product=homeobox protein abdominal-B-like%2C transcript variant X5","transcript_id=XM_022431208.1","","",""
"6","XM_022431219.1","sp","P09087","ABDB_DROME",66.67,57,19,0,561,731,388,444,1e-19,94,"NC_035780.1","Gnomon","mRNA",1172317,1190874,".","+",".","ID=rna127;Parent=gene69;Dbxref=GeneID:111099747,Genbank:XM_022431219.1;Name=XM_022431219.1;gbkey=mRNA;gene=LOC111099747;model_evidence=Supporting evidence includes similarity to: 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=homeobox protein abdominal-B-like%2C transcript variant X6;transcript_id=XM_022431219.1","NC_035780.1",573700,573800,"DMR",52,-598517,"ID=rna127","Parent=gene69","Dbxref=GeneID",111099747,"Genbank","Name=XM_022431219.1","gbkey=mRNA","gene=LOC111099747","model_evidence=Supporting evidence includes similarity to"," 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=homeobox protein abdominal-B-like%2C transcript variant X6","transcript_id=XM_022431219.1","","",""
"7","XM_022432742.1","sp","Q8CI95","OSB11_MOUSE",48.92,697,308,12,105,2105,66,744,0,624,"NC_035780.1","Gnomon","mRNA",1928718,1940217,".","+",".","ID=rna160;Parent=gene98;Dbxref=GeneID:111100652,Genbank:XM_022432742.1;Name=XM_022432742.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: inserted 3 bases in 2 codons;exception=unclassified transcription discrepancy;gbkey=mRNA;gene=LOC111100652;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 96%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns;product=oxysterol-binding protein-related protein 11-like;transcript_id=XM_022432742.1","NC_035780.1",1885000,1885100,"DMR",51,-43618,"ID=rna160","Parent=gene98","Dbxref=GeneID",111100652,"Genbank","Name=XM_022432742.1","Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS"," inserted 3 bases in 2 codons","exception=unclassified transcription discrepancy","gbkey=mRNA","gene=LOC111100652","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 96%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns","product=oxysterol-binding protein-related protein 11-like","transcript_id=XM_022432742.1"
"8","XM_022433686.1","sp","Q8K2R5","ZN668_MOUSE",22.22,612,367,18,2683,4383,17,564,1e-16,89.7,"NC_035780.1","Gnomon","mRNA",281547,293861,".","+",".","ID=rna26;Parent=gene19;Dbxref=GeneID:111101250,Genbank:XM_022433686.1;Name=XM_022433686.1;gbkey=mRNA;gene=LOC111101250;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns;product=uncharacterized LOC111101250%2C transcript variant X1;transcript_id=XM_022433686.1","NC_035780.1",571100,571200,"DMR",58,277240,"ID=rna26","Parent=gene19","Dbxref=GeneID",111101250,"Genbank","Name=XM_022433686.1","gbkey=mRNA","gene=LOC111101250","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns","product=uncharacterized LOC111101250%2C transcript variant X1","transcript_id=XM_022433686.1","","",""
"9","XM_022433686.1","sp","Q8K2R5","ZN668_MOUSE",19.91,462,289,15,2692,3945,166,590,0.012,44.3,"NC_035780.1","Gnomon","mRNA",281547,293861,".","+",".","ID=rna26;Parent=gene19;Dbxref=GeneID:111101250,Genbank:XM_022433686.1;Name=XM_022433686.1;gbkey=mRNA;gene=LOC111101250;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns;product=uncharacterized LOC111101250%2C transcript variant X1;transcript_id=XM_022433686.1","NC_035780.1",571100,571200,"DMR",58,277240,"ID=rna26","Parent=gene19","Dbxref=GeneID",111101250,"Genbank","Name=XM_022433686.1","gbkey=mRNA","gene=LOC111101250","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns","product=uncharacterized LOC111101250%2C transcript variant X1","transcript_id=XM_022433686.1","","",""
"10","XM_022433686.1","sp","Q8K2R5","ZN668_MOUSE",30.95,84,51,2,3616,3867,518,594,0.002,47,"NC_035780.1","Gnomon","mRNA",281547,293861,".","+",".","ID=rna26;Parent=gene19;Dbxref=GeneID:111101250,Genbank:XM_022433686.1;Name=XM_022433686.1;gbkey=mRNA;gene=LOC111101250;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns;product=uncharacterized LOC111101250%2C transcript variant X1;transcript_id=XM_022433686.1","NC_035780.1",571100,571200,"DMR",58,277240,"ID=rna26","Parent=gene19","Dbxref=GeneID",111101250,"Genbank","Name=XM_022433686.1","gbkey=mRNA","gene=LOC111101250","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns","product=uncharacterized LOC111101250%2C transcript variant X1","transcript_id=XM_022433686.1","","",""
"11","XM_022433693.1","sp","Q8K2R5","ZN668_MOUSE",19.91,462,289,15,2871,4124,166,590,0.013,44.3,"NC_035780.1","Gnomon","mRNA",281696,293861,".","+",".","ID=rna27;Parent=gene19;Dbxref=GeneID:111101250,Genbank:XM_022433693.1;Name=XM_022433693.1;gbkey=mRNA;gene=LOC111101250;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns;product=uncharacterized LOC111101250%2C transcript variant X2;transcript_id=XM_022433693.1","NC_035780.1",571100,571200,"DMR",58,277240,"ID=rna27","Parent=gene19","Dbxref=GeneID",111101250,"Genbank","Name=XM_022433693.1","gbkey=mRNA","gene=LOC111101250","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns","product=uncharacterized LOC111101250%2C transcript variant X2","transcript_id=XM_022433693.1","","",""
