"","chr","start","end","meth.diff","strand","pvalue","qvalue","exon-start","exon-end","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-ID","Uniprot-Accession","evalue","Product","GO-ID","GO-BP","GO-CC","GO-MF"
"2","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,2538624,2538955,2524425,2553408,"111131682",2524425,2538955,"XM_022479355.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"3","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,2538624,2538955,2524425,2553408,"111131682",2524425,2536871,"XM_022479370.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"4","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,2538624,2538955,2524425,2553408,"111131682",2524425,2547989,"XM_022479346.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"5","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,2538624,2538955,2524425,2553408,"111131682",2524425,2553408,"XM_022479322.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"6","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,2538624,2538955,2524425,2553408,"111131682",2524425,2543287,"XM_022479339.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"7","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,2538624,2538955,2524425,2553408,"111131682",2524425,2547594,"XM_022479329.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"8","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,2538624,2538955,2524425,2553408,"111131682",2524425,2537545,"XM_022479361.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"9","NC_035780.1",2586509,2586509,-53.8495091547371,"+",6.66191639817937e-71,6.64833685546064e-67,2586438,2586557,2554181,2599559,"111128103",2554181,2599559,"XM_022473562.1","Q6PD62","CTR9_HUMAN",0,"RNA polymerase-associated protein CTR9 homolog","GO:0000122; GO:0000993; GO:0001711; GO:0001826; GO:0001829; GO:0001832; GO:0001835; GO:0005654; GO:0006366; GO:0006368; GO:0007259; GO:0010390; GO:0016055; GO:0016567; GO:0016593; GO:0016607; GO:0019827; GO:0032968; GO:0033523; GO:0035327; GO:0042169; GO:0045638; GO:0045944; GO:0051569; GO:0051571; GO:0070102; GO:0071222; GO:0080182; GO:1900364; GO:2000653; GO:2001162; GO:2001168","blastocyst growth [GO:0001832]; blastocyst hatching [GO:0001835]; cellular response to lipopolysaccharide [GO:0071222]; endodermal cell fate commitment [GO:0001711]; histone H2B ubiquitination [GO:0033523]; histone H3-K4 trimethylation [GO:0080182]; histone monoubiquitination [GO:0010390]; inner cell mass cell differentiation [GO:0001826]; interleukin-6-mediated signaling pathway [GO:0070102]; negative regulation of mRNA polyadenylation [GO:1900364]; negative regulation of myeloid cell differentiation [GO:0045638]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of histone H2B ubiquitination [GO:2001168]; positive regulation of histone H3-K4 methylation [GO:0051571]; positive regulation of histone H3-K79 methylation [GO:2001162]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; protein ubiquitination [GO:0016567]; receptor signaling pathway via JAK-STAT [GO:0007259]; regulation of genetic imprinting [GO:2000653]; regulation of histone H3-K4 methylation [GO:0051569]; stem cell population maintenance [GO:0019827]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; trophectodermal cell differentiation [GO:0001829]; Wnt signaling pathway [GO:0016055]","Cdc73/Paf1 complex [GO:0016593]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; transcriptionally active chromatin [GO:0035327]","RNA polymerase II complex binding [GO:0000993]; SH2 domain binding [GO:0042169]"
"14","NC_035780.1",4286803,4286803,-62.0490797546012,"+",3.85745583569328e-16,2.04200767030581e-14,4286783,4286927,4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",2e-37,"calmodulin-regulated spectrin-associated protein 1-like","GO:0000226; GO:0005516; GO:0005737; GO:0005874; GO:0007010; GO:0007026; GO:0008017; GO:0022604; GO:0030507; GO:0031113; GO:0031122; GO:0031175; GO:0051011","cytoplasmic microtubule organization [GO:0031122]; cytoskeleton organization [GO:0007010]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of microtubule depolymerization [GO:0007026]; neuron projection development [GO:0031175]; regulation of cell morphogenesis [GO:0022604]; regulation of microtubule polymerization [GO:0031113]","cytoplasm [GO:0005737]; microtubule [GO:0005874]","calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; microtubule minus-end binding [GO:0051011]; spectrin binding [GO:0030507]"
"15","NC_035780.1",4286803,4286803,-62.0490797546012,"+",3.85745583569328e-16,2.04200767030581e-14,4286783,4286927,4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",1e-79,"calmodulin-regulated spectrin-associated protein 1-like","GO:0000226; GO:0005516; GO:0005737; GO:0005874; GO:0007010; GO:0007026; GO:0008017; GO:0022604; GO:0030507; GO:0031113; GO:0031122; GO:0031175; GO:0051011","cytoplasmic microtubule organization [GO:0031122]; cytoskeleton organization [GO:0007010]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of microtubule depolymerization [GO:0007026]; neuron projection development [GO:0031175]; regulation of cell morphogenesis [GO:0022604]; regulation of microtubule polymerization [GO:0031113]","cytoplasm [GO:0005737]; microtubule [GO:0005874]","calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; microtubule minus-end binding [GO:0051011]; spectrin binding [GO:0030507]"
