geneID,DMLCount,chr,start,end,meth.diff,strand,pvalue,qvalue,Product
111099063,1,NC_035784.1,2256855,2256855,-52.3361823361823,+,2.97995735512638e-19,2.37682469486462e-17,peptidyl-prolyl cis-trans isomerase-like 2
111099097,1,NC_035784.1,10016145,10016145,-56.6869918699187,+,2.56931841719217e-38,1.57498842755215e-35,tRNA (uracil-5-)-methyltransferase homolog A-like
111099112,1,NC_035784.1,25138821,25138821,50.0147928994083,+,7.6086972418233e-18,5.08790391070383e-16,zinc finger and BTB domain-containing protein 41-like
111099115,1,NC_035784.1,57163871,57163871,-63.7755102040816,+,1.35008494999503e-19,1.11793308882552e-17,GPI transamidase component PIG-T-like
111099945,1,NC_035785.1,14156208,14156208,64.4927536231884,+,1.64640047237861e-22,1.96724673882208e-20,citrate lyase subunit beta-like protein
111100321,1,NC_035785.1,12703932,12703932,56.1190476190476,+,6.22713023405873e-30,1.70351890143369e-27,protein PAT1 homolog 1-like
111100403,1,NC_035785.1,14598067,14598067,55.8558558558559,+,7.51434239063208e-22,8.21540893574378e-20,uncharacterized LOC111100403
111100406,1,NC_035785.1,14598067,14598067,55.8558558558559,+,7.51434239063208e-22,8.21540893574378e-20,uncharacterized LOC111100406
111100424,1,NC_035785.1,14598067,14598067,55.8558558558559,+,7.51434239063208e-22,8.21540893574378e-20,organic cation transporter protein-like
111100441,1,NC_035785.1,14598067,14598067,55.8558558558559,+,7.51434239063208e-22,8.21540893574378e-20,uncharacterized LOC111100441
111100486,1,NC_035785.1,16944853,16944853,59.3941717791411,+,4.91287522400122e-18,3.36642467628716e-16,uncharacterized LOC111100486
111100579,1,NC_035785.1,33207618,33207618,51.3123359580052,+,9.75452024171119e-48,1.36722426759821e-44,arf-GAP domain and FG repeat-containing protein 1-like
111100652,1,NC_035780.1,1933500,1933500,51.324937688574,+,1.26044543179399e-19,1.04857966005056e-17,oxysterol-binding protein-related protein 11-like
111100739,1,NC_035785.1,8268553,8268553,-55.846917080085,+,1.70774521684653e-12,5.43035998150787e-11,DNA polymerase theta-like
111100852,1,NC_035785.1,31878920,31878920,-57.516339869281,+,4.36528362003622e-24,6.25557940329577e-22,protein FAM53A-like
111100878,1,NC_035785.1,41843042,41843042,-55.5555555555556,+,1.20224379017428e-14,5.21014919169094e-13,uncharacterized LOC111100878
111101089,1,NC_035780.1,9110275,9110275,-63.6439567402543,+,1.04638360867521e-52,2.15754272156723e-49,kelch-like protein 18
111101447,1,NC_035785.1,35798192,35798192,-52.6616729522585,+,4.00538755796487e-50,6.53141019722262e-47,nucleoplasmin-like protein ANO39
111101678,1,NC_035785.1,11013151,11013151,-52.3085610042132,+,7.90954698241676e-21,7.63457994746189e-19,uncharacterized LOC111101678
111101686,1,NC_035785.1,11013151,11013151,-52.3085610042132,+,7.90954698241676e-21,7.63457994746189e-19,NA
111101872,1,NC_035785.1,29830588,29830588,54.4203235944593,+,2.81967693791734e-42,2.45972845630911e-39,DNA ligase 1-like
111101943,1,NC_035785.1,14351205,14351205,54.0512456598322,+,9.69116616732826e-42,8.03273409538012e-39,nuclear pore complex protein Nup205-like
111101970,1,NC_035785.1,16944853,16944853,59.3941717791411,+,4.91287522400122e-18,3.36642467628716e-16,uncharacterized LOC111101970
111102183,1,NC_035780.1,19968153,19968153,-60.0470430107527,+,5.91304462135748e-20,5.13308243455607e-18,armadillo repeat-containing protein 6-like
111102251,1,NC_035785.1,43783768,43783768,55.6698564593301,+,2.04575339441277e-68,1.59498700293459e-64,charged multivesicular body protein 3-like
111102495,1,NC_035786.1,11897415,11897415,56.2288073123987,+,9.26399062807751e-16,4.68248939389297e-14,SH3 and multiple ankyrin repeat domains protein 1-like
111102661,1,NC_035780.1,55484706,55484706,-52.4574303405573,+,4.61812506608602e-44,4.66468780828711e-41,uncharacterized LOC111102661
111102762,1,NC_035780.1,17093219,17093219,-52.9967159277504,+,1.26074972979324e-14,5.45233072421469e-13,U1 small nuclear ribonucleoprotein A-like
111102779,1,NC_035786.1,34109668,34109668,66.0388332140301,+,7.33628526835859e-38,4.30666535472575e-35,uncharacterized LOC111102779
111103279,1,NC_035786.1,41858572,41858572,-50.2873867202652,+,5.05244911024724e-29,1.25177514390185e-26,uncharacterized LOC111103279
111103305,1,NC_035786.1,42515700,42515700,52.1265851195152,+,4.67008072690838e-19,3.62972064628559e-17,EF-hand calcium-binding domain-containing protein 6-like
111103338,1,NC_035786.1,13808096,13808096,63.8273651414991,+,8.57004436976508e-43,7.77506848166136e-40,trichohyalin-like
111103357,1,NC_035786.1,43256646,43256646,-59.5019659239843,+,3.74008396244442e-28,8.49831565514838e-26,uncharacterized LOC111103357
111103372,1,NC_035786.1,42150387,42150387,-51.1335381015065,+,1.83369122545463e-16,1.01528709437199e-14,bromodomain and WD repeat-containing protein 3-like
111103393,1,NC_035786.1,50905233,50905233,50.5766884773206,+,1.86696992413504e-38,1.16447770175933e-35,inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2-like
111103450,1,NC_035786.1,42447009,42447009,-61.559013380071,+,1.03768515114069e-56,2.90890435533505e-53,N-acylethanolamine-hydrolyzing acid amidase-like
111103560,1,NC_035786.1,34368875,34368875,-51.9849035504613,+,6.14422824387004e-57,1.76198389319494e-53,dynein heavy chain 1
111103596,1,NC_035786.1,4921576,4921576,-57.2532188841202,+,5.64816223297449e-29,1.39245284346893e-26,protein piccolo-like
111103698,1,NC_035786.1,18065666,18065666,50.3887510339123,+,9.45766904796323e-15,4.15275901453144e-13,ankyrin repeat and SOCS box protein 5-like
111103866,1,NC_035786.1,57121447,57121447,56.4992566737767,+,1.14693773171306e-27,2.46893837872541e-25,titin homolog
111103926,1,NC_035786.1,34083839,34083839,-59.2037890424987,+,3.79744609828359e-22,4.3123639571344e-20,eukaryotic translation initiation factor 2 subunit 3-like
111103978,1,NC_035786.1,9998395,9998395,52.7522154055896,+,2.29224214690257e-21,2.36906553185238e-19,small subunit processome component 20 homolog
111104099,1,NC_035780.1,38085953,38085953,59.5918367346939,+,1.34635907565697e-25,2.2696193903319e-23,thioredoxin domain-containing protein 5-like
111104139,1,NC_035786.1,53586489,53586489,-51.7045454545455,+,4.21501675335301e-23,5.44028056301662e-21,E3 ubiquitin-protein ligase HACE1-like
