"","Genbank","V2","Uniprot","V4","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","mRNAchromosome","Gnomon","mRNA","mRNAstart","mRNAend","V6","mRNAstrand","V8","V9","DMLchromosome","DMLstart","DMLend","DMR","Percentdiff","ID","Parent","Dbxref=GeneID","V18","V19","Name","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","XM_022432634.1","sp","B0U5X6","RPOC_XYLFM",36.92,65,29,3,912,1079,357,418,1.7,36.6,"NC_035780.1","Gnomon","mRNA",30763932,30763933,".","+",".","ID=rna3190;Parent=gene1883;Dbxref=GeneID:111100585,Genbank:XM_022432634.1;Name=XM_022432634.1;gbkey=mRNA;gene=LOC111100585;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns;product=uncharacterized LOC111100585%2C transcript variant X1;transcript_id=XM_022432634.1","NC_035780.1",30763931,30763933,"+",-51,"ID=rna3190","Parent=gene1883","Dbxref=GeneID",111100585,"Genbank","Name=XM_022432634.1","gbkey=mRNA","gene=LOC111100585","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns","product=uncharacterized LOC111100585%2C transcript variant X1","transcript_id=XM_022432634.1","","",""
"2","XM_022432643.1","sp","B0U5X6","RPOC_XYLFM",36.92,65,29,3,912,1079,357,418,1.4,37,"NC_035780.1","Gnomon","mRNA",30763932,30763933,".","+",".","ID=rna3191;Parent=gene1883;Dbxref=GeneID:111100585,Genbank:XM_022432643.1;Name=XM_022432643.1;gbkey=mRNA;gene=LOC111100585;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns;product=uncharacterized LOC111100585%2C transcript variant X2;transcript_id=XM_022432643.1","NC_035780.1",30763931,30763933,"+",-51,"ID=rna3191","Parent=gene1883","Dbxref=GeneID",111100585,"Genbank","Name=XM_022432643.1","gbkey=mRNA","gene=LOC111100585","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns","product=uncharacterized LOC111100585%2C transcript variant X2","transcript_id=XM_022432643.1","","",""
"3","XM_022432652.1","sp","Q5ZJK8","TCPH_CHICK",81.68,524,96,0,93,1664,1,524,0,839,"NC_035785.1","Gnomon","mRNA",31238803,31238804,".","+",".","ID=rna42405;Parent=gene24468;Dbxref=GeneID:111100598,Genbank:XM_022432652.1;Name=XM_022432652.1;gbkey=mRNA;gene=LOC111100598;model_evidence=Supporting evidence includes similarity to: 2 ESTs%2C 29 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 26 samples with support for all annotated introns;product=T-complex protein 1 subunit eta-like;transcript_id=XM_022432652.1","NC_035785.1",31238802,31238804,"-",55,"ID=rna42405","Parent=gene24468","Dbxref=GeneID",111100598,"Genbank","Name=XM_022432652.1","gbkey=mRNA","gene=LOC111100598","model_evidence=Supporting evidence includes similarity to"," 2 ESTs%2C 29 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 26 samples with support for all annotated introns","product=T-complex protein 1 subunit eta-like","transcript_id=XM_022432652.1","","",""
"4","XM_022435187.1","sp","Q8CI17","MB213_MOUSE",26.1,249,157,10,769,1485,198,429,9e-08,59.3,"NC_035780.1","Gnomon","mRNA",1882692,1882693,".","+",".","ID=rna154;Parent=gene94;Dbxref=GeneID:111102439,Genbank:XM_022435187.1;Name=XM_022435187.1;gbkey=mRNA;gene=LOC111102439;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=uncharacterized LOC111102439;transcript_id=XM_022435187.1","NC_035780.1",1882691,1882693,"-",52,"ID=rna154","Parent=gene94","Dbxref=GeneID",111102439,"Genbank","Name=XM_022435187.1","gbkey=mRNA","gene=LOC111102439","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=uncharacterized LOC111102439","transcript_id=XM_022435187.1","","",""
"5","XM_022435675.1","sp","Q8CGC6","RBM28_MOUSE",50,74,37,0,46,267,5,78,7e-16,86.3,"NC_035786.1","Gnomon","mRNA",6764200,6764201,".","+",".","ID=rna44977;Parent=gene25847;Dbxref=GeneID:111102803,Genbank:XM_022435675.1;Name=XM_022435675.1;gbkey=mRNA;gene=LOC111102803;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns;product=RNA-binding protein 28-like;transcript_id=XM_022435675.1","NC_035786.1",6764199,6764201,"+",-57,"ID=rna44977","Parent=gene25847","Dbxref=GeneID",111102803,"Genbank","Name=XM_022435675.1","gbkey=mRNA","gene=LOC111102803","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=RNA-binding protein 28-like","transcript_id=XM_022435675.1","","",""
"6","XM_022435675.1","sp","Q8CGC6","RBM28_MOUSE",32.53,83,48,2,43,267,325,407,0.007,43.9,"NC_035786.1","Gnomon","mRNA",6764200,6764201,".","+",".","ID=rna44977;Parent=gene25847;Dbxref=GeneID:111102803,Genbank:XM_022435675.1;Name=XM_022435675.1;gbkey=mRNA;gene=LOC111102803;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns;product=RNA-binding protein 28-like;transcript_id=XM_022435675.1","NC_035786.1",6764199,6764201,"+",-57,"ID=rna44977","Parent=gene25847","Dbxref=GeneID",111102803,"Genbank","Name=XM_022435675.1","gbkey=mRNA","gene=LOC111102803","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=RNA-binding protein 28-like","transcript_id=XM_022435675.1","","",""
"7","XM_022435675.1","sp","Q8CGC6","RBM28_MOUSE",62.96,81,30,0,724,966,115,195,4e-14,80.5,"NC_035786.1","Gnomon","mRNA",6764200,6764201,".","+",".","ID=rna44977;Parent=gene25847;Dbxref=GeneID:111102803,Genbank:XM_022435675.1;Name=XM_022435675.1;gbkey=mRNA;gene=LOC111102803;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns;product=RNA-binding protein 28-like;transcript_id=XM_022435675.1","NC_035786.1",6764199,6764201,"+",-57,"ID=rna44977","Parent=gene25847","Dbxref=GeneID",111102803,"Genbank","Name=XM_022435675.1","gbkey=mRNA","gene=LOC111102803","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=RNA-binding protein 28-like","transcript_id=XM_022435675.1","","",""
"8","XM_022435675.1","sp","Q8CGC6","RBM28_MOUSE",33.33,84,51,2,1339,1590,116,194,0.11,40,"NC_035786.1","Gnomon","mRNA",6764200,6764201,".","+",".","ID=rna44977;Parent=gene25847;Dbxref=GeneID:111102803,Genbank:XM_022435675.1;Name=XM_022435675.1;gbkey=mRNA;gene=LOC111102803;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns;product=RNA-binding protein 28-like;transcript_id=XM_022435675.1","NC_035786.1",6764199,6764201,"+",-57,"ID=rna44977","Parent=gene25847","Dbxref=GeneID",111102803,"Genbank","Name=XM_022435675.1","gbkey=mRNA","gene=LOC111102803","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=RNA-binding protein 28-like","transcript_id=XM_022435675.1","","",""
"9","XM_022435675.1","sp","Q8CGC6","RBM28_MOUSE",39.64,439,226,8,1315,2538,319,749,9e-65,236,"NC_035786.1","Gnomon","mRNA",6764200,6764201,".","+",".","ID=rna44977;Parent=gene25847;Dbxref=GeneID:111102803,Genbank:XM_022435675.1;Name=XM_022435675.1;gbkey=mRNA;gene=LOC111102803;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns;product=RNA-binding protein 28-like;transcript_id=XM_022435675.1","NC_035786.1",6764199,6764201,"+",-57,"ID=rna44977","Parent=gene25847","Dbxref=GeneID",111102803,"Genbank","Name=XM_022435675.1","gbkey=mRNA","gene=LOC111102803","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=RNA-binding protein 28-like","transcript_id=XM_022435675.1","","",""
"10","XM_022438278.1","sp","P34607","MUT7_CAEEL",29.91,117,71,5,5039,5365,727,840,0.37,40.8,"NC_035786.1","Gnomon","mRNA",55244494,55244495,".","+",".","ID=rna49340;Parent=gene28445;Dbxref=GeneID:111104370,Genbank:XM_022438278.1;Name=XM_022438278.1;gbkey=mRNA;gene=LOC111104370;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC111104370;transcript_id=XM_022438278.1","NC_035786.1",55244493,55244495,"-",56,"ID=rna49340","Parent=gene28445","Dbxref=GeneID",111104370,"Genbank","Name=XM_022438278.1","gbkey=mRNA","gene=LOC111104370","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments","product=uncharacterized LOC111104370","transcript_id=XM_022438278.1","","",""
"11","XM_022439058.1","sp","Q66H30","GIN1_RAT",31.58,76,41,2,10,222,107,176,4e-04,46.2,"NC_035786.1","Gnomon","mRNA",17009126,17009127,".","-",".","ID=rna45841;Parent=gene26335;Dbxref=GeneID:111104889,Genbank:XM_022439058.1;Name=XM_022439058.1;gbkey=mRNA;gene=LOC111104889;model_evidence=Supporting evidence includes similarity to: 1 Protein;product=uncharacterized LOC111104889;transcript_id=XM_022439058.1","NC_035786.1",17009125,17009127,"+",-50,"ID=rna45841","Parent=gene26335","Dbxref=GeneID",111104889,"Genbank","Name=XM_022439058.1","gbkey=mRNA","gene=LOC111104889","model_evidence=Supporting evidence includes similarity to"," 1 Protein","product=uncharacterized LOC111104889","transcript_id=XM_022439058.1","","",""
"12","XM_022443616.1","sp","Q16720","AT2B3_HUMAN",60.07,273,98,1,307,1092,22,294,4e-75,279,"NC_035787.1","Gnomon","mRNA",52816481,52816482,".","-",".","ID=rna54732;Parent=gene31692;Dbxref=GeneID:111108086,Genbank:XM_022443616.1;Name=XM_022443616.1;gbkey=mRNA;gene=LOC111108086;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns;product=plasma membrane calcium-transporting ATPase 2-like%2C transcript variant X8;transcript_id=XM_022443616.1","NC_035787.1",52816480,52816482,"+",-58,"ID=rna54732","Parent=gene31692","Dbxref=GeneID",111108086,"Genbank","Name=XM_022443616.1","gbkey=mRNA","gene=LOC111108086","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns","product=plasma membrane calcium-transporting ATPase 2-like%2C transcript variant X8","transcript_id=XM_022443616.1","","",""
