"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"665","NC_035780.1",401631,401631,"+",1.9894967724195e-27,4.12259429890381e-25,53.6670362743545
"1003","NC_035780.1",571139,571139,"+",9.537633295453e-30,2.55316307346757e-27,58.2278481012658
"1950","NC_035780.1",1882692,1882692,"+",1.54857474241667e-28,3.67257165563022e-26,64.8148148148148
"1969","NC_035780.1",1885023,1885023,"+",1.56214555549646e-14,6.6656460716732e-13,61.2143987341772
"2066","NC_035780.1",1933500,1933500,"+",1.26044543179399e-19,1.04857966005056e-17,51.324937688574
"2999","NC_035780.1",2584493,2584493,"+",3.12717630109529e-57,9.28810093887902e-54,56.4664786447676
"3034","NC_035780.1",2589721,2589721,"+",1.68486904936225e-36,8.81255052160502e-34,57.042957042957
"4050","NC_035780.1",4286287,4286287,"+",7.52375071158354e-42,6.25701201644084e-39,67.4630816383394
"6062","NC_035780.1",8833125,8833125,"+",1.87756815984505e-15,9.11352604694824e-14,60.1254480286738
"7120","NC_035780.1",12631454,12631454,"+",7.95429303615801e-18,5.30762177974547e-16,60.2577873254565
"8268","NC_035780.1",15412265,15412265,"+",3.76664422077054e-36,1.89464029942841e-33,50.931430328499
"8285","NC_035780.1",15414935,15414935,"+",4.46713127041768e-19,3.48065704421621e-17,51.580544137796
"10835","NC_035780.1",19482569,19482569,"+",1.39169778758904e-76,2.31476828885151e-72,56.7761299435028
"13462","NC_035780.1",22276727,22276727,"+",3.17267485635371e-45,3.54956023228931e-42,55.7151959222682
"14726","NC_035780.1",24227053,24227053,"+",9.17964490545048e-39,5.90266318661926e-36,79.8387096774193
"18620","NC_035780.1",27396183,27396183,"+",2.448830698055e-28,5.67279257459875e-26,52.6108743502084
"18741","NC_035780.1",27482717,27482717,"+",1.14723968836811e-26,2.20173302601652e-24,52.0311149524633
"19979","NC_035780.1",28739473,28739473,"+",8.61705495488073e-83,2.14987252233155e-78,62.9210433795728
"22958","NC_035780.1",32447268,32447268,"+",1.883168387765e-38,1.17165197491173e-35,63.4901556776557
"23372","NC_035780.1",32766798,32766798,"+",3.6984292636719e-19,2.91447445138457e-17,58.1214689265537
"26007","NC_035780.1",38085953,38085953,"+",1.34635907565697e-25,2.2696193903319e-23,59.5918367346939
"26097","NC_035780.1",38132129,38132129,"+",2.38715783804869e-19,1.92555115914318e-17,55.3359683794466
"26130","NC_035780.1",38236494,38236494,"+",9.95989456119202e-14,3.79895752678737e-12,50.4091954022988
"31934","NC_035780.1",43027589,43027589,"+",1.27025526740795e-27,2.72031330386318e-25,50.9307567093785
"32270","NC_035780.1",43327057,43327057,"+",2.30284094112487e-12,7.1725008198447e-11,50.7661290322581
"33325","NC_035780.1",48165058,48165058,"+",1.87496597595549e-86,6.68265741290207e-82,72.7495908346972
"35838","NC_035780.1",55852213,55852213,"+",1.30976739966275e-14,5.65451458281376e-13,58.0645161290323
"37334","NC_035780.1",58135768,58135768,"+",4.02294130184559e-42,3.43727825626125e-39,74.6984587893679
"38937","NC_035780.1",60359487,60359487,"+",5.48093148609015e-107,1.3674398109824e-101,65.5254490247543
"40518","NC_035780.1",62750218,62750218,"+",4.55944265357327e-51,7.89956381832671e-48,53.6949479029857
"42110","NC_035781.1",275905,275905,"+",1.37738219756852e-17,8.88886810629668e-16,53.7047222440481
"45114","NC_035781.1",2277405,2277405,"+",2.38469787846999e-57,7.53112958498445e-54,57.4353123861134
"45482","NC_035781.1",2383029,2383029,"+",5.43557258711535e-43,4.98574706231746e-40,67.0758928571429
"49443","NC_035781.1",5386448,5386448,"+",6.31432273508759e-24,8.92051489478204e-22,50.5489679402723
"50294","NC_035781.1",5652042,5652042,"+",9.99641087717148e-28,2.17437540427149e-25,63.4633911368015
"50972","NC_035781.1",5928087,5928087,"+",7.46696649540333e-17,4.35978583640143e-15,52.176220806794
"52118","NC_035781.1",7609506,7609506,"+",1.45384551359983e-52,2.94894719187276e-49,57.4661246612466
"52850","NC_035781.1",8787456,8787456,"+",1.04439761822674e-38,6.68120983974933e-36,55.7665710912464
"53358","NC_035781.1",9369564,9369564,"+",5.88581314270141e-30,1.6136856033834e-27,51.9350462815193
"54421","NC_035781.1",10427420,10427420,"+",7.08478564718903e-55,1.66753399401589e-51,56.3683502095506
"54427","NC_035781.1",10427643,10427643,"+",4.04392645431604e-70,3.60328873213209e-66,63.578481266577
"61196","NC_035781.1",20620124,20620124,"+",6.20264952061915e-42,5.24576791532301e-39,57.7653631284916
"63500","NC_035781.1",22439770,22439770,"+",7.04523840906674e-52,1.31173087853659e-48,53.8431991220248
"64026","NC_035781.1",22901073,22901073,"+",1.09193667808556e-68,9.08092410007005e-65,54.5212067328093
"65154","NC_035781.1",24474568,24474568,"+",3.45344020244e-08,5.11578311029646e-07,53.0612244897959
"66748","NC_035781.1",28525220,28525220,"+",3.44255838976761e-18,2.40702064011697e-16,50.6208425720621
"66777","NC_035781.1",28992819,28992819,"+",4.65879615365645e-22,5.24278274568167e-20,52.9083204930662
"66809","NC_035781.1",29126964,29126964,"+",1.16075549193079e-18,8.58066241996831e-17,51.989247311828
"67280","NC_035781.1",29385293,29385293,"+",4.06393263338884e-33,1.56467931280426e-30,56.0455530307034
"68527","NC_035781.1",30062223,30062223,"+",1.06788601261376e-18,7.92702507456419e-17,60.7400194741967
"68661","NC_035781.1",30153251,30153251,"+",1.01820286775486e-61,4.61876081584103e-58,51.1417982673559
"69374","NC_035781.1",30488985,30488985,"+",1.10686794925034e-43,1.07872239014781e-40,51.8600237247924
"70252","NC_035781.1",30827586,30827586,"+",1.84910671195746e-26,3.46087307336901e-24,55.2655677655678
"70720","NC_035781.1",31150011,31150011,"+",2.93169825135558e-09,5.36475415325838e-08,53.5142118863049
"71265","NC_035781.1",32146060,32146060,"+",9.57434655560303e-38,5.54224498974535e-35,52.2772153480815
"73666","NC_035781.1",37444182,37444182,"+",4.17574291593903e-27,8.34781880822501e-25,56.4884302689181
"77656","NC_035781.1",43382431,43382431,"+",3.15330838737188e-11,8.21211047629859e-10,52.2161172161172
"77699","NC_035781.1",43563162,43563162,"+",5.98098273802582e-19,4.58432503799921e-17,56.3768115942029
"77942","NC_035781.1",45110113,45110113,"+",8.03046323914113e-94,5.00880879541232e-89,73.0210997442455
"78365","NC_035781.1",47215728,47215728,"+",1.32841491130614e-22,1.60808720502215e-20,52.0504385964912
