NC_035780.1	2538900	2538955	-50	NC_035780.1	2538624	2538955
NC_035781.1	7626500	7626546	-56	NC_035781.1	7626417	7626546
NC_035781.1	13281000	13281010	-57	NC_035781.1	13280898	13281010
NC_035781.1	20126000	20126101	-52	NC_035781.1	20125936	20126403
NC_035781.1	30789600	30789701	-57	NC_035781.1	30789514	30790310
NC_035781.1	43054149	43054201	-60	NC_035781.1	43054149	43054333
NC_035783.1	38039050	38039101	-51	NC_035783.1	38039050	38039211
NC_035783.1	38039050	38039101	-51	NC_035783.1	38039050	38039211
NC_035783.1	38039050	38039101	-51	NC_035783.1	38039050	38039211
NC_035783.1	58980000	58980101	-61	NC_035783.1	58979191	58980564
NC_035784.1	2256875	2256901	-52	NC_035784.1	2256875	2256992
NC_035784.1	59387900	59388001	-66	NC_035784.1	59387385	59388876
NC_035784.1	92841546	92841601	-52	NC_035784.1	92841546	92842279
NC_035785.1	31878900	31879001	-57	NC_035785.1	31878766	31879072
NC_035785.1	31878900	31879001	-57	NC_035785.1	31878766	31879072
NC_035785.1	31878900	31879001	-57	NC_035785.1	31878766	31879072
NC_035785.1	31878900	31879001	-57	NC_035785.1	31878766	31879072
NC_035785.1	31878900	31879001	-57	NC_035785.1	31878766	31879072
NC_035785.1	35798153	35798201	-52	NC_035785.1	35798153	35798316
NC_035785.1	35798153	35798201	-52	NC_035785.1	35798153	35798316
NC_035786.1	41858588	41858601	-50	NC_035786.1	41858588	41858764
NC_035786.1	53586400	53586501	-51	NC_035786.1	53586308	53586675
NC_035786.1	53586400	53586501	-51	NC_035786.1	53586308	53586675
NC_035787.1	55630800	55630901	-51	NC_035787.1	55630661	55631418
NC_035787.1	69874000	69874038	-59	NC_035787.1	69873869	69874038
NC_035787.1	69874000	69874038	-59	NC_035787.1	69873869	69874038
NC_035788.1	56054500	56054601	-51	NC_035788.1	56054456	56054844
NC_035788.1	64582311	64582361	-68	NC_035788.1	64582311	64582361
