"","Genbank","V2","Uniprot","V4","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","mRNAchromosome","Gnomon","mRNA","mRNAstart","mRNAend","V6","mRNAstrand","V8","V9","DMRchromosome","DMRstart","DMRend","DMR","Percentdiff","ID","Parent","Dbxref=GeneID","V18","V19","Name","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","XM_022447031.1","sp","A9CPT4","TDRD1_ORYLA",28.74,174,98,4,4135,4650,858,1007,5e-11,72,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4633;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447031.1;Name=XM_022447031.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X1;transcript_id=XM_022447031.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4633","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447031.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X1","transcript_id=XM_022447031.1","","",""
"2","XM_022447031.1","sp","A9CPT4","TDRD1_ORYLA",33.54,158,100,4,4255,4725,414,567,4e-16,88.6,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4633;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447031.1;Name=XM_022447031.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X1;transcript_id=XM_022447031.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4633","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447031.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X1","transcript_id=XM_022447031.1","","",""
"3","XM_022447031.1","sp","A9CPT4","TDRD1_ORYLA",23.15,216,139,4,2965,3609,821,1010,1e-06,57.4,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4633;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447031.1;Name=XM_022447031.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X1;transcript_id=XM_022447031.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4633","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447031.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X1","transcript_id=XM_022447031.1","","",""
"4","XM_022447031.1","sp","A9CPT4","TDRD1_ORYLA",32,150,84,4,1753,2175,391,531,2e-09,66.6,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4633;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447031.1;Name=XM_022447031.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X1;transcript_id=XM_022447031.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4633","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447031.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X1","transcript_id=XM_022447031.1","","",""
"5","XM_022447031.1","sp","A9CPT4","TDRD1_ORYLA",30.14,209,118,6,4102,4728,604,784,9e-15,84.3,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4633;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447031.1;Name=XM_022447031.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X1;transcript_id=XM_022447031.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4633","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447031.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X1","transcript_id=XM_022447031.1","","",""
"6","XM_022447031.1","sp","A9CPT4","TDRD1_ORYLA",29.37,143,77,4,3079,3507,390,508,4e-05,52.8,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4633;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447031.1;Name=XM_022447031.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X1;transcript_id=XM_022447031.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4633","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447031.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X1","transcript_id=XM_022447031.1","","",""
"7","XM_022447031.1","sp","A9CPT4","TDRD1_ORYLA",31.68,101,63,2,1870,2172,656,750,2e-04,50.1,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4633;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447031.1;Name=XM_022447031.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X1;transcript_id=XM_022447031.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4633","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447031.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X1","transcript_id=XM_022447031.1","","",""
"8","XM_022447031.1","sp","A9CPT4","TDRD1_ORYLA",30.53,95,62,2,4333,4611,208,300,7e-05,52,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4633;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447031.1;Name=XM_022447031.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X1;transcript_id=XM_022447031.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4633","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447031.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X1","transcript_id=XM_022447031.1","","",""
"9","XM_022447031.1","sp","A9CPT4","TDRD1_ORYLA",25.16,159,86,4,3094,3570,616,741,0.03,43.1,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4633;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447031.1;Name=XM_022447031.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X1;transcript_id=XM_022447031.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4633","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447031.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X1","transcript_id=XM_022447031.1","","",""
"10","XM_022447031.1","sp","A9CPT4","TDRD1_ORYLA",32.35,68,31,1,3241,3444,205,257,0.075,42,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4633;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447031.1;Name=XM_022447031.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X1;transcript_id=XM_022447031.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4633","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447031.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X1","transcript_id=XM_022447031.1","","",""
