"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"2739","NC_035780.1",2538925,2538925,"+",7.04346175157579e-15,3.14980483642906e-13,-50.2505846976278
"2743","NC_035780.1",2541727,2541727,"+",3.59921004770553e-41,2.78008782980908e-38,-54.9736072708992
"3017","NC_035780.1",2586509,2586509,"+",6.66191639817937e-71,6.64833685546064e-67,-53.8495091547371
"4055","NC_035780.1",4286803,4286803,"+",3.85745583569328e-16,2.04200767030581e-14,-62.0490797546012
"4063","NC_035780.1",4288214,4288214,"+",1.03297953561797e-29,2.74460576897546e-27,-58.168449197861
"4080","NC_035780.1",4289629,4289629,"+",2.28939540201561e-25,3.75530692871214e-23,-52.2097927746195
"5951","NC_035780.1",8693288,8693288,"+",8.98883317830873e-22,9.75904099872946e-20,-52.283522104494
"6318","NC_035780.1",9110275,9110275,"+",1.04638360867521e-52,2.15754272156723e-49,-63.6439567402543
"9267","NC_035780.1",17093219,17093219,"+",1.26074972979324e-14,5.45233072421469e-13,-52.9967159277504
"9462","NC_035780.1",17488959,17488959,"+",5.71400122627172e-26,1.01033910321041e-23,-57.0731707317073
"10652","NC_035780.1",19149581,19149581,"+",1.95455199452061e-26,3.63911915545465e-24,-61.0240190685735
"11633","NC_035780.1",19968153,19968153,"+",5.91304462135748e-20,5.13308243455607e-18,-60.0470430107527
"13308","NC_035780.1",22177829,22177829,"+",6.80803459919686e-29,1.66197583451533e-26,-51.8586936690385
"14933","NC_035780.1",24258095,24258095,"+",9.57483535031815e-29,2.30582001947028e-26,-50.2401798176446
"16135","NC_035780.1",25858298,25858298,"+",1.62846067324196e-27,3.4227911653837e-25,-51.3262093311707
"18045","NC_035780.1",26676904,26676904,"+",1.97073488282654e-41,1.58606271668681e-38,-61.473707966599
"19722","NC_035780.1",28493520,28493520,"+",7.65928992823901e-45,8.2367212881851e-42,-53.830352943435
"21259","NC_035780.1",30150624,30150624,"+",1.1484927536279e-17,7.49214792092658e-16,-55.3937259923175
"21982","NC_035780.1",31302905,31302905,"+",8.46636477075717e-18,5.623740062326e-16,-60.3289335847475
"21983","NC_035780.1",31302935,31302935,"+",1.00954268196262e-17,6.62296112592393e-16,-58.2879612825166
"21984","NC_035780.1",31303160,31303160,"+",5.76351771861839e-40,4.05054187130177e-37,-58.0637211758493
"21989","NC_035780.1",31303208,31303208,"+",1.23290644624375e-59,4.39426182024815e-56,-60.6948757763975
"23254","NC_035780.1",32717031,32717031,"+",8.45711739466131e-27,1.65358121928775e-24,-52.5962264150943
"23470","NC_035780.1",32787977,32787977,"+",2.34285248595573e-56,6.35346971008868e-53,-60.2310773935089
"24867","NC_035780.1",35969129,35969129,"+",3.61526679125619e-15,1.69130765509912e-13,-53.350874477635
"25690","NC_035780.1",38002469,38002469,"+",2.00012843890027e-46,2.44614143310751e-43,-57.8262768380921
"25739","NC_035780.1",38014598,38014598,"+",1.27345457419022e-19,1.05834342518927e-17,-50.2692702980473
"33477","NC_035780.1",49916826,49916826,"+",1.31356184731671e-23,1.7927848797544e-21,-52.0442689976033
"34324","NC_035780.1",54074031,54074031,"+",2.7367620211442e-21,2.79834369843318e-19,-52.4193548387097
