"","Genbank","V2","Uniprot","V4","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","DMRchromosome","DMRstart","DMRend","DMRstrand","V5","mRNAchromosome","Gnomon","mRNA","mRNAstart","mRNAend","V11","mRNAstrand","V13","ID","Parent","Dbxref=GeneID","V17","V18","Name","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1","XM_022430411.1","sp","Q9D787","PPIL2_MOUSE",58.65,520,198,7,87,1622,11,521,0,558,"NC_035784.1",2256800,2256900,"DMR",-52,"NC_035784.1","Gnomon","mRNA",2253035,2264233,".","-",".","ID=rna29010","Parent=gene16834","Dbxref=GeneID",111099063,"Genbank","Name=XM_022430411.1","gbkey=mRNA","gene=LOC111099063","model_evidence=Supporting evidence includes similarity to"," 16 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns","product=peptidyl-prolyl cis-trans isomerase-like 2","transcript_id=XM_022430411.1","","",""
"2","XM_022430483.1","sp","Q969N2","PIGT_HUMAN",45.65,552,285,10,100,1728,28,573,1e-156,483,"NC_035784.1",57163800,57163900,"DMR",-65,"NC_035784.1","Gnomon","mRNA",57162759,57168910,".","+",".","ID=rna35502","Parent=gene20561","Dbxref=GeneID",111099115,"Genbank","Name=XM_022430483.1","gbkey=mRNA","gene=LOC111099115","model_evidence=Supporting evidence includes similarity to"," 6 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 19 samples with support for all annotated introns","product=GPI transamidase component PIG-T-like","transcript_id=XM_022430483.1","","",""
"3","XM_022431698.1","sp","Q62769","UN13B_RAT",18.6,371,247,14,1078,2055,756,1116,0.23,40.8,"NC_035785.1",36217800,36217900,"DMR",-72,"NC_035785.1","Gnomon","mRNA",36196373,36218975,".","+",".","ID=rna42949","Parent=gene24790","Dbxref=GeneID",111100089,"Genbank","Name=XM_022431698.1","gbkey=mRNA","gene=LOC111100089","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns","product=uncharacterized LOC111100089%2C transcript variant X1","transcript_id=XM_022431698.1","","",""
"4","XM_022431699.1","sp","Q62769","UN13B_RAT",18.6,371,247,14,1014,1991,756,1116,0.22,40.8,"NC_035785.1",36217800,36217900,"DMR",-72,"NC_035785.1","Gnomon","mRNA",36196428,36218975,".","+",".","ID=rna42950","Parent=gene24790","Dbxref=GeneID",111100089,"Genbank","Name=XM_022431699.1","gbkey=mRNA","gene=LOC111100089","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns","product=uncharacterized LOC111100089%2C transcript variant X2","transcript_id=XM_022431699.1","","",""
"5","XM_022431820.1","sp","F1Q506","SNXAA_DANRE",36.42,151,96,0,95,547,3,153,2e-18,90.5,"NC_035780.1",61138200,61138300,"DMR",-79,"NC_035780.1","Gnomon","mRNA",61125830,61140417,".","+",".","ID=rna6221","Parent=gene3672","Dbxref=GeneID",111100168,"Genbank","Name=XM_022431820.1","gbkey=mRNA","gene=LOC111100168","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns","product=sorting nexin-10-like","transcript_id=XM_022431820.1","","",""
"6","XM_022432056.1","sp","B5DF93","PATL1_RAT",37.11,380,209,9,1647,2735,399,765,2e-51,199,"NC_035785.1",12703900,12704000,"DMR",56,"NC_035785.1","Gnomon","mRNA",12689829,12707130,".","+",".","ID=rna40951","Parent=gene23612","Dbxref=GeneID",111100321,"Genbank","Name=XM_022432056.1","gbkey=mRNA","gene=LOC111100321","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 4 samples with support for all annotated introns","product=protein PAT1 homolog 1-like%2C transcript variant X1","transcript_id=XM_022432056.1","","",""
"7","XM_022432056.1","sp","B5DF93","PATL1_RAT",36.46,96,50,6,132,404,24,113,7e-06,54.7,"NC_035785.1",12703900,12704000,"DMR",56,"NC_035785.1","Gnomon","mRNA",12689829,12707130,".","+",".","ID=rna40951","Parent=gene23612","Dbxref=GeneID",111100321,"Genbank","Name=XM_022432056.1","gbkey=mRNA","gene=LOC111100321","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 4 samples with support for all annotated introns","product=protein PAT1 homolog 1-like%2C transcript variant X1","transcript_id=XM_022432056.1","","",""
"8","XM_022432057.1","sp","B5DF93","PATL1_RAT",37.11,380,209,9,1407,2495,399,765,1e-51,200,"NC_035785.1",12703900,12704000,"DMR",56,"NC_035785.1","Gnomon","mRNA",12689829,12707130,".","+",".","ID=rna40952","Parent=gene23612","Dbxref=GeneID",111100321,"Genbank","Name=XM_022432057.1","gbkey=mRNA","gene=LOC111100321","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns","product=protein PAT1 homolog 1-like%2C transcript variant X2","transcript_id=XM_022432057.1","","",""
"9","XM_022432057.1","sp","B5DF93","PATL1_RAT",37.5,96,49,6,132,404,24,113,3e-06,55.8,"NC_035785.1",12703900,12704000,"DMR",56,"NC_035785.1","Gnomon","mRNA",12689829,12707130,".","+",".","ID=rna40952","Parent=gene23612","Dbxref=GeneID",111100321,"Genbank","Name=XM_022432057.1","gbkey=mRNA","gene=LOC111100321","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns","product=protein PAT1 homolog 1-like%2C transcript variant X2","transcript_id=XM_022432057.1","","",""
"10","XM_022432199.1","sp","Q61824","ADA12_MOUSE",34.94,747,442,22,239,2449,60,772,4e-117,399,"NC_035785.1",32926100,32926200,"DMR",50,"NC_035785.1","Gnomon","mRNA",32907406,32933341,".","+",".","ID=rna42607","Parent=gene24580","Dbxref=GeneID",111100393,"Genbank","Name=XM_022432199.1","gbkey=mRNA","gene=LOC111100393","model_evidence=Supporting evidence includes similarity to"," 14 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns","product=disintegrin and metalloproteinase domain-containing protein 12-like%2C transcript variant X1","transcript_id=XM_022432199.1","","",""
