geneID,DMLCount,chr,start,end,meth.diff,meth.diff2,no.hyper,strand,pvalue,qvalue,Product
111099722,2,NC_035780.1,15414935,15414935,51.58054414,50.93143033,2,+,4.47E-19,3.48E-17,MAM and LDL-receptor class A domain-containing protein 1-like
111101813,2,NC_035785.1,4744968,4744968,60.82713977,74.02150538,2,+,4.00E-37,2.21E-34,dynein gamma chain
111102448,2,NC_035780.1,1882692,1882692,64.81481481,61.21439873,2,+,1.55E-28,3.67E-26,NADH dehydrogenase [ubiquinone] flavoprotein 1
111103700,2,NC_035786.1,43236838,43236838,-53.07692308,-53.29113924,0,+,1.52E-12,4.87E-11,ralBP1-associated Eps domain-containing protein 1-like
111103886,2,NC_035786.1,38653052,38653052,53.46793129,-50.85676733,1,+,3.95E-35,1.81E-32,ATP-citrate synthase-like
111104629,2,NC_035786.1,42414570,42414570,56.16014156,-64.45652174,1,+,2.23E-30,6.35E-28,androglobin-like
111105718,2,NC_035787.1,72590357,72590357,63.54797733,52.11474145,2,+,7.39E-31,2.26E-28,proton myo-inositol cotransporter-like
111106119,2,NC_035787.1,56264363,56264363,63.03712975,-51.19756943,1,+,8.09E-11,1.96E-09,inositol 1
111106144,2,NC_035787.1,64163924,64163924,51.03677397,56.16115296,2,+,6.01E-32,2.07E-29,uncharacterized LOC111106144
111106770,2,NC_035787.1,61910997,61910997,-59.92154665,-50.35087719,0,+,3.97E-42,3.40E-39,kelch-like protein 3
111107620,2,NC_035787.1,59175631,59175631,62.96442688,-61.24461671,1,+,5.29E-11,1.33E-09,cilia- and flagella-associated protein 54-like
111108456,2,NC_035787.1,7855103,7855103,-51.82539683,-63.29912812,0,+,2.25E-23,2.99E-21,uncharacterized LOC111108456
111110297,2,NC_035787.1,53514334,53514334,52.39156978,63.88860759,2,+,7.48E-19,5.66E-17,FERM domain-containing protein 4A-like
111110780,2,NC_035788.1,70228505,70228505,54.23083519,52.53369724,2,+,9.04E-51,1.53E-47,PAB-dependent poly(A)-specific ribonuclease subunit PAN2-like
111110867,2,NC_035788.1,76194269,76194269,51.6870471,50.59178082,2,+,4.68E-25,7.39E-23,rho GTPase-activating protein 21-like
111113163,2,NC_035788.1,46203997,46203997,-59.35618417,-83.67346939,0,+,1.85E-72,2.09E-68,tight junction protein ZO-1-like
111113273,2,NC_035788.1,11940135,11940135,52.24638332,-66.40722453,1,+,4.21E-54,9.56E-51,centrosomal protein of 78 kDa-like
111114554,2,NC_035788.1,59053338,59053338,60.34225585,73.99103139,2,+,1.32E-42,1.18E-39,zinc finger CCCH domain-containing protein 10-like
111114696,2,NC_035788.1,65573007,65573007,51.4816675,51.07723969,2,+,2.50E-51,4.43E-48,transmembrane protein 177-like
111115247,2,NC_035788.1,56154691,56154691,54.37720329,51.64404223,2,+,5.39E-25,8.48E-23,probable 28S rRNA (cytosine-C(5))-methyltransferase
111115424,2,NC_035788.1,76059473,76059473,-68.33333333,-50.34283475,0,+,7.12E-41,5.33E-38,uncharacterized LOC111115424
111115433,2,NC_035788.1,66170051,66170051,-63.64186328,58.72278573,1,+,1.49E-29,3.91E-27,protein disulfide-isomerase A4-like
111118678,2,NC_035781.1,5648772,5648772,-55.22533023,63.46339114,1,+,5.91E-60,2.20E-56,microtubule-actin cross-linking factor 1
111119269,2,NC_035781.1,59274789,59274789,51.75339367,61.24535316,2,+,3.07E-38,1.87E-35,guanine nucleotide-binding protein subunit beta-2-like 1
111120065,2,NC_035781.1,7609506,7609506,57.46612466,-56.09180609,1,+,1.45E-52,2.95E-49,sperm-tail PG-rich repeat-containing protein 2-like
111120066,2,NC_035781.1,7626511,7626511,-56.09180609,57.46612466,1,+,3.53E-12,1.07E-10,short-chain dehydrogenase/reductase family 42E member 1-like
111120127,2,NC_035781.1,631900,631900,-57.73439057,-60.71916441,0,+,2.64E-48,3.85E-45,histone-arginine methyltransferase CARMER-like
111121323,2,NC_035781.1,59698880,59698880,66.47137596,-51.66984228,1,+,1.19E-21,1.27E-19,uncharacterized LOC111121323
111121324,2,NC_035781.1,59717178,59717178,56.13710733,54.12026726,2,+,5.14E-55,1.23E-51,kelch-like protein 2
111121603,2,NC_035781.1,54715614,54715614,56.40126365,-52.48726988,1,+,3.80E-33,1.47E-30,SMC5-SMC6 complex localization factor protein 1-like
111122403,2,NC_035781.1,45110204,45110204,-51.26361003,73.02109974,1,+,2.89E-13,1.04E-11,dynein assembly factor 5
111123248,2,NC_035782.1,49575757,49575757,-61.15288221,-58.62150221,0,+,4.82E-29,1.20E-26,CAP-Gly domain-containing linker protein 1-like
111124120,2,NC_035782.1,22559284,22559284,52.57749225,-50.11562365,1,+,7.15E-57,2.03E-53,phosphoribosylformylglycinamidine synthase-like
111124143,2,NC_035782.1,26344077,26344077,-51.31353512,-59.54317422,0,+,7.39E-12,2.12E-10,NA
111125209,2,NC_035782.1,57056677,57056677,53.24675325,51.78381963,2,+,2.00E-08,3.10E-07,protocadherin Fat 1-like
111125330,2,NC_035782.1,15147633,15147633,-68.49257679,-50.04347826,0,+,5.90E-46,6.94E-43,hemicentin-1-like
111125428,2,NC_035782.1,49693131,49693131,51.32408575,53.71162068,2,+,1.88E-09,3.55E-08,cytoplasmic dynein 2 heavy chain 1-like
111130067,2,NC_035783.1,20844475,20844475,65.58995853,70.45263158,2,+,1.58E-55,3.94E-52,putative transcription factor p65 homolog
111130847,2,NC_035783.1,21109546,21109546,53.84121124,66.51470253,2,+,2.24E-46,2.73E-43,calmodulin-lysine N-methyltransferase-like
111131682,2,NC_035780.1,2541727,2541727,-54.97360727,-50.2505847,0,+,3.60E-41,2.78E-38,oxysterol-binding protein-related protein 8-like
111132099,2,NC_035784.1,21410065,21410065,-56.66666667,-59.03298351,0,+,3.21E-18,2.25E-16,uncharacterized LOC111132099
111134392,2,NC_035784.1,50083564,50083564,-51.88435415,50.74685535,1,+,1.86E-25,3.09E-23,zinc finger protein 236-like
111134574,2,NC_035784.1,67991199,67991199,65.06853081,53.5967399,2,+,8.45E-104,1.05E-98,zinc finger protein Dzip1-like
111134646,2,NC_035784.1,75291847,75291847,-75.63451777,-51.89697943,0,+,1.22E-42,1.09E-39,uncharacterized LOC111134646
111134793,2,NC_035784.1,82092356,82092356,-51.73076923,51.10344828,1,+,2.92E-14,1.20E-12,uncharacterized LOC111134793
111135890,2,NC_035784.1,55154350,55154350,-51.09436261,52.0612364,1,+,1.54E-49,2.44E-46,rootletin-like
111136106,2,NC_035780.1,32787977,32787977,-60.23107739,58.12146893,1,+,2.34E-56,6.35E-53,rho GTPase-activating protein 39-like
111138131,2,NC_035784.1,60464772,60464772,60.26243635,51.82305441,2,+,2.08E-53,4.59E-50,4-hydroxybutyrate coenzyme A transferase-like
