"","Genbank","V2","Uniprot","V4","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","mRNAchromosome","Gnomon","mRNA","mRNAstart","mRNAend","V6","mRNAstrand","V8","V9","DMLchromosome","DMLstart","DMLend","DMR","Percentdiff","ID","Parent","Dbxref=GeneID","V18","V19","Name","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","XM_022431913.1","sp","A4IF63","TRIM2_BOVIN",20.61,165,126,3,1712,2203,510,670,0.021,42.7,"NC_035785.1","Gnomon","mRNA",17356835,17356836,".","-",".","ID=rna41401;Parent=gene23838;Dbxref=GeneID:111100239,Genbank:XM_022431913.1;Name=XM_022431913.1;gbkey=mRNA;gene=LOC111100239;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=uncharacterized LOC111100239%2C transcript variant X1;transcript_id=XM_022431913.1","NC_035785.1",17356834,17356836,"-",52,"ID=rna41401","Parent=gene23838","Dbxref=GeneID",111100239,"Genbank","Name=XM_022431913.1","gbkey=mRNA","gene=LOC111100239","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=uncharacterized LOC111100239%2C transcript variant X1","transcript_id=XM_022431913.1","","",""
"2","XM_022431913.1","sp","A4IF63","TRIM2_BOVIN",29.23,130,83,3,1784,2167,622,744,2e-09,65.5,"NC_035785.1","Gnomon","mRNA",17356835,17356836,".","-",".","ID=rna41401;Parent=gene23838;Dbxref=GeneID:111100239,Genbank:XM_022431913.1;Name=XM_022431913.1;gbkey=mRNA;gene=LOC111100239;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=uncharacterized LOC111100239%2C transcript variant X1;transcript_id=XM_022431913.1","NC_035785.1",17356834,17356836,"-",52,"ID=rna41401","Parent=gene23838","Dbxref=GeneID",111100239,"Genbank","Name=XM_022431913.1","gbkey=mRNA","gene=LOC111100239","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=uncharacterized LOC111100239%2C transcript variant X1","transcript_id=XM_022431913.1","","",""
"3","XM_022431913.1","sp","A4IF63","TRIM2_BOVIN",26.67,105,71,2,1802,2110,492,592,0.004,45.1,"NC_035785.1","Gnomon","mRNA",17356835,17356836,".","-",".","ID=rna41401;Parent=gene23838;Dbxref=GeneID:111100239,Genbank:XM_022431913.1;Name=XM_022431913.1;gbkey=mRNA;gene=LOC111100239;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=uncharacterized LOC111100239%2C transcript variant X1;transcript_id=XM_022431913.1","NC_035785.1",17356834,17356836,"-",52,"ID=rna41401","Parent=gene23838","Dbxref=GeneID",111100239,"Genbank","Name=XM_022431913.1","gbkey=mRNA","gene=LOC111100239","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=uncharacterized LOC111100239%2C transcript variant X1","transcript_id=XM_022431913.1","","",""
"4","XM_022431914.1","sp","A4IF63","TRIM2_BOVIN",26.67,105,71,2,1713,2021,492,592,0.004,45.1,"NC_035785.1","Gnomon","mRNA",17356835,17356836,".","-",".","ID=rna41399;Parent=gene23838;Dbxref=GeneID:111100239,Genbank:XM_022431914.1;Name=XM_022431914.1;gbkey=mRNA;gene=LOC111100239;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=uncharacterized LOC111100239%2C transcript variant X2;transcript_id=XM_022431914.1","NC_035785.1",17356834,17356836,"-",52,"ID=rna41399","Parent=gene23838","Dbxref=GeneID",111100239,"Genbank","Name=XM_022431914.1","gbkey=mRNA","gene=LOC111100239","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=uncharacterized LOC111100239%2C transcript variant X2","transcript_id=XM_022431914.1","","",""
"5","XM_022431914.1","sp","A4IF63","TRIM2_BOVIN",20.61,165,126,3,1623,2114,510,670,0.02,42.7,"NC_035785.1","Gnomon","mRNA",17356835,17356836,".","-",".","ID=rna41399;Parent=gene23838;Dbxref=GeneID:111100239,Genbank:XM_022431914.1;Name=XM_022431914.1;gbkey=mRNA;gene=LOC111100239;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=uncharacterized LOC111100239%2C transcript variant X2;transcript_id=XM_022431914.1","NC_035785.1",17356834,17356836,"-",52,"ID=rna41399","Parent=gene23838","Dbxref=GeneID",111100239,"Genbank","Name=XM_022431914.1","gbkey=mRNA","gene=LOC111100239","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=uncharacterized LOC111100239%2C transcript variant X2","transcript_id=XM_022431914.1","","",""
"6","XM_022431914.1","sp","A4IF63","TRIM2_BOVIN",29.23,130,83,3,1695,2078,622,744,2e-09,65.5,"NC_035785.1","Gnomon","mRNA",17356835,17356836,".","-",".","ID=rna41399;Parent=gene23838;Dbxref=GeneID:111100239,Genbank:XM_022431914.1;Name=XM_022431914.1;gbkey=mRNA;gene=LOC111100239;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=uncharacterized LOC111100239%2C transcript variant X2;transcript_id=XM_022431914.1","NC_035785.1",17356834,17356836,"-",52,"ID=rna41399","Parent=gene23838","Dbxref=GeneID",111100239,"Genbank","Name=XM_022431914.1","gbkey=mRNA","gene=LOC111100239","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=uncharacterized LOC111100239%2C transcript variant X2","transcript_id=XM_022431914.1","","",""
"7","XM_022431915.1","sp","A4IF63","TRIM2_BOVIN",29.23,130,83,3,1734,2117,622,744,2e-09,65.5,"NC_035785.1","Gnomon","mRNA",17356835,17356836,".","-",".","ID=rna41400;Parent=gene23838;Dbxref=GeneID:111100239,Genbank:XM_022431915.1;Name=XM_022431915.1;gbkey=mRNA;gene=LOC111100239;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns;product=uncharacterized LOC111100239%2C transcript variant X3;transcript_id=XM_022431915.1","NC_035785.1",17356834,17356836,"-",52,"ID=rna41400","Parent=gene23838","Dbxref=GeneID",111100239,"Genbank","Name=XM_022431915.1","gbkey=mRNA","gene=LOC111100239","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=uncharacterized LOC111100239%2C transcript variant X3","transcript_id=XM_022431915.1","","",""
"8","XM_022431915.1","sp","A4IF63","TRIM2_BOVIN",20.61,165,126,3,1662,2153,510,670,0.02,42.7,"NC_035785.1","Gnomon","mRNA",17356835,17356836,".","-",".","ID=rna41400;Parent=gene23838;Dbxref=GeneID:111100239,Genbank:XM_022431915.1;Name=XM_022431915.1;gbkey=mRNA;gene=LOC111100239;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns;product=uncharacterized LOC111100239%2C transcript variant X3;transcript_id=XM_022431915.1","NC_035785.1",17356834,17356836,"-",52,"ID=rna41400","Parent=gene23838","Dbxref=GeneID",111100239,"Genbank","Name=XM_022431915.1","gbkey=mRNA","gene=LOC111100239","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=uncharacterized LOC111100239%2C transcript variant X3","transcript_id=XM_022431915.1","","",""
"9","XM_022431915.1","sp","A4IF63","TRIM2_BOVIN",26.67,105,71,2,1752,2060,492,592,0.004,45.1,"NC_035785.1","Gnomon","mRNA",17356835,17356836,".","-",".","ID=rna41400;Parent=gene23838;Dbxref=GeneID:111100239,Genbank:XM_022431915.1;Name=XM_022431915.1;gbkey=mRNA;gene=LOC111100239;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns;product=uncharacterized LOC111100239%2C transcript variant X3;transcript_id=XM_022431915.1","NC_035785.1",17356834,17356836,"-",52,"ID=rna41400","Parent=gene23838","Dbxref=GeneID",111100239,"Genbank","Name=XM_022431915.1","gbkey=mRNA","gene=LOC111100239","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=uncharacterized LOC111100239%2C transcript variant X3","transcript_id=XM_022431915.1","","",""
"10","XM_022431916.1","sp","A4IF63","TRIM2_BOVIN",20.61,165,126,3,1720,2211,510,670,0.021,42.7,"NC_035785.1","Gnomon","mRNA",17356835,17356836,".","-",".","ID=rna41402;Parent=gene23838;Dbxref=GeneID:111100239,Genbank:XM_022431916.1;Name=XM_022431916.1;gbkey=mRNA;gene=LOC111100239;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111100239%2C transcript variant X4;transcript_id=XM_022431916.1","NC_035785.1",17356834,17356836,"-",52,"ID=rna41402","Parent=gene23838","Dbxref=GeneID",111100239,"Genbank","Name=XM_022431916.1","gbkey=mRNA","gene=LOC111100239","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111100239%2C transcript variant X4","transcript_id=XM_022431916.1","","",""
