"","chr","start","end","meth.diff","strand","pvalue","qvalue","exon-start","exon-end","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-ID","Uniprot-Accession","evalue","Product","GO-ID","GO-BP","GO-CC","GO-MF"
"1","NC_035780.1",571139,571139,58.2278481012658,"+",9.537633295453e-30,2.55316307346757e-27,570942,571194,544088,573497,"111114201",544088,573497,"XM_022452489.1","Q80TY5","VP13B_MOUSE",0,"vacuolar protein sorting-associated protein 13B-like",NA,NA,NA,NA
"10","NC_035780.1",2589721,2589721,57.042957042957,"+",1.68486904936225e-36,8.81255052160502e-34,2589716,2589955,2554181,2599559,"111128103",2554181,2599559,"XM_022473562.1","Q6PD62","CTR9_HUMAN",0,"RNA polymerase-associated protein CTR9 homolog","GO:0000122; GO:0000993; GO:0001711; GO:0001826; GO:0001829; GO:0001832; GO:0001835; GO:0005654; GO:0006366; GO:0006368; GO:0007259; GO:0010390; GO:0016055; GO:0016567; GO:0016593; GO:0016607; GO:0019827; GO:0032968; GO:0033523; GO:0035327; GO:0042169; GO:0045638; GO:0045944; GO:0051569; GO:0051571; GO:0070102; GO:0071222; GO:0080182; GO:1900364; GO:2000653; GO:2001162; GO:2001168","blastocyst growth [GO:0001832]; blastocyst hatching [GO:0001835]; cellular response to lipopolysaccharide [GO:0071222]; endodermal cell fate commitment [GO:0001711]; histone H2B ubiquitination [GO:0033523]; histone H3-K4 trimethylation [GO:0080182]; histone monoubiquitination [GO:0010390]; inner cell mass cell differentiation [GO:0001826]; interleukin-6-mediated signaling pathway [GO:0070102]; negative regulation of mRNA polyadenylation [GO:1900364]; negative regulation of myeloid cell differentiation [GO:0045638]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of histone H2B ubiquitination [GO:2001168]; positive regulation of histone H3-K4 methylation [GO:0051571]; positive regulation of histone H3-K79 methylation [GO:2001162]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; protein ubiquitination [GO:0016567]; receptor signaling pathway via JAK-STAT [GO:0007259]; regulation of genetic imprinting [GO:2000653]; regulation of histone H3-K4 methylation [GO:0051569]; stem cell population maintenance [GO:0019827]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; trophectodermal cell differentiation [GO:0001829]; Wnt signaling pathway [GO:0016055]","Cdc73/Paf1 complex [GO:0016593]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; transcriptionally active chromatin [GO:0035327]","RNA polymerase II complex binding [GO:0000993]; SH2 domain binding [GO:0042169]"
"11","NC_035780.1",4286287,4286287,67.4630816383394,"+",7.52375071158354e-42,6.25701201644084e-39,4286174,4286407,4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",1e-79,"calmodulin-regulated spectrin-associated protein 1-like","GO:0000226; GO:0005516; GO:0005737; GO:0005874; GO:0007010; GO:0007026; GO:0008017; GO:0022604; GO:0030507; GO:0031113; GO:0031122; GO:0031175; GO:0051011","cytoplasmic microtubule organization [GO:0031122]; cytoskeleton organization [GO:0007010]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of microtubule depolymerization [GO:0007026]; neuron projection development [GO:0031175]; regulation of cell morphogenesis [GO:0022604]; regulation of microtubule polymerization [GO:0031113]","cytoplasm [GO:0005737]; microtubule [GO:0005874]","calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; microtubule minus-end binding [GO:0051011]; spectrin binding [GO:0030507]"
"12","NC_035780.1",4286287,4286287,67.4630816383394,"+",7.52375071158354e-42,6.25701201644084e-39,4286174,4286407,4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",5e-06,"calmodulin-regulated spectrin-associated protein 1-like","GO:0000226; GO:0005516; GO:0005737; GO:0005874; GO:0007010; GO:0007026; GO:0008017; GO:0022604; GO:0030507; GO:0031113; GO:0031122; GO:0031175; GO:0051011","cytoplasmic microtubule organization [GO:0031122]; cytoskeleton organization [GO:0007010]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of microtubule depolymerization [GO:0007026]; neuron projection development [GO:0031175]; regulation of cell morphogenesis [GO:0022604]; regulation of microtubule polymerization [GO:0031113]","cytoplasm [GO:0005737]; microtubule [GO:0005874]","calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; microtubule minus-end binding [GO:0051011]; spectrin binding [GO:0030507]"
"13","NC_035780.1",4286287,4286287,67.4630816383394,"+",7.52375071158354e-42,6.25701201644084e-39,4286174,4286407,4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",2e-37,"calmodulin-regulated spectrin-associated protein 1-like","GO:0000226; GO:0005516; GO:0005737; GO:0005874; GO:0007010; GO:0007026; GO:0008017; GO:0022604; GO:0030507; GO:0031113; GO:0031122; GO:0031175; GO:0051011","cytoplasmic microtubule organization [GO:0031122]; cytoskeleton organization [GO:0007010]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of microtubule depolymerization [GO:0007026]; neuron projection development [GO:0031175]; regulation of cell morphogenesis [GO:0022604]; regulation of microtubule polymerization [GO:0031113]","cytoplasm [GO:0005737]; microtubule [GO:0005874]","calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; microtubule minus-end binding [GO:0051011]; spectrin binding [GO:0030507]"
"22","NC_035780.1",12631454,12631454,60.2577873254565,"+",7.95429303615801e-18,5.30762177974547e-16,12630576,12631487,12630576,12697104,"111124937",12630576,12664103,"XM_022468274.1","Q60519","SEM5B_MOUSE",0,"semaphorin-5B-like",NA,NA,NA,NA
"23","NC_035780.1",12631454,12631454,60.2577873254565,"+",7.95429303615801e-18,5.30762177974547e-16,12630576,12631487,12630576,12697104,"111124937",12630576,12668032,"XM_022468284.1","Q60519","SEM5B_MOUSE",0,"semaphorin-5B-like",NA,NA,NA,NA
"24","NC_035780.1",12631454,12631454,60.2577873254565,"+",7.95429303615801e-18,5.30762177974547e-16,12630576,12631487,12630576,12697104,"111124937",12630577,12697104,"XM_022468254.1","Q60519","SEM5B_MOUSE",0,"semaphorin-5B-like",NA,NA,NA,NA
"25","NC_035780.1",12631454,12631454,60.2577873254565,"+",7.95429303615801e-18,5.30762177974547e-16,12630576,12631487,12630576,12697104,"111124937",12630577,12697104,"XM_022468264.1","Q60519","SEM5B_MOUSE",0,"semaphorin-5B-like",NA,NA,NA,NA
"26","NC_035780.1",12631454,12631454,60.2577873254565,"+",7.95429303615801e-18,5.30762177974547e-16,12630577,12631487,12630576,12697104,"111124937",12630576,12664103,"XM_022468274.1","Q60519","SEM5B_MOUSE",0,"semaphorin-5B-like",NA,NA,NA,NA
