"","chr","start","end","meth.diff","strand","pvalue","qvalue","dist-to-closest-gene","gene-chr","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-Accession","Uniprot-ID","evalue","Product","GO-ID","GO-BP","GO-CC","GO-MF"
"3","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,0,"NC_035780.1",2524425,2553408,"111131682",2524425,2547594,"XM_022479329.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"4","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,0,"NC_035780.1",2524425,2553408,"111131682",2524425,2543287,"XM_022479339.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"5","NC_035780.1",2541727,2541727,-54.9736072708992,"+",3.59921004770553e-41,2.78008782980908e-38,0,"NC_035780.1",2524425,2553408,"111131682",2524425,2543287,"XM_022479339.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"6","NC_035780.1",2541727,2541727,-54.9736072708992,"+",3.59921004770553e-41,2.78008782980908e-38,0,"NC_035780.1",2524425,2553408,"111131682",2524425,2536871,"XM_022479370.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"7","NC_035780.1",2541727,2541727,-54.9736072708992,"+",3.59921004770553e-41,2.78008782980908e-38,0,"NC_035780.1",2524425,2553408,"111131682",2524425,2547594,"XM_022479329.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"8","NC_035780.1",2541727,2541727,-54.9736072708992,"+",3.59921004770553e-41,2.78008782980908e-38,0,"NC_035780.1",2524425,2553408,"111131682",2524425,2537545,"XM_022479361.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"9","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,0,"NC_035780.1",2524425,2553408,"111131682",2524425,2536871,"XM_022479370.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"10","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,0,"NC_035780.1",2524425,2553408,"111131682",2524425,2537545,"XM_022479361.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"11","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,0,"NC_035780.1",2524425,2553408,"111131682",2524425,2538955,"XM_022479355.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"12","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,0,"NC_035780.1",2524425,2553408,"111131682",2524425,2553408,"XM_022479322.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
