"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"665","NC_035780.1",401631,401631,"+",1.9894967724195e-27,4.12259429890381e-25,53.6670362743545
"1003","NC_035780.1",571139,571139,"+",9.537633295453e-30,2.55316307346757e-27,58.2278481012658
"1950","NC_035780.1",1882692,1882692,"+",1.54857474241667e-28,3.67257165563022e-26,64.8148148148148
"1969","NC_035780.1",1885023,1885023,"+",1.56214555549646e-14,6.6656460716732e-13,61.2143987341772
"2066","NC_035780.1",1933500,1933500,"+",1.26044543179399e-19,1.04857966005056e-17,51.324937688574
"2739","NC_035780.1",2538925,2538925,"+",7.04346175157579e-15,3.14980483642906e-13,-50.2505846976278
"2743","NC_035780.1",2541727,2541727,"+",3.59921004770553e-41,2.78008782980908e-38,-54.9736072708992
"2999","NC_035780.1",2584493,2584493,"+",3.12717630109529e-57,9.28810093887902e-54,56.4664786447676
"3017","NC_035780.1",2586509,2586509,"+",6.66191639817937e-71,6.64833685546064e-67,-53.8495091547371
"3034","NC_035780.1",2589721,2589721,"+",1.68486904936225e-36,8.81255052160502e-34,57.042957042957
"4050","NC_035780.1",4286287,4286287,"+",7.52375071158354e-42,6.25701201644084e-39,67.4630816383394
"4055","NC_035780.1",4286803,4286803,"+",3.85745583569328e-16,2.04200767030581e-14,-62.0490797546012
"4063","NC_035780.1",4288214,4288214,"+",1.03297953561797e-29,2.74460576897546e-27,-58.168449197861
"4080","NC_035780.1",4289629,4289629,"+",2.28939540201561e-25,3.75530692871214e-23,-52.2097927746195
"5951","NC_035780.1",8693288,8693288,"+",8.98883317830873e-22,9.75904099872946e-20,-52.283522104494
"6062","NC_035780.1",8833125,8833125,"+",1.87756815984505e-15,9.11352604694824e-14,60.1254480286738
"6318","NC_035780.1",9110275,9110275,"+",1.04638360867521e-52,2.15754272156723e-49,-63.6439567402543
"7120","NC_035780.1",12631454,12631454,"+",7.95429303615801e-18,5.30762177974547e-16,60.2577873254565
"8268","NC_035780.1",15412265,15412265,"+",3.76664422077054e-36,1.89464029942841e-33,50.931430328499
"8285","NC_035780.1",15414935,15414935,"+",4.46713127041768e-19,3.48065704421621e-17,51.580544137796
"9267","NC_035780.1",17093219,17093219,"+",1.26074972979324e-14,5.45233072421469e-13,-52.9967159277504
"9462","NC_035780.1",17488959,17488959,"+",5.71400122627172e-26,1.01033910321041e-23,-57.0731707317073
"10652","NC_035780.1",19149581,19149581,"+",1.95455199452061e-26,3.63911915545465e-24,-61.0240190685735
"10835","NC_035780.1",19482569,19482569,"+",1.39169778758904e-76,2.31476828885151e-72,56.7761299435028
"11633","NC_035780.1",19968153,19968153,"+",5.91304462135748e-20,5.13308243455607e-18,-60.0470430107527
"13308","NC_035780.1",22177829,22177829,"+",6.80803459919686e-29,1.66197583451533e-26,-51.8586936690385
"13462","NC_035780.1",22276727,22276727,"+",3.17267485635371e-45,3.54956023228931e-42,55.7151959222682
"14726","NC_035780.1",24227053,24227053,"+",9.17964490545048e-39,5.90266318661926e-36,79.8387096774193
"14933","NC_035780.1",24258095,24258095,"+",9.57483535031815e-29,2.30582001947028e-26,-50.2401798176446
"16135","NC_035780.1",25858298,25858298,"+",1.62846067324196e-27,3.4227911653837e-25,-51.3262093311707
"18045","NC_035780.1",26676904,26676904,"+",1.97073488282654e-41,1.58606271668681e-38,-61.473707966599
"18620","NC_035780.1",27396183,27396183,"+",2.448830698055e-28,5.67279257459875e-26,52.6108743502084
"18741","NC_035780.1",27482717,27482717,"+",1.14723968836811e-26,2.20173302601652e-24,52.0311149524633
"19722","NC_035780.1",28493520,28493520,"+",7.65928992823901e-45,8.2367212881851e-42,-53.830352943435
"19979","NC_035780.1",28739473,28739473,"+",8.61705495488073e-83,2.14987252233155e-78,62.9210433795728
"21259","NC_035780.1",30150624,30150624,"+",1.1484927536279e-17,7.49214792092658e-16,-55.3937259923175
"21982","NC_035780.1",31302905,31302905,"+",8.46636477075717e-18,5.623740062326e-16,-60.3289335847475
"21983","NC_035780.1",31302935,31302935,"+",1.00954268196262e-17,6.62296112592393e-16,-58.2879612825166
"21984","NC_035780.1",31303160,31303160,"+",5.76351771861839e-40,4.05054187130177e-37,-58.0637211758493
"21989","NC_035780.1",31303208,31303208,"+",1.23290644624375e-59,4.39426182024815e-56,-60.6948757763975
"22958","NC_035780.1",32447268,32447268,"+",1.883168387765e-38,1.17165197491173e-35,63.4901556776557
"23254","NC_035780.1",32717031,32717031,"+",8.45711739466131e-27,1.65358121928775e-24,-52.5962264150943
"23372","NC_035780.1",32766798,32766798,"+",3.6984292636719e-19,2.91447445138457e-17,58.1214689265537
"23470","NC_035780.1",32787977,32787977,"+",2.34285248595573e-56,6.35346971008868e-53,-60.2310773935089
"24867","NC_035780.1",35969129,35969129,"+",3.61526679125619e-15,1.69130765509912e-13,-53.350874477635
"25690","NC_035780.1",38002469,38002469,"+",2.00012843890027e-46,2.44614143310751e-43,-57.8262768380921
"25739","NC_035780.1",38014598,38014598,"+",1.27345457419022e-19,1.05834342518927e-17,-50.2692702980473
"26007","NC_035780.1",38085953,38085953,"+",1.34635907565697e-25,2.2696193903319e-23,59.5918367346939
"26097","NC_035780.1",38132129,38132129,"+",2.38715783804869e-19,1.92555115914318e-17,55.3359683794466
"26130","NC_035780.1",38236494,38236494,"+",9.95989456119202e-14,3.79895752678737e-12,50.4091954022988
"31934","NC_035780.1",43027589,43027589,"+",1.27025526740795e-27,2.72031330386318e-25,50.9307567093785
"32270","NC_035780.1",43327057,43327057,"+",2.30284094112487e-12,7.1725008198447e-11,50.7661290322581
"33325","NC_035780.1",48165058,48165058,"+",1.87496597595549e-86,6.68265741290207e-82,72.7495908346972
"33477","NC_035780.1",49916826,49916826,"+",1.31356184731671e-23,1.7927848797544e-21,-52.0442689976033
"34324","NC_035780.1",54074031,54074031,"+",2.7367620211442e-21,2.79834369843318e-19,-52.4193548387097
"34578","NC_035780.1",54211053,54211053,"+",4.5525805411118e-66,3.06979772602287e-62,-62.8450920245399
"35605","NC_035780.1",55484706,55484706,"+",4.61812506608602e-44,4.66468780828711e-41,-52.4574303405573
"35838","NC_035780.1",55852213,55852213,"+",1.30976739966275e-14,5.65451458281376e-13,58.0645161290323
"37060","NC_035780.1",57337101,57337101,"+",2.12957401925827e-10,4.79823247989426e-09,-54.8387096774194
"37334","NC_035780.1",58135768,58135768,"+",4.02294130184559e-42,3.43727825626125e-39,74.6984587893679
