"","chr","start","end","meth.diff","strand","pvalue","qvalue","intron-start","intron-end","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-ID","Uniprot-Accession","evalue","Product","GO-ID","GO-BP","GO-CC","GO-MF"
"1","NC_035780.1",401631,401631,53.6670362743545,"+",1.9894967724195e-27,4.12259429890381e-25,401604,401800,394983,409280,"111117672",394983,409280,"XM_022456873.1","O15118","NPC1_HUMAN",0,"Niemann-Pick C1 protein-like","GO:0001618; GO:0004888; GO:0005576; GO:0005635; GO:0005764; GO:0005765; GO:0005783; GO:0005794; GO:0005887; GO:0006486; GO:0006897; GO:0006914; GO:0007041; GO:0007628; GO:0008203; GO:0008206; GO:0015248; GO:0015485; GO:0016020; GO:0016021; GO:0016242; GO:0030301; GO:0031579; GO:0031902; GO:0032367; GO:0033344; GO:0034383; GO:0038023; GO:0042493; GO:0042632; GO:0045121; GO:0046686; GO:0046718; GO:0048471; GO:0060548; GO:0070062; GO:0071383; GO:0071404; GO:0090150; GO:1905103","adult walking behavior [GO:0007628]; autophagy [GO:0006914]; bile acid metabolic process [GO:0008206]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; cellular response to steroid hormone stimulus [GO:0071383]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; cholesterol transport [GO:0030301]; endocytosis [GO:0006897]; establishment of protein localization to membrane [GO:0090150]; intracellular cholesterol transport [GO:0032367]; low-density lipoprotein particle clearance [GO:0034383]; lysosomal transport [GO:0007041]; membrane raft organization [GO:0031579]; negative regulation of cell death [GO:0060548]; negative regulation of macroautophagy [GO:0016242]; protein glycosylation [GO:0006486]; response to cadmium ion [GO:0046686]; response to drug [GO:0042493]; viral entry into host cell [GO:0046718]","endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; integral component of lysosomal membrane [GO:1905103]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; membrane raft [GO:0045121]; nuclear envelope [GO:0005635]; perinuclear region of cytoplasm [GO:0048471]","cholesterol binding [GO:0015485]; signaling receptor activity [GO:0038023]; sterol transporter activity [GO:0015248]; transmembrane signaling receptor activity [GO:0004888]; virus receptor activity [GO:0001618]"
"2","NC_035780.1",1882692,1882692,64.8148148148148,"+",1.54857474241667e-28,3.67257165563022e-26,1882355,1882971,1882143,1890106,"111102448",1882143,1890106,"XM_022435197.1","Q0MQI4","NDUV1_PONPY",0,"NADH dehydrogenase [ubiquinone] flavoprotein 1",NA,NA,NA,NA
"3","NC_035780.1",1885023,1885023,61.2143987341772,"+",1.56214555549646e-14,6.6656460716732e-13,1884754,1886042,1882143,1890106,"111102448",1882143,1890106,"XM_022435197.1","Q0MQI4","NDUV1_PONPY",0,"NADH dehydrogenase [ubiquinone] flavoprotein 1",NA,NA,NA,NA
"4","NC_035780.1",1933500,1933500,51.324937688574,"+",1.26044543179399e-19,1.04857966005056e-17,1932876,1933573,1928718,1940217,"111100652",1928718,1940217,"XM_022432742.1","Q8CI95","OSB11_MOUSE",0,"oxysterol-binding protein-related protein 11-like","GO:0005654; GO:0005794; GO:0005829; GO:0008289; GO:0010890; GO:0015248; GO:0016020; GO:0031902; GO:0032934; GO:0043231; GO:0045444","fat cell differentiation [GO:0045444]; positive regulation of sequestering of triglyceride [GO:0010890]","cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; late endosome membrane [GO:0031902]; membrane [GO:0016020]; nucleoplasm [GO:0005654]","lipid binding [GO:0008289]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"12","NC_035780.1",2584493,2584493,56.4664786447676,"+",3.12717630109529e-57,9.28810093887902e-54,2584153,2584504,2554181,2599559,"111128103",2554181,2599559,"XM_022473562.1","Q6PD62","CTR9_HUMAN",0,"RNA polymerase-associated protein CTR9 homolog","GO:0000122; GO:0000993; GO:0001711; GO:0001826; GO:0001829; GO:0001832; GO:0001835; GO:0005654; GO:0006366; GO:0006368; GO:0007259; GO:0010390; GO:0016055; GO:0016567; GO:0016593; GO:0016607; GO:0019827; GO:0032968; GO:0033523; GO:0035327; GO:0042169; GO:0045638; GO:0045944; GO:0051569; GO:0051571; GO:0070102; GO:0071222; GO:0080182; GO:1900364; GO:2000653; GO:2001162; GO:2001168","blastocyst growth [GO:0001832]; blastocyst hatching [GO:0001835]; cellular response to lipopolysaccharide [GO:0071222]; endodermal cell fate commitment [GO:0001711]; histone H2B ubiquitination [GO:0033523]; histone H3-K4 trimethylation [GO:0080182]; histone monoubiquitination [GO:0010390]; inner cell mass cell differentiation [GO:0001826]; interleukin-6-mediated signaling pathway [GO:0070102]; negative regulation of mRNA polyadenylation [GO:1900364]; negative regulation of myeloid cell differentiation [GO:0045638]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of histone H2B ubiquitination [GO:2001168]; positive regulation of histone H3-K4 methylation [GO:0051571]; positive regulation of histone H3-K79 methylation [GO:2001162]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; protein ubiquitination [GO:0016567]; receptor signaling pathway via JAK-STAT [GO:0007259]; regulation of genetic imprinting [GO:2000653]; regulation of histone H3-K4 methylation [GO:0051569]; stem cell population maintenance [GO:0019827]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; trophectodermal cell differentiation [GO:0001829]; Wnt signaling pathway [GO:0016055]","Cdc73/Paf1 complex [GO:0016593]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; transcriptionally active chromatin [GO:0035327]","RNA polymerase II complex binding [GO:0000993]; SH2 domain binding [GO:0042169]"
"16","NC_035780.1",8833125,8833125,60.1254480286738,"+",1.87756815984505e-15,9.11352604694824e-14,8832171,8833699,8829533,8833841,"111138481",8829533,8833841,"XM_022490472.1","Q8BTK5","SMYD4_MOUSE",4e-49,"SET and MYND domain-containing protein 4-like",NA,NA,NA,NA
"34","NC_035780.1",27396183,27396183,52.6108743502084,"+",2.448830698055e-28,5.67279257459875e-26,27396140,27396706,27361633,27399528,"111135947",27361633,27399528,"XM_022486449.1","Q91YD4","TRPM2_MOUSE",4e-63,"transient receptor potential cation channel subfamily M member 1-like",NA,NA,NA,NA
"35","NC_035780.1",27396183,27396183,52.6108743502084,"+",2.448830698055e-28,5.67279257459875e-26,27396140,27396706,27361633,27399528,"111135947",27361633,27399528,"XM_022486465.1","Q91YD4","TRPM2_MOUSE",5e-65,"transient receptor potential cation channel subfamily M member 1-like",NA,NA,NA,NA
"36","NC_035780.1",27396183,27396183,52.6108743502084,"+",2.448830698055e-28,5.67279257459875e-26,27396140,27396706,27361633,27399528,"111135947",27361633,27399528,"XM_022486441.1","O94759","TRPM2_HUMAN",2e-62,"transient receptor potential cation channel subfamily M member 1-like","GO:0001659; GO:0002407; GO:0005261; GO:0005262; GO:0005272; GO:0005509; GO:0005764; GO:0005765; GO:0005886; GO:0005887; GO:0006816; GO:0014074; GO:0015278; GO:0030659; GO:0035579; GO:0035584; GO:0042995; GO:0043204; GO:0043312; GO:0051209; GO:0051289; GO:0051489; GO:0070301; GO:0070588; GO:0070821; GO:0071277; GO:0071415; GO:0071502; GO:0071577; GO:0072571; GO:0097028; GO:0097553; GO:0098703; GO:0099604; GO:0101003; GO:2000249","calcium ion import across plasma membrane [GO:0098703]; calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; calcium-mediated signaling using intracellular calcium source [GO:0035584]; cellular response to calcium ion [GO:0071277]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to purine-containing compound [GO:0071415]; cellular response to temperature stimulus [GO:0071502]; dendritic cell chemotaxis [GO:0002407]; dendritic cell differentiation [GO:0097028]; neutrophil degranulation [GO:0043312]; protein homotetramerization [GO:0051289]; regulation of actin cytoskeleton reorganization [GO:2000249]; regulation of filopodium assembly [GO:0051489]; release of sequestered calcium ion into cytosol [GO:0051209]; response to purine-containing compound [GO:0014074]; temperature homeostasis [GO:0001659]; zinc ion transmembrane transport [GO:0071577]","cell projection [GO:0042995]; cytoplasmic vesicle membrane [GO:0030659]; ficolin-1-rich granule membrane [GO:0101003]; integral component of plasma membrane [GO:0005887]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]","calcium channel activity [GO:0005262]; calcium ion binding [GO:0005509]; calcium-release channel activity [GO:0015278]; cation channel activity [GO:0005261]; ligand-gated calcium channel activity [GO:0099604]; mono-ADP-D-ribose binding [GO:0072571]; sodium channel activity [GO:0005272]"
"37","NC_035780.1",27396183,27396183,52.6108743502084,"+",2.448830698055e-28,5.67279257459875e-26,27396140,27396706,27361633,27399528,"111135947",27361633,27399528,"XM_022486458.1","Q91YD4","TRPM2_MOUSE",4e-64,"transient receptor potential cation channel subfamily M member 1-like",NA,NA,NA,NA
